Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
05/31/1997,177.554001,,,-160.925003,,16.628998,,-18.167999,,,-1.539,-0.466,,0.466,,0.0,,0.0,-2.005,0.782,-1.223,0.0,,,-1.223,0.0,-1.223,0.0,,-1.223,-1.223,,43.722,-0.005,-0.005,-0.005,43.722,-0.005,-0.005,-0.005,
08/31/1997,206.432999,,,-187.563004,,18.869995,,-21.423,,,-2.553,-0.299,,0.299,,0.0,,0.0,-2.852,1.112,-1.74,0.0,,,-1.74,0.0,-1.74,0.0,,-1.74,-1.74,,43.790001,-0.01,-0.01,-0.01,43.790001,-0.01,-0.01,-0.01,
11/30/1997,227.085999,,,-211.729004,,15.356995,,-30.01,,,-14.653,-0.332,,0.332,,0.0,,0.0,-14.985,5.844,-9.141,0.0,,,-9.141,0.0,-9.141,0.0,,-9.141,-9.141,,44.195999,-0.045,-0.045,-0.045,44.195999,-0.045,-0.045,-0.045,
02/28/1998,263.132996,,,-240.481995,,22.651001,,-58.221001,,,-35.57,-0.692,,0.692,,0.0,,0.0,-36.262,14.143,-22.118999,0.0,,,-22.119,0.0,-22.118999,0.0,,-22.118999,-22.118999,,44.304001,-0.115,-0.115,-0.115,44.304001,-0.115,-0.115,-0.115,
05/31/1998,346.363007,,,-306.46701,,39.895996,,-44.917999,,,-5.022,-0.249,,0.249,,0.0,,0.0,-5.271,2.056,-3.215,0.0,,,-3.215,0.0,-3.215,0.0,,-3.215,-3.215,,44.681999,-0.015,-0.015,-0.015,44.681999,-0.015,-0.015,-0.015,
08/31/1998,400.031006,,,-353.82901,,46.201996,,-49.745998,,,-3.544,-1.316,,1.316,,0.0,,0.0,-4.86,1.895,-2.965,0.0,,,-2.965,0.0,-2.965,0.0,,-2.965,-2.965,,45.16,-0.015,-0.015,-0.015,45.16,-0.015,-0.015,-0.015,
11/30/1998,345.940002,,,-306.179993,,39.76001,,-49.988998,,,-10.229,-1.789,,1.789,,0.0,,0.0,-12.018,4.687,-7.331,0.0,,,-7.331,0.0,-7.331,0.0,,-7.331,-7.331,,45.383999,-0.035,-0.035,-0.035,45.383999,-0.035,-0.035,-0.035,
02/28/1999,373.963989,,,-327.556,,46.40799,,-59.769001,,,-13.361,-3.039,,3.039,,0.0,,0.0,-16.4,6.397,-10.003,0.0,,,-10.003,0.0,-10.003,0.0,,-10.003,-10.003,,45.618,-0.05,-0.05,-0.05,45.618,-0.05,-0.05,-0.05,
05/31/1999,486.062988,,,-424.066986,,61.996002,,-55.903999,,,6.092,-1.683,,1.683,,0.0,,0.0,4.409,-1.676,2.733,0.0,,,2.733,0.0,2.733,0.0,,2.733,2.733,,46.299999,0.015,0.015,0.015,50.939999,0.015,0.015,0.015,
08/31/1999,535.72699,,,-471.946991,,63.779999,,-55.917999,,,7.862,-2.647,,2.647,,0.0,,0.0,5.215,-1.982,3.233,0.0,,,3.233,0.0,3.233,0.0,,3.233,3.233,,47.043999,0.015,0.015,0.015,51.346001,0.015,0.015,0.015,
11/30/1999,488.958008,,,-436.230011,,52.727997,,-54.979,,,-2.251,-2.808,,2.808,,0.0,,0.0,-5.059,1.923,-3.136,0.0,,,-3.136,0.0,-3.136,0.0,,-3.136,-3.136,,47.672001,-0.015,-0.015,-0.015,47.672001,-0.015,-0.015,-0.015,
02/29/2000,504.235992,,,-442.375,,61.860992,,-61.398998,,,0.462,-3.224,,3.224,,0.0,,0.0,-2.762,1.05,-1.712,0.0,,,-1.712,0.0,-1.712,0.0,,-1.712,-1.712,,49.222,-0.01,-0.01,-0.01,52.362,-0.01,-0.01,-0.01,
