Date,Level 1 Assets,Level 2 Assets,Total FV Assets,Level 2 Liabilities,Total FV Liabilities,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
06/30/2008,409.2,,409.2,0.8,0.8,,,,,,,
09/30/2008,548.2,1.1,549.3,,,,,,,,,
12/31/2008,316.7,,316.7,19.4,19.4,8.427158,,8.427158,1.352104,,1.352104,
03/31/2009,316.0,,316.0,20.5,20.5,7.296808,,7.296808,1.356952,,1.356952,
06/30/2009,481.5,,481.5,14.6,14.6,8.759363,,8.759363,1.925205,,1.925205,
09/30/2009,476.0,3.0,479.0,16.7,16.7,,,,,,,
12/31/2009,464.1,0.3,464.4,13.0,13.0,8.123101,0.005251,8.128352,1.788559,0.001156,1.789715,
03/31/2010,447.1,6.1,453.2,17.3,17.3,,,,,,,
06/30/2010,413.4,18.1,431.5,23.0,23.0,,,,,,,
09/30/2010,474.3,0.3,474.6,37.4,37.4,,,,,,,
12/31/2010,511.3,,511.3,27.6,27.6,8.940029,,8.940029,2.05693,,2.05693,
03/31/2011,529.7,,529.7,39.3,39.3,,,,,,,
06/30/2011,564.0,,564.0,16.4,16.4,,,,,,,
09/30/2011,487.3,,487.3,103.7,103.7,,,,,,,
12/31/2011,417.0,,417.0,12.2,12.2,,,,,,,
03/31/2012,451.2,,451.2,8.4,8.4,,,,,,,
06/30/2012,454.4,,454.4,6.6,6.6,,,,,,,
09/30/2012,487.7,,487.7,5.1,5.1,,,,,,,
12/31/2012,170.2,,170.2,1.5,1.5,,,,,,,
06/30/2013,125.1,,125.1,1.0,1.0,,,,,,,
09/30/2013,141.7,,141.7,4.6,4.6,,,,,,,
12/31/2013,148.3,,148.3,,,2.114609,,2.114609,0.445017,,0.445017,
06/30/2014,159.7,,159.7,0.1,0.1,,,,,,,
09/30/2014,,,,1.2,1.2,,,,,,,
