Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,810.61499,2.633,2.633,0.0,121.004997,,,94.429001,,,,,77.323997,,,,,295.390991,340.828003,657.870972,-317.042999,0.0,174.395996,,,,,174.395996,515.223999,,76.824997,76.824997,,,,8.471,,,,,,112.274011,,,112.274011,197.570007,165.339996,,,,,173.841995,,,,173.841995,339.181992,536.751999,1.725,103.353996,,,-11.403,,180.186996,273.862993,0.0,273.862993,810.614992,
06/29/1990,809.969971,2.176,2.176,0.0,120.041,,,88.467003,,,,,78.374001,,,,,289.058014,346.720001,664.367981,-317.64801,0.0,174.192001,,,,,174.192001,520.912003,,82.606003,82.606003,,,,7.178,,,,,,124.656991,,,124.656991,214.440994,141.731995,,,,,169.494003,,,,169.494003,311.225998,525.666992,1.725,103.391998,,,-11.266,,190.452004,284.303003,0.0,284.303003,809.969995,
09/30/1990,831.536011,2.019,2.019,0.0,115.068001,,,90.788002,,,,,87.749001,,,,,295.623993,361.678009,686.234985,-324.557007,0.0,174.233994,,,,,174.233994,535.912003,,82.068001,82.068001,,,,7.046,,,,,,112.201993,,,112.201993,201.315994,164.559006,,,,,177.561996,,,,177.561996,342.121002,543.436996,1.725,103.391998,,,-11.691,,194.672995,288.098993,0.0,288.098993,831.535989,
12/31/1990,788.291992,3.211,3.211,0.0,93.583,,,85.531998,,,,,75.393997,,,,,257.720001,367.031006,699.317017,-332.286011,0.0,163.541,,,,,163.541,530.572006,,77.083,77.083,,,,7.286,,,,,,121.192997,,,121.192997,205.561996,155.966003,,,,,142.865997,,,,142.865997,298.832001,504.393997,1.725,103.389,,,-13.462,,192.245996,283.897997,0.0,283.897997,788.291994,
03/31/1991,786.786011,2.002,2.002,0.0,91.841003,,,82.017998,,,,,78.109001,,,,,253.970001,373.769989,713.56897,-339.799011,0.0,159.046005,,,,,159.046005,532.815994,,75.939003,75.939003,,,,8.329,,,,,,93.105989,,,93.105989,177.373993,176.854996,,,,,153.238998,,,,153.238998,330.093994,507.467987,1.725,103.360001,,,-13.646,,187.879002,279.318002,0.0,279.318002,786.785989,
06/30/1991,779.98999,2.226,2.226,0.0,99.775002,,,70.805,,,,,72.490997,,,,,245.296997,377.903015,724.546021,-346.643005,0.0,156.789993,,,,,156.789993,534.693008,,79.813004,79.813004,,,,5.3,,,,,,113.010989,,,113.010989,198.123993,159.992996,,,,,143.134003,,,,143.134003,303.126999,501.250992,1.725,103.489998,,,-13.491,,187.015002,278.739,0.0,278.739,779.989992,
09/30/1991,773.499023,2.16,2.16,0.0,95.742996,,,73.707001,,,,,60.798,,,,,232.408005,383.338013,738.599976,-355.261993,0.0,157.753006,,,,,157.753006,541.091019,,77.994003,77.994003,,,,5.9,,,,,,114.754999,,,114.754999,198.649002,164.460007,,,,,131.802994,,,,131.802994,296.263,494.912003,1.725,103.486,,,-13.478,,186.854007,278.587007,0.0,278.587007,773.49901,
12/31/1991,754.33197,8.889,8.889,0.0,105.416,,,75.612,,,,,19.243999,,,,,209.160995,394.804993,783.596008,-388.790985,77.042,73.323997,,,,,73.323997,545.17099,,60.605,60.605,,,,16.684999,,,,,,95.129999,,,95.129999,172.419998,249.186005,,,,,65.829002,,,,65.829002,315.015007,487.435005,1.725,103.856003,,,-13.478,,174.793994,266.896997,0.0,266.896997,754.332002,
03/31/1992,804.973022,1.993,1.993,0.0,106.989998,,,81.967003,,,,,75.168999,,,,,266.118988,385.285004,756.234985,-370.950012,0.0,153.569,,,,,153.569,538.854004,,87.749001,87.749001,,,,6.023,,,,,,104.343997,,,104.343997,198.115997,179.457001,,,,,136.546997,,,,136.546997,316.003998,514.119995,1.612,102.778999,,,-10.918,,197.380006,290.853005,0.0,290.853005,804.973,
06/30/1992,803.237,2.033,2.033,0.0,107.877998,,,77.723999,,,,,76.838997,,,,,264.473999,386.636993,765.838989,-379.201996,0.0,152.126007,,,,,152.126007,538.763,,77.561996,77.561996,,,,6.025,,,,,,115.269998,,,115.269998,198.856995,171.604004,,,,,129.460007,,,,129.460007,301.064011,499.921005,0.0,105.449997,,,-10.918,,208.783998,303.315994,0.0,303.315994,803.237,
