Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Other Interbank Assets,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Other Investments,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,Credit Card Loans,Home Equity Loans,1-4 Family Residential Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Operating Lease Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Discontinued Operations,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,55068.375,3079.699951,985.5,,13443.59961,,,,,16254.085938,,,17371.042969,,,,,1326.55603,34951.683594,-782.599976,34169.083618,842.299988,,,,,,,,,0.0,2548.191833,,8291.400391,35141.699219,17818.199219,17323.5,0.0,43433.101562,5072.399902,,,,,,1790.099976,,,,,,,,835.476013,51131.077453,244.0,1573.900024,,,-31.174999,,2140.574901,3927.299926,0.0,3927.299926,55058.377379,
03/31/1993,57850.84375,2832.995117,1678.938965,,13476.460449,,,,,16996.677734,,,18904.980469,,,,,1289.296021,37190.953125,-793.247009,36397.707031,891.500977,,,,,,,,,0.0,2573.241211,,7780.40918,37183.910156,19197.699219,17986.210938,0.0,44964.320312,5916.898926,,,,,,1904.104004,,,,,,,,1029.11499,53814.438232,183.970001,1619.505981,,,-29.506001,,2262.433979,4036.403961,0.0,4036.403961,57850.842194,
06/30/1993,57944.453125,2581.368896,1656.822021,,13681.911133,,,,,16865.867188,,,19118.117188,,,,,1377.144043,37361.128906,-795.744995,36565.382812,906.460022,,,,,,,,,0.0,2552.50824,,8121.470215,36279.333984,20054.800781,16224.533203,0.0,44400.804688,6516.74707,,,,,,1957.223999,,,,,,,,886.229004,53761.004761,183.970001,1635.537964,,,-27.091999,,2391.033894,4183.44986,0.0,4183.44986,57944.45462,
09/30/1993,58169.226562,2656.066895,879.630005,,14321.831055,,,,,16439.828125,,,19780.023438,,,,,1514.182007,37734.035156,-799.393982,36934.640625,903.734985,,,,,,,,,0.0,2473.322998,,8060.640137,36279.230469,20236.699219,16042.53125,0.0,44339.871094,6570.205078,,,,,,1908.418945,,,,,,,,1040.624023,53859.119141,160.0,1651.787964,,,-25.371,,2523.690092,4310.107056,0.0,4310.107056,58169.226196,
12/31/1993,59631.199219,2777.399902,107.199997,,15822.799804,,,,,16354.200195,,,20302.699219,,,,,1765.800049,38422.699219,-802.700012,37619.999099,912.900024,,,,,,,,,0.0,2390.900393,,8826.299805,37672.800781,21122.0,16550.800781,0.0,46499.101562,6006.399902,,,,,,1654.0,,,,,,,,1078.099976,55237.60144,160.0,1676.699951,,,-20.663,,2577.562902,4393.599853,0.0,4393.599853,59631.201293,
03/31/1994,61475.820312,2830.739014,66.077003,,16005.986328,,,,,17143.951172,,,20933.587891,,,,,1763.849976,39841.386719,-812.59198,39028.796875,910.937012,,,,,,,,,0.0,2633.284081,,8213.643555,38666.958984,20669.800781,17997.158203,0.0,46880.601562,7234.661133,,,,,,1744.545044,,,,,,,,1079.667969,56939.475708,160.0,1712.401001,,,-18.622999,,2682.564894,4536.342896,0.0,4536.342896,61475.818604,
06/30/1994,63356.582031,3132.926025,178.533997,,15538.220215,,,,,17412.712891,,,22273.041016,,,,,1944.515015,41630.269531,-816.437012,40813.832031,933.333984,,,,,,,,,0.0,2759.735779,,8414.212891,39382.003906,20823.800781,18558.203125,0.0,47796.21875,7836.053223,,,,,,2123.641113,,,,,,,,1001.916016,58757.829102,160.0,1714.920044,,,-38.721001,,2762.554985,4598.754028,0.0,4598.754028,63356.58313,
09/30/1994,64500.25,3006.711914,126.731003,,15441.82666,,,,,17970.705078,,,22999.974609,,,,,2098.87207,43069.550781,-820.15802,42249.394531,947.307983,,,,,,,,,0.0,2728.277908,,8531.285156,39285.199219,20431.800781,18853.398438,0.0,47816.484375,8687.416016,,,,,,2177.795898,,,,,,,,1116.66394,59798.360229,160.0,1713.746948,,,-71.195,,2899.339043,4701.890991,0.0,4701.890991,64500.251221,
