Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2003,41.485,,,,,,,,,,,,-14.178,,,,,,,,,,,,,,,,-0.088,,,,,,,,,-0.088,,27.219,,,
03/31/2004,50.109,15.614,20.827,-1.342,,0.123,-1.465,15.01,5.828,-1.04,10.222,,-16.723,-16.654,,,,-16.654,,,,,,,,,,-0.069,-31.041,,-31.041,,,,,,,,,2.345,,20.864,
12/31/2004,,-52.926,22.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2005,40.489,-12.636,22.235,34.714,,-5.437,40.151,-3.824,2.73,,-6.554,,7.364,-17.379,,,,-17.379,,,,,,,,,,24.743,-25.765,,-402.058,,,,412.746,412.746,,-36.453,,22.088,,,
06/30/2005,58.188,18.242,22.489,13.099,,7.771,5.328,4.358,-0.935,,5.293,,-12.719,-12.51,0.0,,,-12.51,,,0.0,0.0,0.0,,,,,-0.209,-24.462,-12.486,-29.442,,,,0.0,0.0,0.0,17.466,,21.007,,,
09/30/2005,636.423,107.4,323.676,148.481,,-1.634,150.115,56.866,1.405,,55.461,,-235.145,-207.411,0.0,,,-207.411,,,0.0,0.0,0.0,,,,,-27.734,-449.073,-156.714,430.5,,,,-412.746,,-412.746,-310.113,,-47.795,,,
12/31/2005,219.5,84.477,105.8,22.823,,2.4,20.423,6.4,-10.1,,16.5,,-113.1,-119.6,0.0,,,-119.6,,,0.0,0.0,0.0,,,,,6.5,-103.1,-64.4,-21.1,,,,0.0,0.0,0.0,-17.6,,3.3,,,
03/31/2006,286.7,112.8,102.6,22.2,,4.0,18.2,49.1,3.1,,46.0,,-63.9,-62.2,0.0,,,-62.2,,,0.0,0.0,0.0,,,,,-1.7,-224.8,-65.7,-0.1,,,,0.0,0.0,0.0,-159.0,,-2.0,,,
06/30/2006,482.625,118.7,179.49,121.534,,,121.534,62.901,7.799,,55.102,,-125.27,-145.166,0.0,,,-145.166,,,0.0,0.0,0.0,,,,,19.896,-364.925,-73.662,-0.057,,,,0.0,0.0,0.0,-291.206,,-7.57,,,
09/30/2006,361.7,196.1,124.1,-62.7,,4.381,-67.081,104.2,-52.9,,157.1,,-31.6,-88.8,0.0,,,-88.8,,,0.0,0.0,0.0,,,,,57.2,32.9,-2280.2,-861.3,,,,0.0,0.0,0.0,3174.4,,363.0,0.0,0.0,
