Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,475.644989,325.944995,3.019,322.925995,27.892,,,0.0,,,,,9.969,,,,,,363.806,30.870001,,,18.452999,,62.515999,,,,,62.515999,111.838999,,7.132,7.132,,,,,,,,,338.832996,,,338.832996,345.964996,33.855,,,,,8.0,,,,,,8.0,41.855,387.819996,0.0,,,,,,87.824997,87.824997,0.0,87.824997,475.644993,
06/30/1990,510.263,361.757998,11.491,350.266998,28.349001,,,0.0,,,,,9.967,,,,,,400.074005,29.646,,,18.17,,62.373001,,,,,62.373001,110.189001,,7.408,7.408,,,,,,,,,366.353993,,,366.353993,373.761993,36.658001,,,,,8.4,,,,,,8.4,45.058001,418.819994,0.0,,,,,,91.443001,91.443001,0.0,91.443001,510.262995,
09/30/1990,536.414001,396.236986,24.407,371.829987,30.17,,,0.0,,,,,10.366,,,,,,436.77301,29.253,,,7.783,,62.605,,,,,62.605,99.641,,6.928,6.928,,,,,,,,,390.647012,,,390.647012,397.575012,34.516998,,,,,9.2,,,,,,9.2,43.716998,441.29201,0.0,,,,,,95.122002,95.122002,0.0,95.122002,536.414012,
12/31/1990,565.190979,419.005003,21.634001,397.371002,29.415001,,,0.0,,,,,10.566,,,,,,458.985992,30.479,64.540001,-34.061001,7.871,,67.855003,,,,,67.855003,106.205003,,7.822,7.822,,,,,,,,,410.517996,,,410.517996,418.339996,37.973999,,,,,9.2,,,,,,9.2,47.173999,465.513995,0.0,54.439999,,,-0.181,,45.418,99.676999,0.0,99.676999,565.190994,
03/31/1991,579.340027,413.642015,11.058,402.584015,31.309,,,0.0,,,,,12.884,,,,,,457.834991,29.292999,,,23.476999,,68.735001,,,,,68.735001,121.504999,,9.295,9.295,,,,,,,,,419.419996,,,419.419996,428.714996,35.897999,,,,,10.7,,,,,,10.7,46.597999,475.312995,0.0,,,,,,104.027,104.027,0.0,104.027,579.339995,
06/30/1991,692.875977,460.818996,28.617001,432.201996,46.625999,,,0.0,,,,,14.094,,,,,,521.539001,44.255001,,,27.966,,99.115997,,,,,99.115997,171.336998,,10.186,10.186,,,,,,,,,459.893987,,,459.893987,470.079987,55.181999,,,,,11.6,,,,,,11.6,66.782,536.861986,0.0,,,,,,156.014008,156.014008,0.0,156.014008,692.875994,
09/30/1991,721.413025,487.692997,35.744999,451.947998,47.602001,,,0.0,,,,,15.75,,,,,,551.044983,43.497002,,,27.931,,98.940002,,,,,98.940002,170.368004,,9.182,9.182,,,,,,,,,485.005988,,,485.005988,494.187988,54.606998,,,,,11.6,,,,,,11.6,66.206999,560.394987,0.0,102.394997,,,,,58.623001,161.017998,0.0,161.017998,721.412985,
12/31/1991,740.106995,500.822989,24.441,476.381989,48.238998,,,0.0,,,,,16.23,,,,,,565.291992,46.557999,90.331001,-43.772999,24.878,,103.378998,,,,,103.378998,174.814997,,13.216,13.216,,,,,,,,,495.272007,,,495.272007,508.488007,53.113998,,,,,11.6,,,,,,11.6,64.713998,573.202005,0.0,103.438004,,,-0.181,,63.647999,166.905003,0.0,166.905003,740.107008,
03/31/1992,808.659973,560.179028,39.464001,520.715027,53.486,,,0.0,,,,,15.631,,,,,,629.296021,49.084,,,24.819,,105.460999,,,,,105.460999,179.363998,,11.394,11.394,,,,,,,,,557.205976,,,557.205976,568.599976,53.521,,,,,12.4,,,,,,12.4,65.921,634.520975,0.0,104.901001,,,,,69.237999,174.139,0.0,174.139,808.659975,
06/30/1992,773.273987,523.531002,43.716,479.815002,51.625999,,,0.0,,,,,15.694,,,,,,590.851013,51.143002,,,25.469,,105.810997,,,,,105.810997,182.422998,,13.026,13.026,,,,,,,,,513.309022,,,513.309022,526.335022,53.462002,,,,,13.6,,,,,,13.6,67.062002,593.397024,0.0,104.987,,,,,74.889999,179.876999,0.0,179.876999,773.274023,
