Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,,18.1,,0.0,,,,,,,,,163.5,,,,,,,,,0.0,,,,,,575.599976,1202.599976,,183.100006,,,,,,,,,,,393.600019,,,,393.600019,,,,,,,183.100006,,,183.100006,697.899994,1285.800018,0.0,,,,,,674.499985,783.899994,0.0,783.899994,2069.700012,
06/30/1990,,25.9,,0.0,,,,,,,,,179.199997,,,,,,,,,0.0,,,,,,583.599976,1198.099976,,150.399994,,,,,,,,,,,431.600019,,,,431.600019,,,,,,,180.199997,,,180.199997,649.400009,1237.100021,0.0,,,,,,685.599991,796.899994,0.0,796.899994,2034.000015,
09/30/1990,,44.299999,,0.0,,,,,,,,,177.100006,,,,,,,,,0.0,,,,,,537.0,1139.0,,143.800003,,,,,,,,,,,395.800021,,,,395.800021,,,,,,,223.600006,,,223.600006,556.100006,1101.500031,0.0,,,,,,733.400009,845.800018,0.0,845.800018,1947.300049,
12/31/1990,,84.599998,,0.0,,,,,,,,,193.100006,,,,,,,,,0.0,,,,,,505.799988,1084.399963,,129.600006,,,,,,,,,,,396.000018,,,,396.000018,,,,,,,238.399994,,,238.399994,539.899994,1071.300018,0.0,,,,,,709.800003,824.0,0.0,824.0,1895.300018,
03/31/1991,,88.099998,,0.0,,,,,,,,,184.0,,,,,,,,,0.0,,,,,,492.799988,1056.5,,134.300003,,,,,,,,,,,374.800021,,,,374.800021,,,,,,,223.899994,,,223.899994,580.899994,1098.800018,0.0,,,,,,690.200027,805.700027,0.0,805.700027,1904.500046,
06/30/1991,,50.900002,,0.0,,,,,,,,,199.800003,,,,,,,,,0.0,,,,,,482.5,1038.700012,,124.699997,,,,,,,,,,,422.800003,,,,422.800003,,,,,,,207.699997,,,207.699997,506.199997,1060.199997,0.0,,,,,,678.499977,795.499969,0.0,795.499969,1855.699966,
09/30/1991,,74.300003,,0.0,,,,,,,,,210.100006,,,,,,,,,0.0,,,,,,472.100006,1027.600006,,121.900002,,,,,,,,,,,429.099986,,,,429.099986,,,,,,,208.300003,,,208.300003,506.699997,1063.499985,0.0,,,,,,678.200027,796.900024,0.0,796.900024,1860.400009,
12/31/1991,,102.099998,,0.0,,,,,,,,,200.699997,,,,,,,,,0.0,,,,,,531.299988,1064.0,,101.699997,,,,,,,,,,,399.299991,,,,399.299991,,,,,,,223.100006,,,223.100006,539.0,1046.299988,0.0,,,,,,658.999985,778.699982,0.0,778.699982,1824.99997,
03/31/1992,,71.0,,0.0,,,,,,,,,193.399994,,,,,,,,,0.0,,,,,,458.299988,1014.099976,,121.5,,,,,,,,,,,433.799975,,,,433.799975,,,,,,,219.5,,,219.5,534.5,1095.599976,0.0,,,,,,660.300003,780.899994,0.0,780.899994,1876.499969,
06/30/1992,,158.5,,0.0,,,,,,,,,187.0,,,,,,,,,0.0,,,,,,475.799988,1028.700012,,126.699997,,,,,,,,,,,418.399979,,,,418.399979,,,,,,,211.399994,,,211.399994,524.100006,1075.199982,0.0,,,,,,672.899986,898.399994,0.0,898.399994,1973.599976,
09/30/1992,,175.399994,,0.0,,,,,,,,,184.0,,,,,,,,,0.0,,,,,,466.700012,1020.799988,,110.099998,,,,,,,,,,,409.400014,,,,409.400014,,,,,,,208.199997,,,208.199997,520.699997,1046.400009,0.0,,,,,,676.800026,903.200012,0.0,903.200012,1949.600021,
12/31/1992,,195.5,,0.0,,,,,,,,,203.399994,,,,,,,,,0.0,,,,,,508.100006,1043.100006,,106.800003,,,,,,,,,,,380.099991,,,,380.099991,,,,,,,278.100006,,,278.100006,582.600006,1085.5,0.0,,,,,,594.400009,822.5,0.0,822.5,1908.0,
03/31/1993,1933.199951,126.300003,126.300003,0.0,229.199997,,,333.399994,,,,,206.600006,,,,,895.5,535.400024,1122.900024,-587.5,0.0,,502.299988,,,,502.299988,1037.700012,,125.599998,125.599998,,,,5.4,,,,,,386.000002,,,,386.000002,517.0,304.399994,,,,,288.600006,,,288.600006,593.0,1110.0,0.0,332.899994,,,-103.800003,,594.099991,823.199982,0.0,823.199982,1933.199982,
06/30/1993,1937.400024,161.600006,161.600006,0.0,214.199997,,,321.799988,,,,,209.800003,,,,,907.400024,529.299988,1129.199951,-599.900024,0.0,,500.700012,,,,500.700012,1030.0,,104.300003,104.300003,,,,104.800003,,,,,,401.399994,,,,401.399994,610.5,202.800003,,,,,287.399994,,,287.399994,490.199997,1100.699997,0.0,333.5,,,-103.400002,,606.600014,836.700012,0.0,836.700012,1937.400009,
09/30/1993,1982.5,206.399994,206.399994,0.0,218.699997,,,318.0,,,,,219.100006,,,,,962.200012,529.799988,1138.400024,-608.599976,0.0,,490.5,,,,490.5,1020.299988,,112.0,112.0,,,,15.2,,,,,,401.399976,,,,401.399976,528.599976,326.799988,,,,,286.899994,,,286.899994,613.699982,1142.299957,0.0,334.100006,,,-103.300003,,609.400009,840.200012,0.0,840.200012,1982.499969,
12/31/1993,1983.699951,248.800003,248.800003,0.0,168.899994,,,321.399994,,,,,210.600006,,,,,949.700012,544.299988,1139.300049,-595.0,0.0,,489.700012,,,,489.700012,1034.0,,122.800003,122.800003,,,,11.9,,,,,,467.200021,,,,467.200021,601.900024,324.5,,,,,252.899994,,,252.899994,577.399994,1179.300018,0.0,336.899994,,,-102.699997,,570.199997,804.399994,0.0,804.399994,1983.700012,
03/31/1994,1995.699951,143.0,129.5,13.5,271.100006,,,341.200012,,,,,218.100006,,,,,973.400024,542.299988,1148.199951,-605.900024,0.0,,480.0,,,,480.0,1022.299988,,131.100006,131.100006,,,,12.5,,,,,,432.600006,,,,432.600006,576.200012,324.5,,,,,270.799988,,,270.799988,595.299988,1171.5,0.0,336.600006,,,-99.099998,,586.700004,824.200012,0.0,824.200012,1995.700012,
06/30/1994,2111.899902,256.799999,227.5,29.299999,276.0,,,344.600006,,,,,219.699997,,,,,1097.099976,541.5,1162.0,-620.5,0.0,,473.299988,,,,473.299988,1014.799988,,142.399994,142.399994,,,,15.2,,,,,,482.199994,,,,482.199994,639.799988,322.299988,,,,,277.299988,,,277.299988,599.599976,1239.399963,0.0,336.799988,,,-98.599998,,634.300011,872.5,0.0,872.5,2111.899963,
09/30/1994,2155.399902,242.399998,200.699997,41.700001,249.699997,,,385.5,,,,,255.899994,,,,,1133.5,544.400024,1181.400024,-637.0,75.5,,402.0,,,,402.0,1021.900024,,147.899994,147.899994,,,,12.5,,,,,,489.399994,,,,489.399994,649.799988,321.600006,,,,,288.399994,,,288.399994,610.0,1259.799988,0.0,336.899994,,,-98.5,,657.200012,895.600006,0.0,895.600006,2155.399994,
12/31/1994,2122.300049,203.399998,185.199997,18.200001,218.899994,,,409.0,,,,,226.199997,,,,,1057.5,565.400024,1208.699951,-643.299988,0.0,,499.399994,,,,499.399994,1064.800018,,157.300003,157.300003,,,,8.2,,,,,,455.799985,,,,455.799985,621.299988,318.799988,,,,,271.5,,,271.5,590.299988,1211.599976,0.0,337.0,,,-98.300003,,672.000015,910.700012,0.0,910.700012,2122.299988,
