Date,Net Premium Earned (Non-Life & Life),Capital Gains (Losses),Total Investment Income,Other Operating Income,Revenue,Insurance Claims & Charges,Underwriting Costs,Other Operating Expenses,Operating Income or Losses,Interest Expense,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Income Available to Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,481.136993,-7.459,250.330009,11.126,735.133972,-435.238007,-142.302994,-71.643997,85.948997,-19.118999,0.0,66.829998,-10.538,56.292,0.0,0.0,56.292,0,,56.292,,,56.291998,,0.445,0.445,126.498001,0.445,0.445,0.445,126.498001,
06/30/1990,492.209991,19.438,251.804001,11.554,775.005981,-443.015015,-144.673004,-70.583,116.735001,-18.415001,0.0,98.32,-22.312,76.008003,0.0,0.0,76.008003,0,,76.008003,,,76.007999,,0.6,0.6,126.568001,0.6,0.6,0.6,126.568001,
09/30/1990,497.628998,0.486,256.599003,12.305,767.018982,-475.389008,-141.792007,-67.539001,82.299004,-19.507999,0.0,62.791004,-9.41,53.381001,0.0,0.0,53.381001,0,,53.381001,,,53.381004,,0.42,0.42,126.405998,0.42,0.42,0.42,126.405998,
12/31/1990,505.21701,-2.769,260.757995,12.829,776.034973,-466.613007,-191.570999,-30.34,87.511002,-11.47,0.0,76.041002,16.687,92.727997,0.0,0.0,92.727997,0,,92.727997,,,92.728002,,0.74,0.74,125.484002,0.74,0.74,0.74,125.484002,
03/31/1991,509.894012,1.759,272.105011,12.913,796.671021,-487.442993,-140.378998,-85.579002,83.269997,-18.033001,0.0,65.236996,-9.929,55.307999,0.0,0.0,55.307999,0,,55.307999,,,55.307996,,0.44,0.44,125.463997,0.44,0.44,0.44,125.463997,
06/30/1991,479.806,0.083,276.954994,14.839,771.682983,-481.096985,-128.287003,-88.087997,74.210999,-17.249001,0.0,56.961998,-5.766,51.195999,0.0,0.0,51.195999,0,,51.195999,,,51.195998,,0.41,0.41,125.480003,0.41,0.41,0.41,125.480003,
09/30/1991,482.207001,5.914,281.689003,14.732,784.541992,-460.063995,-137.703995,-83.123001,103.651001,-17.987,0.0,85.664001,-17.354,68.309998,0.0,0.0,68.309998,0,,68.309998,,,68.310001,,0.545,0.545,125.487999,0.545,0.545,0.545,125.487999,
12/31/1991,497.463989,26.929001,290.404991,15.244,830.041992,-472.528015,-223.908005,-6.627,126.978996,-17.528,0.0,109.450996,-24.687,84.764,0.0,0.0,84.764,0,,84.764,,,84.763996,0.675,0.675,0.675,125.484002,0.675,0.675,0.675,125.484002,
03/31/1992,500.035004,9.372,309.456001,15.054,833.916992,-453.269012,-144.070007,-108.768997,127.808998,-16.888,0.0,110.920998,-25.712,85.209,0.0,0.0,85.209,0,,85.209,,,85.208998,,0.675,0.675,125.542,0.675,0.675,0.675,125.542,
06/30/1992,513.262024,18.855,280.520004,14.914,827.551025,-548.71698,-130.800003,-83.806999,64.226997,-16.728001,0.0,47.498997,-5.353,42.146,0.0,0.0,42.146,0,,42.146,,,42.145997,,0.335,0.335,125.584,0.335,0.335,0.335,125.584,
09/30/1992,531.08197,13.429,248.439005,15.169,808.119019,-502.678986,-129.199005,-56.895,119.346001,-14.71,0.0,104.636001,-24.487,80.149002,0.0,0.0,80.149002,0,,80.149002,,,80.149001,,0.64,0.64,125.594002,0.64,0.64,0.64,125.594002,
12/31/1992,538.596985,18.933001,251.804997,15.816,825.151001,-476.126007,-192.873001,,156.151993,-15.771,0.0,140.380993,-36.410999,103.970001,0.0,0.0,103.970001,0,,103.970001,,,103.969994,0.83,0.83,0.83,125.615998,0.83,0.83,0.83,125.615998,
03/31/1993,538.994995,25.955,257.141994,15.204,837.296021,-534.741028,-133.901993,-63.334999,105.318001,-14.672,0.0,90.646001,-18.142,72.503998,2.877,0.0,75.380997,0,,75.380997,,,72.504001,,0.575,0.6,125.666,0.575,0.575,0.6,125.666,
06/30/1993,548.551025,54.646999,255.807003,15.984,874.989014,-479.783997,-143.759995,-59.619999,191.824997,-14.643,0.0,177.181997,-47.831001,129.350998,0.0,0.0,129.350998,0,,129.350998,,,129.350996,,1.03,1.03,125.723999,1.03,1.03,1.03,125.723999,
09/30/1993,568.468994,56.271999,256.459999,15.814,897.015015,-504.817993,-145.712997,-59.050999,187.432999,-14.883,-40.0,132.549998,-38.759998,93.790001,0.0,0.0,93.790001,0,,93.790001,,,93.79,,0.745,0.745,125.788002,0.745,0.745,0.745,125.788002,
12/31/1993,579.661987,50.775002,260.638,16.309,907.383972,-506.763,-209.470001,,191.151001,-14.592,0.0,176.559001,-46.303001,130.255997,0.0,0.0,130.255997,0,,130.255997,,,130.256,1.035,1.035,1.035,125.851998,1.035,1.035,1.035,125.851998,
03/31/1994,549.012024,19.16,274.120007,15.533,857.825012,-561.909973,-141.401001,-74.720001,79.793999,-16.226,0.0,63.567999,-7.542,56.026001,0.0,0.0,56.026001,0,,56.026001,,,56.025999,0.35,0.445,0.445,125.896004,0.35,0.445,0.445,125.896004,
06/30/1994,580.51001,1.581,265.793001,16.698999,864.583008,-513.612976,-148.975998,-67.031998,134.962006,-16.905001,0.0,118.057005,-28.007999,90.049004,0.0,0.0,90.049004,0,,90.049004,,,90.049006,0.7,0.715,0.715,125.947998,0.7,0.715,0.715,125.947998,
09/30/1994,597.684998,4.242,280.233994,19.635,901.796021,-570.804016,-151.712997,-75.830002,103.448997,-17.67,0.0,85.778997,-13.267,72.512001,0.0,0.0,72.512001,0,,72.512001,,,72.511997,0.56,0.575,0.575,125.975998,0.56,0.575,0.575,125.975998,
12/31/1994,602.994995,14.057,278.777998,17.039,912.869019,-555.955017,-216.031998,,140.882004,-18.545,0.0,122.337004,-26.549999,95.787003,0.0,0.0,95.787003,0,,95.787003,,,95.787005,0.76,0.76,0.76,125.954002,0.76,0.76,0.76,125.954002,
03/31/1995,593.830994,5.278,279.252012,19.166,897.526978,-594.159973,-207.326004,,96.041,-19.915001,0.0,76.125999,-10.916,65.209999,0.0,0.0,65.209999,0,,65.209999,,,65.209999,0.49,0.52,0.52,125.931999,0.49,0.52,0.52,125.931999,
06/30/1995,601.950989,15.448,287.848013,20.542999,925.789978,-557.224976,-211.800003,,156.764999,-24.072001,0.0,132.692999,-29.993999,102.698997,0.0,0.0,102.698997,0,,102.698997,,,102.698999,0.74,0.815,0.815,125.966003,0.74,0.815,0.815,125.966003,
09/30/1995,610.40802,22.511999,289.818996,21.549999,944.289001,-546.929016,-221.320007,,176.039993,-23.034,0.0,153.005993,-38.148998,114.857002,0.0,0.0,114.857002,0,,114.857002,,,114.856995,0.8,0.91,0.91,125.973999,0.8,0.91,0.91,125.973999,
