Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,613.734985,172.042999,69.214996,102.828003,91.886002,,,,117.018997,,,,,6.202,,,,,387.149994,80.999001,147.511993,-66.513,,145.585999,,,,,,145.585999,226.584999,,44.939999,44.939999,,,,5.624,,,,,,80.184002,,,80.184002,130.748001,163.880997,,,,36.966,,,,36.966,200.846996,331.594997,0.0,88.696999,,,-1.338,,130.597003,217.956001,64.183998,282.139999,613.734997,
06/30/1990,828.210022,130.120003,49.858002,80.262001,143.880005,,,,168.692001,,,,,11.572,,,,,454.264008,127.792,204.841995,-77.050003,,246.154007,,,,,,246.154007,373.946007,,61.535999,61.535999,,,,10.117,,,,,,172.544999,,,172.544999,244.197998,182.554001,,,,46.699001,,,,46.699001,229.253002,473.451,0.0,130.947006,,,-1.159,,149.970996,279.759003,75.0,354.759003,828.210003,
09/29/1990,864.562988,162.715004,84.204002,78.511002,141.134003,,,,173.403,,,,,7.684,,,,,484.936005,130.358994,208.354004,-77.995003,,249.268005,,,,,,249.268005,379.626999,,59.497002,59.497002,,,,11.367,,,,,,167.341001,,,167.341001,238.205002,216.335007,,,,44.832001,,,,44.832001,261.167007,499.372009,0.0,133.136002,,,-12.885,,163.709005,283.960007,81.231003,365.19101,864.563019,
12/30/1990,904.372009,178.605,118.223,60.382,147.018997,,,,154.893005,,,,,17.631001,,,,,498.14801,141.744003,224.337006,-82.593002,17.747,246.733002,,,,,,246.733002,406.224005,,66.529999,66.529999,,,,7.041,,,,,,183.137009,,,183.137009,256.708008,210.014008,,,,43.522999,,,,43.522999,253.537007,510.245015,0.0,132.914993,,,-1.288,,178.584997,310.21199,83.915001,394.126991,904.372006,
03/31/1991,956.625,231.590996,135.317993,96.273003,140.921005,,,,159.811996,,,,,15.585,,,,,547.908997,138.151993,223.057007,-84.904999,,270.563995,,,,,,270.563995,408.715988,,59.040001,59.040001,,,,4.966,,,,,,160.874004,,,160.874004,224.880005,278.447998,,,,45.976002,,,,45.976002,324.424,549.304005,0.0,138.990005,,,-0.584,,180.084,318.490005,88.831001,407.321007,956.625011,
06/30/1991,976.182983,245.128998,109.552002,135.576996,143.410995,,,,156.794998,,,,,13.25,,,,,558.585022,143.296005,230.507004,-87.210999,,274.302002,,,,,,274.302002,417.598007,,52.376999,52.376999,,,,7.135,,,,,,159.713007,,,159.713007,219.225006,264.548004,,,,45.714001,,,,45.714001,310.262005,529.487011,0.0,162.432007,,,-4.714,,186.581996,344.300003,102.396004,446.696007,976.183018,
09/28/1991,1084.958984,330.050995,110.947998,219.102997,154.591995,,,,152.932999,,,,,12.169,,,,,649.744995,149.048996,241.649994,-92.600998,26.413,259.752014,,,,,,259.752014,435.21401,,49.679001,49.679001,,,,6.285,,,,,,157.603992,,,157.603992,213.567993,263.658997,,,,46.563,,,,46.563,310.221996,523.789989,0.0,247.098999,,,-2.467,,205.483998,450.115997,111.053001,561.168999,1084.958988,
12/29/1991,1199.490967,370.388992,130.951996,239.436996,155.354996,,,,141.727005,,,,,23.573,,,,,691.044006,155.039001,252.044998,-97.005997,25.886999,327.520996,,,,,,327.520996,508.446996,,55.844002,55.844002,,,,4.904,,,,,,166.830993,,,166.830993,227.578995,254.968994,,,,113.471001,,,,113.471001,368.439995,596.01899,0.0,256.109009,,,-1.038,,225.870993,480.942002,122.529999,603.472001,1199.490991,
03/29/1992,1356.704956,380.253998,146.542999,233.710999,151.248001,,,,144.854004,,,,,23.455999,,,,,699.812012,229.048996,327.848999,-98.800003,38.549999,389.294006,,,,,,389.294006,656.893002,,54.152,54.152,,,,5.647,,,,,,148.814998,,,148.814998,208.613998,247.813004,,,,250.962006,,,,250.962006,498.775009,707.389008,0.0,292.096985,,,-2.954,,235.517004,524.659988,124.655998,649.315987,1356.704994,
06/27/1992,1409.410034,351.628006,135.528,216.100006,159.444,,,,150.449997,,,,,22.667,,,,,684.189026,251.865997,355.437012,-103.570999,60.411999,412.942993,,,,,,412.942993,725.220989,,58.050999,58.050999,,,,5.988,,,,,,167.281009,,,167.281009,231.320007,236.509003,,,,251.501007,,,,251.501007,488.01001,719.330017,0.0,296.898987,,,-3.615,,252.671,545.954987,144.125,690.079987,1409.410004,
