Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1993,457.601013,20.181999,20.181999,0.0,50.012001,,,4.974,,,,,47.029999,,,,,122.197998,269.743988,650.664001,-380.920013,0.0,65.658997,,,,,,65.658997,335.402985,,17.735001,17.735001,,,,0.0,,,,,,34.161999,,,34.161999,51.896999,286.911987,,,,,94.900002,,,,94.900002,381.811989,433.708988,0.0,23.892,,,0.0,,0.0,23.892,,23.892,457.600988,
06/30/1993,465.867004,23.357,23.357,0.0,86.098999,,,7.282,,,,,15.411,,,,,132.149002,266.584015,652.356995,-385.77301,0.0,67.134003,,,,,,67.134003,333.718018,,26.379999,26.379999,,,,0.0,,,,,,41.806997,,,41.806997,68.186996,0.0,,,,,91.151001,,,,91.151001,91.151001,159.337997,0.0,303.93399,,,0.0,,2.595,306.528991,,306.528991,465.866988,
09/30/1993,450.247009,46.803001,46.803001,0.0,47.556999,,,4.666,,,,,21.716,,,,,120.741997,262.872986,653.833984,-390.960999,0.0,66.632004,,,,,,66.632004,329.50499,,28.129999,28.129999,,,,0.0,,,,,,29.800001,,,29.800001,57.93,0.0,,,,,83.961998,,,,83.961998,83.961998,141.891998,0.0,304.050995,,,0.0,,4.304,308.354995,,308.354995,450.246993,
12/31/1993,472.019989,21.629999,21.629999,0.0,83.318001,,,9.331,,,,,29.434,,,,,143.712997,259.527008,654.064026,-394.536987,0.0,68.779999,,,,,,68.779999,328.307007,,21.229,21.229,,,,0.0,,,,,,44.198002,,,44.198002,65.427002,0.0,,,,,92.287003,,,,92.287003,92.287003,157.714005,0.0,304.166992,,,0.0,,10.139,314.305992,0.0,314.305992,472.019997,
03/31/1994,503.881989,32.467999,32.467999,0.0,63.921001,,,7.524,,,,,24.431999,,,,,128.345001,337.278015,737.310974,-400.03299,0.0,38.258999,,,,,,38.258999,375.537014,,22.490999,22.490999,,,,0.0,,,,,,42.278997,,,42.278997,64.769997,30.0,,,,,91.693001,,,,91.693001,121.693001,186.462997,0.0,304.731995,,,0.0,,12.687,317.418995,0.0,317.418995,503.881992,
06/30/1994,495.160004,32.516998,32.516998,0.0,58.737,,,9.586,,,,,22.907,,,,,123.747002,333.072998,736.476013,-403.403015,0.0,38.34,,,,,,38.34,371.412998,,21.511,21.511,,,,0.0,,,,,,34.1,,,34.1,55.611,30.0,,,,,91.554001,,,,91.554001,121.554001,177.165001,0.0,304.835999,,,0.0,,13.159,317.994999,0.0,317.994999,495.16,
09/30/1994,487.998993,45.443001,45.443001,0.0,41.756001,,,9.619,,,,,23.34,,,,,120.157997,328.131989,734.549988,-406.417999,0.0,39.709,,,,,,39.709,367.840988,,14.142,14.142,,,,0.0,,,,,,35.183001,,,35.183001,49.325001,30.0,,,,,90.139999,,,,90.139999,120.139999,169.465,0.0,305.013,,,0.0,,13.521,318.534,0.0,318.534,487.999001,
12/31/1994,493.497009,46.830002,46.830002,0.0,38.867001,,,15.273,,,,,26.712999,,,,,127.682999,326.063995,728.870972,-402.807007,0.0,39.75,,,,,,39.75,365.813995,,15.211,15.211,,,,0.0,,,,,,33.276,,,33.276,48.487,30.0,,,,,92.732002,,,,92.732002,122.732002,171.219002,0.0,305.091003,,,0.0,,16.056,321.147003,1.131,322.278003,493.497005,
03/31/1995,497.631012,48.984001,48.984001,0.0,46.723,,,10.727,,,,,29.9,,,,,136.334,322.194,736.656982,-414.463013,0.0,39.103001,,,,,,39.103001,361.297001,,13.659,13.659,,,,0.0,,,,,,34.945999,,,34.945999,48.605,30.0,,,,,92.110001,,,,92.110001,122.110001,170.715,0.0,305.285004,,,0.0,,21.631001,326.916004,0.0,326.916004,497.631004,
06/30/1995,509.885986,58.709,58.709,0.0,56.104,,,13.5,,,,,21.246,,,,,149.559006,320.60199,740.872009,-420.269989,0.0,39.724998,,,,,,39.724998,360.326988,,15.247,15.247,,,,0.0,,,,,,40.151999,,,40.151999,55.398998,30.0,,,,,90.550003,,,,90.550003,120.550003,175.949001,0.0,305.820007,,,0.0,,28.117001,333.937008,0.0,333.937008,509.886009,
