Date,Revenue,Revenue From Electric,Regulated Electric Revenue,Unregulated Electric Revenue,Revenue from Gas,Regulated Gas Revenue,Unregulated Gas Revenue,Revenue from Water,Other Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Gas & Water Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",AFUDC - Equity,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/30/1990,1325.209961,762.172974,,,505.032013,,,0.0,58.005001,-440.528015,165.201996,165.201996,275.325989,,884.681946,-575.97699,70.442001,129.772995,174.656006,201.106003,308.704987,-96.334999,,4.122,103.042999,96.920998,-7.193,13.315,-2.586,212.369987,-60.457001,151.912994,0.0,,,151.912987,0.0,151.912994,-7.253,,144.659995,144.659995,,422.200012,0.345,0.345,0.345,422.200012,0.345,0.345,0.345,
06/30/1990,1074.001953,788.184998,,,228.960007,,,0.0,56.856998,-284.509003,170.737,170.737,113.772003,,789.49295,-551.906006,81.293999,126.758003,142.414993,201.438995,237.587006,-94.683999,,3.853,101.056999,98.459999,-7.434,10.031,-2.52,142.903006,-37.358002,105.544998,0.0,,,105.545005,0.0,105.544998,-7.253,,98.291998,98.291998,,422.231995,0.235,0.235,0.235,422.231995,0.235,0.235,0.235,
09/30/1990,1190.031982,976.172974,,,159.621994,,,0.0,54.237,-281.174988,209.367996,209.367996,71.806999,,908.856995,-539.617981,59.335999,123.008003,152.701996,204.572006,369.239014,-102.735999,,4.235,110.154999,102.778,-7.965,15.342,-3.184,266.503015,-77.351997,189.151001,0.0,,,189.151018,0.0,189.151001,-7.253,,181.898001,181.898001,,423.768005,0.43,0.43,0.43,423.768005,0.43,0.43,0.43,
12/31/1990,1210.890991,805.885986,,,343.132996,,,0.0,61.872002,-337.313995,172.063004,172.063004,165.251007,,873.576996,-607.242981,74.799004,181.945007,155.022003,195.477005,266.334015,-108.435002,,4.777,115.441002,106.129997,-9.937,19.247999,-2.229,157.899013,-33.217999,124.681,0.0,,,124.681015,0.0,124.681,-7.253,,117.428,117.428,,427.593994,0.27,0.27,0.27,427.593994,0.27,0.27,0.27,
03/31/1991,1416.287964,803.546997,,,543.567017,,,0.0,69.174004,-432.578003,176.014008,176.014008,256.563995,,983.709961,-625.648987,91.417999,141.031006,187.240005,205.960007,358.061005,-107.397998,,3.442,113.837997,106.371002,-9.205,16.672001,-2.998,250.663007,-81.753998,168.908997,0.0,,,168.909009,0.0,168.908997,-7.253,,161.655997,161.655997,,437.578003,0.37,0.37,0.37,437.578003,0.37,0.37,0.37,
06/30/1991,1151.18396,869.48999,,,215.606003,,,0.0,66.087997,-304.240997,195.354004,195.354004,108.887001,,846.942963,-567.661987,77.027,143.912003,143.350006,203.373001,279.281006,-96.976,,3.626,103.736,105.146004,-9.536,8.126,-3.134,182.305006,-52.264,130.041,0.0,,,130.041006,0.0,130.041,-7.253,,122.788001,122.788001,,448.579987,0.275,0.275,0.275,448.579987,0.275,0.275,0.275,
09/30/1991,1256.217041,1026.578979,,,170.845001,,,0.0,58.792999,-306.332001,222.197998,222.197998,84.134003,,949.88504,-576.875,60.938,143.240005,158.113998,214.582993,373.01001,-113.879,,-1.605,115.556,111.740997,-10.578,14.393,-3.282,259.13101,-82.495003,176.636002,0.0,,,176.636007,0.0,176.636002,-7.253,,169.383002,169.383002,,450.273987,0.375,0.375,0.375,450.273987,0.375,0.375,0.375,
12/31/1991,1267.968994,800.427002,,,377.830994,,,0.0,89.710999,-374.097992,187.625,187.625,186.473007,,893.871002,-642.213013,85.988998,157.735992,155.222,243.266006,251.658005,-106.854002,,1.629,114.093002,114.443001,-8.735,8.385,-5.61,144.804003,-48.342999,96.460999,0.0,,,96.461004,0.0,96.460999,-7.253,,89.207999,89.207999,,451.89801,0.195,0.195,0.195,451.89801,0.195,0.195,0.195,
03/31/1992,1514.083008,820.057007,,,607.023987,,,0.0,87.001999,-517.249023,196.608994,196.608994,320.640015,,996.833984,-654.151001,72.609001,155.968002,198.139999,227.434006,342.683014,-51.060006,,2.402,129.294006,123.802002,-4.819,10.311,-75.832001,291.623008,-98.037003,193.585999,0.0,,,193.586006,0.0,193.585999,-7.253,,186.332999,186.332999,,459.134003,0.405,0.405,0.405,459.134003,0.405,0.405,0.405,
06/30/1992,1191.645996,824.117981,,,273.505005,,,0.0,94.023003,-329.013,186.863998,186.863998,142.149002,,862.632996,-613.471008,81.487999,153.835007,143.934998,234.212997,249.162003,-112.634999,,1.962,126.598999,119.150002,-4.176,11.625,-12.002,136.527003,-41.806999,94.720001,0.0,,,94.720004,0.0,94.720001,-7.362,,87.358001,87.358001,,463.985992,0.19,0.19,0.19,463.985992,0.19,0.19,0.19,
