Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,Selling & Marketing,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,297.476013,,,-131.742004,,165.734009,,-133.936005,,,,,31.798,-11.584,,11.736,,0.0,,-0.152,20.214,-9.177,11.037,0.0,,,11.037,-1.312,9.725,0.0,,9.725,9.725,,50.993327,0.195,0.195,,50.993327,0.195,0.195,0.195,
06/30/1990,331.881012,,,-139.235992,,192.64502,,-134.865005,,,,,57.779999,-46.074001,,10.799,,0.0,,35.275002,11.705997,-9.391,2.315,0.0,,,2.314998,-2.477,-0.162,0.0,,-0.162,-0.162,,51.014664,0.0,0.0,,51.014664,0.0,0.0,0.0,
09/30/1990,321.694,,,-139.815002,,181.878998,,-133.764999,,,,,48.113998,-9.655,,10.632,,0.0,,-0.977,38.458998,-18.848,19.611,0.0,,,19.610999,-2.195,17.416,0.0,,17.416,17.416,,51.014664,0.345,0.345,,51.014664,0.345,0.345,0.345,
12/31/1990,345.548004,,,-152.539993,,193.008011,,-131.977997,,,,,61.029999,-15.115,,10.673,,0.0,,4.442,45.914999,-21.542,24.372999,0.0,,,24.372999,-3.337,21.035999,0.0,,21.035999,21.035999,,49.69133,0.405,0.405,0.405,49.69133,0.405,0.405,0.405,
03/31/1991,301.475006,,,-136.483002,,164.992004,,-132.294998,,,,,32.696999,-20.983,,8.906,,0.0,,12.077,11.713999,-6.828,4.886,0.0,,,4.885999,0.071,4.957,0.0,,4.957,4.957,,49.68866,0.105,0.105,,49.68866,0.105,0.105,0.105,
06/30/1991,326.94101,,,-141.917999,,185.02301,,-134.233002,,,,,50.790001,-9.196,,9.588,,0.0,,-0.392,41.594001,-19.264999,22.329,0.0,,,22.329001,-2.454,19.875,0.0,,19.875,19.875,,49.691996,0.405,0.405,,49.691996,0.405,0.405,0.405,
09/30/1991,317.346985,,,-140.636993,,176.709991,,-135.048004,,,,,41.661999,-10.736,,10.822,,0.0,,-0.086,30.925999,-14.567,16.358999,0.0,,,16.358999,-1.493,14.866,0.0,,14.866,14.866,,49.691996,0.3,0.3,,49.691996,0.3,0.3,0.3,
12/31/1991,353.794006,,,-152.485001,,201.309005,,-138.518997,,,,,62.790001,-9.623,,9.411,,0.0,,0.212,53.167001,-22.993999,30.173,0.0,,,30.173002,-3.241,26.931999,0.0,,26.931999,26.931999,,49.691996,0.525,0.525,0.525,49.691996,0.525,0.525,0.525,
03/31/1992,313.588013,,,-134.597,,178.991013,,-140.184998,,,,,38.806,-8.402,,8.212,,0.0,,0.19,30.404,-14.054,16.35,22.412999,,,-6.062999,-1.653,-7.716,0.0,,-7.716,-7.716,,49.731995,-0.15,0.3,,49.731995,-0.15,0.3,0.3,
07/01/1992,326.480988,,,-135.959,,190.521988,,-136.537003,,,,,53.985001,-8.72,,7.534,,0.0,,1.186,45.265001,-19.923,25.341999,0.0,,,25.342,-3.089,22.253,0.0,,22.253,22.253,,49.732661,0.45,0.45,,49.732661,0.45,0.45,0.45,
