Date,Revenue,Consensus Estimate,Comparable Actual,Revenue Surprise %,GAAP Actual,Adjusted Actual,Earnings Per Share,EBIT,EBITDA,Gross Margin %,Pretax Income (Loss),Net Income,Source: Bloomberg
03/31/1998,,,102.991997,,102.992003,102.992003,,,,,,,
06/30/1998,,,26.034,,26.034,26.034,,,,,,,
03/31/1999,,,134.531998,,134.531993,134.531993,,,,,,,
09/30/1999,,,0.328,,0.328,0.328,,,,,,,
12/31/1999,,,74.699997,,74.700002,74.700002,,,,,,,
03/31/2000,,,163.552994,,163.553003,163.553003,,,,,,,
06/30/2000,,,47.080002,,47.080001,47.080001,,,,,,,
09/30/2000,,,13.154,,13.154,13.154,,,,,,,
12/31/2000,,,56.722,,56.722999,56.722999,,,,,,,
06/30/2001,,,22.099001,,-8.001,-8.001,,,,,,,
12/31/2001,,,96.047997,,34.441999,34.441999,,,,,,,
03/31/2003,,,222.630005,,241.803999,241.803999,,,,,,,
06/30/2003,,,-7.399,,-7.399,-7.399,,,,,,,
09/30/2003,,,2.724,,11.124,11.124,,,,,,,
12/31/2003,,,156.190002,,135.354002,135.354002,,,,,,,
03/31/2004,,,246.235001,,246.199997,246.199997,,,,,,,
06/30/2004,,,43.5,,129.278,129.278,,,,,,,
09/30/2004,,,2.561,,-117.100003,-117.100003,,,,,,,
12/31/2004,,,142.639999,,199.677994,199.677994,,,,,,,
03/31/2005,,,241.699997,,234.399997,234.399997,,,,,,,
06/30/2005,,,18.0,,16.2,16.2,,,,,,,
09/30/2005,,,22.6,,22.6,22.6,,,,,,,
12/31/2005,,204.0,121.400002,,114.8,114.8,,,,,,,
03/31/2006,,377.0,208.0,9.01680040966816,208.0,208.0,,,,,,,
06/30/2006,,48.1,49.400002,2.58376403574088,49.4,49.4,,,,,,,
09/30/2006,,48.8,50.299999,-1.33603238866397,50.299999,50.299999,,,,,,,
12/31/2006,,187.0,126.400002,-12.056675,126.5,126.5,,,,,,,
03/31/2007,,,213.399994,-0.0174641983932937,213.399994,213.399994,,,,,,,
06/30/2007,,58.6,52.395,11.5451912536443,52.200001,52.200001,,,,,,,
