Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/30/2014,7160.0,7160.0,-4816.0,4816.0,2344.0,0.0,-1130.0,1130.0,0.0,1214.0,-280.0,,275.0,,,5.0,934.0,-286.0,648.0,0.0,0.0,0.0,648.0,-3.0,645.0,-180.0,0.0,465.0,587.2,122.2,1192.0,0.39,0.39,0.492617,1222.0,0.38,0.38,0.48,
06/29/2014,7473.0,7473.0,-5153.0,5153.0,2320.0,0.0,-1170.0,1170.0,0.0,1150.0,-317.0,,276.0,,,41.0,833.0,-263.0,570.0,0.0,0.0,0.0,570.0,-8.0,562.0,-180.0,0.0,382.0,601.96,219.96,1192.0,0.32,0.32,0.505,1222.0,0.31,0.31,0.49,
09/28/2014,6993.0,6993.0,-4893.0,4893.0,2100.0,0.0,-1002.0,1002.0,0.0,1098.0,-294.0,,274.0,,,20.0,804.0,-194.0,610.0,0.0,0.0,0.0,610.0,-2.0,608.0,-180.0,0.0,428.0,550.2,122.2,1192.0,0.36,0.36,0.461577,1222.0,0.35,0.35,0.45,
12/28/2014,7496.0,7496.0,-5284.0,5284.0,2212.0,0.0,-1291.0,1291.0,0.0,921.0,-279.0,,288.0,,,-9.0,642.0,-137.0,505.0,0.0,0.0,0.0,505.0,-2.0,503.0,-180.0,0.0,323.0,616.28,293.28,1192.0,0.27,0.27,0.517013,1222.0,0.26,0.26,0.5,
03/29/2015,6830.0,6830.0,-4556.0,4556.0,2274.0,0.0,-992.0,992.0,0.0,1282.0,-249.0,,305.0,,,-56.0,1033.0,-292.0,741.0,0.0,0.0,0.0,741.0,-3.0,738.0,-180.0,0.0,558.0,641.96,83.96,1187.0,0.47,0.47,0.540826,1218.0,0.46,0.46,0.528933,
06/28/2015,7130.0,7130.0,-4709.0,4709.0,2421.0,0.0,-1107.0,1107.0,0.0,1314.0,-743.0,,497.0,,,246.0,571.0,-201.0,370.0,0.0,0.0,0.0,370.0,-4.0,366.0,-180.0,0.0,186.0,749.04,563.04,1194.0,0.16,0.16,0.627337,1224.0,0.15,0.15,0.61,
09/27/2015,6363.0,6363.0,-4314.0,4314.0,2049.0,0.0,-1397.0,1397.0,0.0,652.0,-568.0,,460.0,,,108.0,84.0,-69.0,15.0,0.0,0.0,0.0,15.0,-3.0,12.0,-180.0,0.0,-168.0,526.03,694.03,1213.0,-0.14,-0.14,0.43366,1213.0,-0.14,-0.14,0.43216,
01/03/2016,7124.0,7124.0,-4720.0,4720.0,2404.0,0.0,-1117.0,1117.0,0.0,1287.0,-257.0,,266.0,,0.0,-9.0,1030.0,-382.0,648.0,0.0,0.0,0.0,648.0,-3.0,645.0,-360.0,0.0,285.0,576.65,291.65,1214.0,0.23,0.23,0.475,1225.0,0.23,0.23,0.468082,
04/03/2016,6570.0,6570.0,-4192.0,4192.0,2378.0,0.0,-865.0,865.0,0.0,1513.0,-241.0,,249.0,,,-8.0,1272.0,-372.0,900.0,0.0,0.0,0.0,900.0,-4.0,896.0,0.0,0.0,896.0,1078.7,182.7,1215.0,0.74,0.74,0.887819,1225.0,0.73,0.73,0.879143,
07/03/2016,6793.0,6793.0,-4262.0,4262.0,2531.0,0.0,-895.0,895.0,0.0,1636.0,-270.0,,264.0,,,6.0,1366.0,-411.0,955.0,0.0,0.0,0.0,955.0,-5.0,950.0,-180.0,0.0,770.0,978.27,208.27,1217.0,0.63,0.63,0.803837,1227.0,0.63,0.63,0.799739,
10/02/2016,6267.0,6267.0,-4049.0,4049.0,2218.0,0.0,-805.0,805.0,0.0,1413.0,-308.0,,311.0,,,-3.0,1105.0,-262.0,843.0,0.0,0.0,0.0,843.0,-1.0,842.0,0.0,0.0,842.0,1169.93,327.93,1218.0,0.69,0.69,0.960534,1228.0,0.69,0.69,0.957044,
12/31/2016,6857.0,6857.0,-4398.0,4398.0,2459.0,0.0,-879.0,879.0,0.0,1580.0,-300.0,,310.0,,,-10.0,1280.0,-336.0,944.0,0.0,0.0,0.0,944.0,0.0,944.0,0.0,0.0,944.0,1089.17,145.17,1217.0,0.78,0.78,0.894963,1226.0,0.77,0.77,0.888409,
04/01/2017,6322.0,6322.0,-4139.0,4139.0,2183.0,0.0,-765.0,765.0,0.0,1418.0,-183.0,313.0,313.0,0.0,,-130.0,1235.0,-354.0,881.0,0.0,0.0,0.0,881.0,2.0,883.0,0.0,0.0,883.0,1006.2,123.2,1209.589041,0.73,0.73,0.831853,1226.388889,0.72,0.72,0.820458,
07/01/2017,6634.0,6634.0,-4227.0,4227.0,2407.0,0.0,-768.0,720.0,48.0,1639.0,-53.0,307.0,307.0,0.0,,-254.0,1586.0,-429.0,1157.0,0.0,0.0,0.0,1157.0,-1.0,1156.0,0.0,0.0,1156.0,1183.839362,27.839362,1218.0,0.95,0.95,0.971953,1229.787234,0.94,0.94,0.962638,
09/30/2017,6279.0,6279.0,-4123.0,4123.0,2156.0,0.0,-665.0,664.0,1.0,1491.0,-179.0,306.0,306.0,0.0,,-127.0,1312.0,-400.0,912.0,0.0,0.0,0.0,912.0,1.0,913.0,0.0,0.0,913.0,973.05,60.05,1218.0,0.75,0.75,0.798892,1233.783784,0.74,0.74,0.788671,
12/30/2017,6841.0,6841.0,-4554.0,4554.0,2287.0,0.0,-778.0,778.0,0.0,1509.0,-192.0,308.0,308.0,0.0,,-116.0,1317.0,6665.0,7982.0,0.0,0.0,0.0,7982.0,7.0,7989.0,0.0,0.0,7989.0,1133.0,-6856.0,1219.0,6.55,6.55,0.92945,1228.0,6.5,6.5,0.916938,
