Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Compensation,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2008,2065.664,44.173,44.173,,375.016,375.016,,,,,,,239.157,,,,,658.346,176.195,,,39.376,,1191.747,789.082,789.082,0.0,,402.665,1407.318,,14.085,14.085,,,,,,,,,114.497,,,114.497,128.582,472.411,,,,236.066,,,,,236.066,708.477,837.059,,,,,0,,1124.023,1124.023,104.582,1228.605,2065.664,
06/30/2008,2075.08,48.941,35.8,13.141,389.642,389.642,,,,,,,238.735,,,,,677.318,179.273,,,44.763,,1173.726,1042.282,665.187,377.095,,131.444,1397.762,,7.938,7.938,,,,,,,,,113.895,,,113.895,121.833,325.0,,,,252.372,,,,,252.372,577.372,699.205,,1206.597,,,0,,40.263,1246.86,129.015,1375.875,2075.08,
09/30/2008,2006.988,25.285,24.916,0.369,340.127,340.127,,,,,,,250.629,,,,,616.041,185.569,,,44.981,,1160.397,1035.484,668.604,366.88,,124.913,1390.947,,9.632,9.632,,,,,,,,,157.338,,,157.338,166.97,135.0,,,,271.554,,,,,271.554,406.554,573.524,,1223.923,,,0,45.093,35.461,1304.477,128.987,1433.464,2006.988,
12/31/2008,1773.208,12.673,9.97,2.703,372.736,372.736,,0.0,0.0,0.0,0.0,0.0,252.615,,,,,638.024,201.512,374.226,-172.714,40.279,,893.393,770.99,424.213,346.777,,122.403,1135.184,,14.96,14.96,,,,0.0,0.0,0.0,0.0,,151.334,,,151.334,166.294,80.0,80.0,0.0,0.0,238.5,,,,,238.5,318.5,484.794,0.0,1230.968,,,0,-120.774,31.487,1141.681,146.733,1288.414,1773.208,
03/31/2009,1714.928,12.228,8.641,3.587,330.747,330.747,0.0,0.0,0.0,0.0,0.0,0.0,256.966,,,,256.966,599.941,205.104,,,39.966,39.966,869.917,753.787,424.213,329.574,,116.13,1114.987,,141.579,17.648,,,123.931,0.0,0.0,,,,26.524,,,26.524,168.103,0.0,0.0,,,238.971,,,,129.381,109.59,238.971,407.074,0.0,1226.721,1.639,1225.082,0,-72.942,30.642,1184.421,123.433,1307.854,1714.928,
06/30/2009,1794.299,51.683,9.718,41.965,348.876,348.876,0.0,0.0,0.0,0.0,0.0,0.0,294.222,,,,271.951,694.781,206.17,,,42.405,42.405,850.943,741.036,424.213,316.823,,109.907,1099.518,,110.244,9.593,,,100.651,0.0,0.0,,,,29.785,,,29.785,140.029,0.0,0.0,,,251.154,,48.584,,136.597,65.973,251.154,391.183,0.0,1241.165,1.652,1239.513,0,-5.743,36.131,1271.553,131.563,1403.116,1794.299,
09/30/2009,1865.861,174.003,11.12,162.883,331.689,331.689,0.0,0.0,0.0,0.0,0.0,0.0,275.396,,,8.464,252.14,781.088,207.072,,,43.222,43.222,834.479,736.402,424.213,312.189,,98.077,1084.773,,100.693,6.72,,,93.973,0.0,0.0,,,,40.257,,,31.793,140.95,,,,,242.964,,50.552,,123.544,68.868,242.964,383.914,0.0,1259.575,1.656,1257.919,0,47.192,36.916,1343.683,138.264,1481.947,1865.861,
12/31/2009,2963.062,254.37,254.37,,430.41,430.41,0.0,0.0,0.0,0.0,0.0,0.0,297.489,,,,297.489,982.269,239.644,447.775,-208.131,46.395,46.395,1694.754,1607.645,670.494,937.151,,87.109,1980.793,,173.493,27.538,,,145.955,0.0,0.0,0.0,0.0,,37.215,,,37.215,210.708,884.239,884.239,0.0,0.0,219.177,,40.298,,119.515,59.364,1103.416,1314.124,,1272.867,1.658,1271.209,0,113.853,-3.004,1383.716,265.222,1648.938,2963.062,
03/31/2010,3022.228,320.961,320.961,0.0,431.182,431.182,0.0,0.0,0.0,0.0,0.0,0.0,298.859,,,,298.859,1051.002,241.189,,,48.795,48.795,1681.242,1598.23,662.6,935.63,,83.012,1971.226,,192.646,50.472,,,142.174,0.0,0.0,,,,46.991,,,46.991,239.637,884.276,884.276,,,222.886,,41.152,,112.693,69.041,1107.162,1346.799,0.0,1285.526,1.661,1283.865,0,164.761,-2.509,1447.778,227.651,1675.429,3022.228,
06/30/2010,3116.514,331.011,331.011,0.0,472.37,472.37,0.0,0.0,0.0,0.0,0.0,0.0,328.773,,,,328.773,1132.154,234.017,,,51.092,51.092,1699.251,1583.543,666.502,917.041,,115.708,1984.36,,181.367,18.121,,,163.246,0.0,0.0,,,,54.82,,,54.82,236.187,884.32,884.32,,,203.944,,37.971,,86.827,79.146,1088.264,1324.451,0.0,1297.853,1.663,1296.19,0,245.458,-3.893,1539.418,252.645,1792.063,3116.514,
