Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
01/20/1991,27.136999,,-19.073999,,8.063,,-7.162,,,,0.901,-0.293,,0.321,,0.0,-0.028,0.608,-0.245,0.363,0.0,,,0.363,0.0,0.363,0.0,,0.363,0.363,,27.728001,0.013125,0.013125,,27.728001,0.013125,0.013125,0.013125,
04/14/1991,21.879,,-15.254,,6.625,,-5.631,,,,0.994,-0.211,,0.243,,0.0,-0.032,0.783,-0.315,0.468,0.0,,,0.468,0.0,0.468,0.0,,0.468,0.468,,27.728001,0.016875,0.016875,,27.728001,0.016875,0.016875,0.016875,
07/07/1991,21.874001,,-15.396,,6.478001,,-5.567,,,,0.911,-0.183,,0.212,,0.0,-0.029,0.728,-0.293,0.435,0.0,,,0.435,0.0,0.435,0.0,,0.435,0.435,,29.007999,0.015625,0.015625,,29.007999,0.015625,0.015625,0.015625,
09/29/1991,21.585999,,-15.038002,,6.547997,,-5.9,,,,0.648,-0.145,,0.165,,0.0,-0.02,0.503,-0.202,0.301,0.0,,,0.301,0.0,0.301,0.0,,0.301,0.301,,29.007999,0.01,0.01,,29.007999,0.01,0.01,0.01,
01/19/1992,55.493999,,-37.908001,,17.585999,,-15.535,,,,2.051,-0.289,,,,0.0,0.289,1.762,-0.739,1.023,0.0,,,1.023,0.0,1.023,0.0,,1.023,1.023,,62.560001,0.01625,0.01625,,62.560001,0.01625,0.01625,0.01625,
04/12/1992,49.585999,,-33.608002,,15.977997,,-14.515,,,,1.463,0.142,,,,0.0,-0.142,1.605,-0.661,0.944,0.0,,,0.944,0.0,0.944,0.0,,0.944,0.944,,86.447998,0.01125,0.01125,,86.447998,0.01125,0.01125,0.01125,
07/05/1992,48.574001,,-32.912998,,15.661003,,-14.476,,,,1.185,0.13,,,,0.0,-0.13,1.315,-0.524,0.791,0.0,,,0.791,0.0,0.791,0.0,,0.791,0.791,,88.239998,0.00875,0.00875,,88.239998,0.00875,0.00875,0.00875,
09/27/1992,51.694,,-35.132,,16.562,,-15.099,,,,1.463,0.537,,,,0.0,-0.537,2.0,-0.498,0.958,0.0,,,1.502,0.0,0.958,0.0,,0.958,0.958,,87.599998,0.01125,0.01125,,87.599998,0.01125,0.01125,0.01125,
01/17/1993,88.710999,,-60.194,,28.516998,,-25.649,,,,2.868,0.041,,0.261,,0.0,-0.302,2.909,-1.191,1.718,0.0,,,1.718,0.0,1.718,0.0,,1.718,1.718,,93.856003,0.01875,0.01875,,93.856003,0.01875,0.01875,0.01875,
04/11/1993,75.476997,,-50.514,,24.962997,,-21.865999,,,,3.097,-0.033,,0.114,,0.0,-0.081,3.064,-1.261,1.803,0.0,,,1.803,0.0,1.803,0.0,,1.803,1.803,,107.440002,0.01625,0.01625,,107.440002,0.01625,0.01625,0.01625,
07/04/1993,79.517998,,-53.772999,,25.744999,,-22.768999,,,,2.976,-0.027,,0.027,,0.0,0.0,2.949,-1.214,1.735,0.0,,,1.735,0.0,1.735,0.0,,1.735,1.735,,106.767998,0.01625,0.01625,,106.767998,0.01625,0.01625,0.01625,
09/26/1993,78.601715,,-52.360523,,26.241192,,-25.475698,,,,0.765,-1.272783,,0.076126,,0.0,1.196657,-0.507783,-0.930527,-1.43781,0.0,,,-1.43831,0.0,-1.43781,0.0,,-1.43781,-1.43781,,105.664001,-0.015,-0.015,,105.664001,-0.015,-0.015,-0.015,
01/16/1994,116.476997,,-78.892998,,37.584,,-33.396999,,,,4.187,-0.062,,0.075,,0.0,-0.013,4.125,-1.663,2.462,0.0,,,2.462,0.0,2.462,0.0,,2.462,2.462,,111.944,0.0225,0.0225,,111.944,0.0225,0.0225,0.0225,
04/10/1994,92.771004,,-62.333,,30.438004,,-26.849001,,,,3.589,-0.266,,0.024,,0.0,0.242,3.323,-1.306,2.017,0.0,,,2.017,0.0,2.017,0.0,,2.017,2.017,,115.360001,0.0175,0.0175,,115.360001,0.0175,0.0175,0.0175,
07/03/1994,97.362,,-89.586998,,7.775002,,-4.109,,,,3.666,0.029,,,,0.0,-0.029,3.695,-1.49,2.205,0.0,,,2.205,0.0,2.205,0.0,,2.205,2.205,,114.431999,0.01875,0.01875,,114.431999,0.01875,0.01875,0.01875,
09/25/1994,95.074997,,-41.364006,,53.710991,,-50.487003,,,,3.224001,0.307,,0.008,,0.0,-0.315,3.531001,-1.576,1.955,0.0,,,1.955001,0.0,1.955,0.0,,1.955,1.955,,113.704002,0.0175,0.0175,,113.704002,0.0175,0.0175,0.0175,
01/15/1995,138.966995,,-94.871002,,44.095993,,-40.02,,,,4.076,-0.131,,0.131,,0.0,0.0,3.945,-1.592,2.353,0.0,,,2.353,0.0,2.353,0.0,,2.353,2.353,,113.424004,0.02125,0.02125,,113.424004,0.02125,0.02125,0.02125,
04/09/1995,117.026001,,-79.529999,,37.496002,,-32.854,,,,4.642,-0.321,,0.321,,0.0,0.0,4.321,-1.772,2.549,0.0,,,2.549,0.0,2.549,0.0,,2.549,2.549,,113.223999,0.0225,0.0225,,113.223999,0.0225,0.0225,0.0225,
07/02/1995,119.888,,-81.134003,,38.753998,,-36.549,,,,2.205,-0.43,,0.43,,0.0,0.0,1.775,-0.728,1.047,0.0,,,1.047,0.0,1.047,0.0,,1.047,1.047,,113.919998,0.00875,0.00875,,113.919998,0.00875,0.00875,0.00875,
09/24/1995,120.492996,,-81.906006,,38.58699,,-34.453007,,,,4.134,-0.609,,0.609,,0.0,0.0,3.525,-1.255,2.27,0.0,,,2.27,0.0,2.27,0.0,,2.27,2.27,,113.704002,0.02,0.02,,113.704002,0.02,0.02,0.02,
01/14/1996,244.985992,,-168.781006,,76.204987,,-72.776001,,,,3.429,-0.866,,0.866,,0.0,0.0,2.563,-2.522,0.041,0.0,,,0.041,0.0,0.041,0.0,,0.041,0.041,,153.399994,0.0,0.0,0.0,153.399994,0.0,0.0,0.0,
04/07/1996,203.912003,,-138.082993,,65.82901,,-60.585999,,,,5.243,-2.844,,0.86,,0.0,1.984,2.399,-0.882,1.517,0.0,,,1.517,0.0,1.517,0.0,,1.517,1.517,,155.352005,0.01,0.01,0.01,155.352005,0.01,0.01,0.01,
06/30/1996,213.401993,,-145.145996,,68.255997,,-60.429001,,,,7.827,-0.871,,0.871,,0.0,0.0,6.956,-2.293,4.663,0.0,,,4.663,0.0,4.663,0.0,,4.663,4.663,,159.960007,0.02875,0.02875,0.02875,159.960007,0.02875,0.02875,0.02875,
09/29/1996,284.053009,,-193.914993,,90.138016,,-72.315994,,,,17.821999,-43.859,,2.074,,0.0,41.785,-26.037001,7.101,-18.936001,0.0,,,-18.936001,0.0,-18.936001,0.0,,-18.936001,-18.936001,,153.432007,-0.1525,-0.1525,0.01125,153.432007,-0.1525,-0.1525,0.01125,
01/19/1997,312.584015,,-213.136993,,99.447021,,-88.668999,,,,10.778,-1.583,,1.762,,0.0,-0.179,9.195,-3.207,5.988,0.0,,,5.988,0.0,5.988,0.0,,5.988,5.988,,192.679993,0.03125,0.03125,0.03125,199.768005,0.03,0.03,0.03,
04/13/1997,259.799988,,-174.516006,,85.283981,,-72.686996,,,,12.597,-1.418,,1.519,,0.0,-0.101,11.179,-3.961,7.218,0.0,,,7.218,0.0,7.218,0.0,,7.218,7.218,,193.240005,0.0375,0.0375,0.0375,198.727997,0.03625,0.03625,0.03625,
07/06/1997,274.51001,,-182.488998,,92.021011,,-77.833,,,,14.188,-1.266,,1.41,,0.0,-0.144,12.922,-4.639,8.283,0.0,,,8.283,0.0,8.283,0.0,,8.283,8.283,,193.503998,0.0425,0.0425,0.0425,202.352005,0.04125,0.04125,0.04125,
09/28/1997,270.451935,,-179.409027,,91.042908,,-73.514008,,,,17.528999,-11.457,,1.353,,0.0,10.104,6.071999,-0.917,5.154999,0.0,,,5.154999,0.0,5.154999,0.0,,5.154999,5.154999,,195.088,0.02625,0.02625,0.0425,205.927992,0.025,0.025,0.04125,
01/18/1998,407.788,,-272.036,,135.752,0.0,-114.668,111.904,,2.764,21.084,-1.992,,1.998,,,-0.006,19.092,-7.064,12.028,,,,12.028,,12.028,,0.0,12.028,12.028,,207.304,0.0575,0.0575,0.0575,220.184,0.055,0.055,0.055,
04/12/1998,324.811005,,-213.871994,,110.939011,,-92.082001,,,,18.857,-1.2,,1.534,,0.0,-0.334,17.657,-6.533,11.124,0.0,,,11.124,0.0,11.124,0.0,,11.124,11.124,,208.751999,0.05375,0.05375,0.05375,222.591995,0.05,0.05,0.05,
