Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Investment Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investment & Loan Inc (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,104.161998,71.087997,167.034996,144.466995,22.568001,-95.946999,33.074,0.019,,,,33.055,0.0,-10.006,94.155998,-57.403,0.0,57.403,36.752998,0.0,0.0,36.752998,-10.282,26.471001,0.0,,,26.470999,0.0,26.471001,0.0,,26.471001,26.471001,,297.363659,0.089547,0.089547,,297.363659,0.089547,0.089547,0.089547,
06/30/1990,105.763002,70.478003,167.844,143.931,23.913,-97.365997,35.284999,-0.098,,,,35.382999,0.0,-8.993,96.770002,-55.173,0.0,55.173,41.597,0.0,0.0,41.597,-11.703,29.893999,0.0,,,29.894,0.0,29.893999,0.0,,29.893999,29.893999,,297.62185,0.100082,0.100082,,297.62185,0.100082,0.100082,0.100082,
09/30/1990,110.440994,72.443995,176.339998,151.169998,25.17,-103.896004,37.997,0.101,,,,37.896,0.0,-9.969,100.471995,-56.035999,0.0,56.035999,44.436001,0.0,0.0,44.436001,-12.4,32.035999,0.0,,,32.036001,0.0,32.035999,0.0,,32.035999,32.035999,,297.948375,0.107984,0.107984,,297.948375,0.107984,0.107984,0.107984,
12/31/1990,111.119995,79.628994,185.345997,158.367996,26.978001,-105.717003,31.491001,-0.074,,,,31.565001,0.0,-10.911,100.208995,-54.712002,0.0,54.712002,45.497002,0.0,0.0,45.497002,-13.487,32.009998,0.0,,,32.010002,0.0,32.009998,0.0,,32.009998,32.009998,,298.859617,0.106667,0.106667,0.106667,298.859617,0.106667,0.106667,0.106667,
03/31/1991,119.266992,79.076994,176.989996,146.145996,30.844,-97.913002,40.189998,2.194,,,,37.995998,0.0,-14.123,105.143992,-60.832001,0.0,60.832001,44.312,0.0,0.0,44.312,-13.503,30.809,0.0,,,30.809,0.0,30.809,0.0,,30.809,30.809,,299.246918,0.102716,0.102716,,299.246918,0.102716,0.102716,0.102716,
06/30/1991,123.607001,81.723999,178.574997,142.307999,36.266998,-96.850998,41.883002,0.754,,,,41.129002,0.0,-13.277,110.33,-61.630001,0.0,61.630001,48.700001,0.0,0.0,48.700001,-14.347,34.353001,0.0,,,34.353001,0.0,34.353001,0.0,,34.353001,34.353001,,299.527877,0.114568,0.114568,,299.527877,0.114568,0.114568,0.114568,
09/30/1991,128.364995,83.499996,180.089993,145.121994,34.967999,-96.589996,44.864999,1.196,,,,43.668999,0.0,-13.371,114.993995,-63.443001,0.0,63.443001,51.550999,0.0,0.0,51.550999,-15.393,36.158001,0.0,,,36.157999,0.0,36.158001,0.0,,36.158001,36.158001,,299.846813,0.121152,0.121152,,299.846813,0.121152,0.121152,0.121152,
12/31/1991,132.893003,87.920002,177.846005,140.378006,37.467999,-89.926003,44.973001,0.009,,,,44.964001,0.0,-14.973,117.920003,-63.887001,0.0,63.887001,54.033001,0.0,0.0,54.033001,-17.202999,36.830002,0.0,,,36.830002,0.0,36.830002,0.0,,36.830002,36.830002,,300.310039,0.122469,0.122469,0.122469,300.310039,0.122469,0.122469,0.122469,
03/31/1992,137.212992,90.910992,168.770992,131.860992,36.91,-77.860001,46.302001,0.081,,,,46.221001,0.0,-16.177999,121.034993,-68.817001,0.0,68.817001,52.217999,0.0,0.0,52.217999,-16.044001,36.174,0.0,,,36.173998,0.0,36.174,0.0,,36.174,36.174,,300.68213,0.121152,0.121152,,300.68213,0.121152,0.121152,0.121152,
06/30/1992,146.396,95.854,173.493,140.834,32.659,-77.639,50.542,1.201,,,,49.341,0.0,-16.379,130.017,-71.240997,0.0,71.240997,58.776001,0.0,0.0,58.776001,-18.333,40.443001,0.0,,,40.443001,0.0,40.443001,0.0,,40.443001,40.443001,,301.866742,0.134321,0.134321,,301.866742,0.134321,0.134321,0.134321,
