Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
10/28/1989,-3.394,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/27/1990,16.732,13.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/28/1990,35.101002,20.141001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/28/1990,5.166,25.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.166,,,
10/27/1990,26.516001,8.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/26/1991,31.433001,16.663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/27/1991,33.581001,24.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/03/1991,35.099998,30.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.099998,,,
11/02/1991,25.479,9.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/1992,31.392,18.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
