Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch of Investments,Net Ch of Interbank Asset,Net Ch of Interbank Liab,Net Ch in Operating Loans,Change of Accrued Interest Receivable,Change of Accrued Interest Payable,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Increase in Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1999,89.199997,61.0,6.8,-0.8,,,,-0.8,22.200001,,,,,,,,,,,-7.7,,-7.7,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,6.1,0.6,
06/30/1999,50.0,70.900002,7.9,-2.4,,,,-2.4,-26.4,,,,,,,,,,,-9.9,,-9.9,,,,,,,,,,,,9.9,,,,,,,,,,,,,,,46.200001,0.3,
09/30/1999,105.400002,82.699997,10.0,2.5,,,,2.5,10.2,,,,,,,,,,,-11.0,,-11.0,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,29.0,0.2,
12/31/1999,119.800003,98.5,10.7,-11.5,,,,-11.5,22.1,,,,,,,,,,,-21.9,,-21.9,,,,,,,,,,,,21.9,,,,,,,,,,,,,,,61.599998,0.4,
03/31/2000,189.399994,188.699997,15.6,-32.099998,,,,-32.099998,17.200001,,,,,,,,,,,-31.5,,-31.5,,,,,,,,,,,,31.5,,,,,,,,,,,,,,,22.4,1.9,
06/30/2000,328.0,151.7,35.5,170.1,,27.9,2.8,139.4,-29.3,,,,,,,,,,-76.2,-75.8,,-75.8,-1.9,18.7,-20.6,,,,,,,,,1.5,-132.4,0.0,-125.0,,,,,0.0,0.0,0.0,,-7.4,,119.4,174.7,2.4,
09/30/2000,336.700012,170.100006,21.5,-0.2,,,,-0.2,145.300003,,,,,,,,,,,-20.6,,-20.6,,,,,,,,,,,,20.6,,,,,,,,,,,,,,,1.2,1.4,
12/31/2000,66.599983,153.199997,24.200001,-6.8,,,,-6.8,-104.0,,,,,,,,,,,-10.7,,-10.7,,,,,,,,,,,,10.7,,,,,,,,,,,,,,,184.300003,0.2,
03/31/2001,150.0,111.400002,24.9,7.9,,,,7.9,5.8,,,,,,,,,,,-13.0,,-13.0,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,6.9,0.3,
06/30/2001,142.0,90.400002,32.099998,-12.6,,,,-12.6,32.099998,,,,,,,,,,,-7.2,,-7.2,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,64.0,9.0,
09/30/2001,178.199997,26.799999,35.0,72.0,,,,72.0,44.400002,,,,,,,,,,,-6.5,,-6.5,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,2.3,0.3,
12/31/2001,31.0,73.699997,38.599998,-28.700001,,,,-28.700001,-52.599998,,,,,,,,,,,-7.6,,-7.6,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,106.0,1.6,
03/31/2002,130.300003,97.199997,24.200001,-23.4,,,,-23.4,32.299999,,,,,,,,,,,-3.7,,-3.7,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,1.4,0.1,
06/30/2002,17.200001,73.699997,30.6,-27.1,,,,-27.1,-60.0,,,,,,,,,,,-6.3,,-6.3,,,,,,,,,,,,6.3,,,,,,,,,,,,,,,94.300003,13.4,
09/30/2002,69.900002,-131.199997,51.900002,110.699997,,,,110.699997,38.5,,,,,,,,,,,-2.2,,-2.2,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,47.200001,0.0,
