Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1992,708.0,,,,,,,-700.0,,,,,8.0,-3.0,,3.0,,0.0,,,5.0,-2.0,3.0,0.0,,,3.0,0.0,3.0,0.0,,3.0,3.0,,158.464996,0.02,0.02,,158.464996,0.02,0.02,0.02,
06/30/1992,732.0,,,,,,,-732.0,,,,,0.0,-3.0,,3.0,,0.0,,,-3.0,1.0,-2.0,0.0,,,-2.0,0.0,-2.0,0.0,,-2.0,-2.0,,158.529007,-0.02,-0.02,,158.529007,-0.02,-0.02,-0.02,
09/30/1992,739.0,,,,,,,-730.0,,,,,9.0,-4.0,,4.0,,0.0,,,5.0,-1.0,4.0,0.0,,,4.0,0.0,4.0,0.0,,4.0,4.0,,158.694,0.03,0.03,,158.694,0.03,0.03,0.03,
12/31/1992,742.0,,,,,,,-730.0,,,,,12.0,-2.0,,2.0,,0.0,,,10.0,-4.0,6.0,0.0,,,6.0,0.0,6.0,0.0,,6.0,6.0,,158.637497,0.04,0.04,,158.637497,0.04,0.04,0.04,
04/01/1993,798.0,,,,,,,-767.0,,,,,31.0,-2.0,,2.0,,0.0,,0.0,29.0,-11.0,18.0,0.0,,,18.0,0.0,18.0,0.0,,18.0,18.0,,158.899994,0.11,0.11,,158.899994,0.11,0.11,0.11,
06/30/1993,795.0,,,,,,,-763.0,,,,,32.0,-2.0,,2.0,,0.0,,0.0,30.0,-11.0,19.0,0.0,,,19.0,0.0,19.0,0.0,,19.0,19.0,,159.039993,0.12,0.12,,159.039993,0.12,0.12,0.12,
09/30/1993,796.0,,,,,,,-757.0,,,,,39.0,-1.0,,1.0,,0.0,,,38.0,-15.0,23.0,0.0,,,23.0,0.0,23.0,0.0,,23.0,23.0,,159.345001,0.15,0.15,,159.345001,0.15,0.15,0.15,
12/31/1993,806.0,,,,,,,-758.0,,,,,48.0,-2.0,,2.0,,0.0,,0.0,46.0,-17.0,29.0,0.0,,,29.0,0.0,29.0,0.0,,29.0,29.0,,159.850006,0.18,0.18,,159.850006,0.18,0.18,0.18,
03/31/1994,869.0,,,,,,,-817.0,,,,,52.0,-1.0,,1.0,,0.0,,,51.0,-19.0,32.0,0.0,,,32.0,0.0,32.0,0.0,,32.0,32.0,,160.481995,0.2,0.2,,160.481995,0.2,0.2,0.2,
06/30/1994,917.0,,,,,,,-859.0,,,,,58.0,10.0,,0.0,,0.0,,-10.0,68.0,-14.0,54.0,0.0,,,54.0,0.0,54.0,0.0,,54.0,54.0,,160.835999,0.33,0.33,,160.835999,0.33,0.33,0.33,
09/30/1994,926.0,,,,,,,-860.0,,,,,66.0,-1.0,,1.0,,0.0,,,65.0,-23.0,42.0,0.0,,,42.0,0.0,42.0,0.0,,42.0,42.0,,161.052994,0.27,0.27,,161.052994,0.27,0.27,0.27,
12/31/1994,942.0,,,,,,,-886.0,,,,,56.0,17.0,,0.0,,0.0,,-17.0,73.0,-25.0,48.0,0.0,,,48.0,0.0,48.0,0.0,,48.0,48.0,,161.272003,0.3,0.3,,161.272003,0.3,0.3,0.3,
03/31/1995,1048.0,,,,,,,-966.0,,,,,82.0,-2.0,,2.0,,0.0,,,80.0,-27.0,53.0,0.0,,,53.0,0.0,53.0,0.0,,53.0,53.0,,162.039993,0.32,0.32,,162.039993,0.32,0.32,0.32,
06/30/1995,1070.0,,,,,,,-1000.0,,,,,70.0,-2.0,,2.0,,0.0,,,68.0,-23.0,45.0,0.0,,,45.0,0.0,45.0,0.0,,45.0,45.0,,162.255005,0.28,0.28,,162.255005,0.28,0.28,0.28,
09/30/1995,1094.0,,,,,,,-1027.0,,,,,67.0,-2.0,,2.0,,0.0,,,65.0,-22.0,43.0,0.0,,,43.0,0.0,43.0,0.0,,43.0,43.0,,162.334,0.27,0.27,,162.334,0.27,0.27,0.27,
12/31/1995,1490.0,,,,,,,-1410.0,,,,,80.0,-5.0,,5.0,,0.0,,,75.0,-26.0,49.0,0.0,,,49.0,0.0,49.0,0.0,,49.0,49.0,,162.445999,0.3,0.3,,162.445999,0.3,0.3,0.3,
03/31/1996,1588.0,,,,,,,-1502.0,,,,,86.0,-5.0,,5.0,,0.0,,,81.0,-28.0,53.0,0.0,,,53.0,0.0,53.0,0.0,,53.0,53.0,,162.378998,0.32,0.32,0.32,162.378006,0.32,0.32,0.32,
06/30/1996,1605.0,,,,,,,-1667.0,,,,,-62.0,78.0,,3.0,,0.0,,-81.0,16.0,51.0,-95.0,0.0,,,67.0,0.0,-95.0,0.0,,-95.0,-95.0,,162.455002,-0.58,-0.58,0.22,162.455002,-0.58,-0.58,0.22,
09/30/1996,1784.0,,,,,,,-1734.0,,,,,50.0,-2.0,,2.0,,0.0,,,48.0,-16.0,32.0,0.0,,,32.0,0.0,32.0,0.0,,32.0,32.0,,160.0,0.2,0.2,0.2,162.578995,0.19,0.19,0.19,
12/31/1996,1811.0,,,,,,,-1760.0,,,,,51.0,-16.0,,1.0,,0.0,,15.0,35.0,-13.0,22.0,0.0,,,22.0,0.0,22.0,0.0,,22.0,22.0,,162.712997,0.13,0.13,0.19,162.712997,0.13,0.13,0.19,
03/31/1997,1832.0,,,,,,,-1769.0,,,,,63.0,-3.0,,3.0,,0.0,,,60.0,-21.0,39.0,0.0,,,39.0,0.0,39.0,0.0,,39.0,39.0,,162.800995,0.24,0.24,0.24,165.016998,0.24,0.24,0.24,
