Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2010,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,-12.9,,,-12.9,-12.9,,,-0.08,-0.08,,,,,,
06/30/2010,,,,,,,,,,,81.2,,,,,,,,,,,,,,,,37.2,,,37.2,37.2,,,0.24,0.24,,,,,,
09/30/2010,813.1,813.1,-541.2,541.2,271.9,0.0,-206.6,202.8,,3.8,65.3,-28.5,29.3,33.2,-3.9,,-0.8,36.8,-9.1,,27.7,0.0,0.0,0.0,27.7,-0.3,27.4,0.0,0.0,27.4,45.3,17.9,155.1,0.18,0.18,0.29207,155.1,0.18,0.18,0.29207,
12/31/2010,843.7,843.7,-577.4,577.4,266.3,0.0,-229.9,219.0,,10.9,36.4,-28.2,28.7,32.2,-3.5,,-0.5,8.2,3.4,,11.6,0.0,0.0,0.0,11.6,-0.4,11.2,0.0,0.0,11.2,35.595,24.395,155.1,0.07,0.07,0.229497,155.1,0.07,0.07,0.227286,
03/31/2011,714.8,714.8,-504.5,504.5,210.3,0.0,-202.5,198.5,,4.0,7.8,-22.8,22.8,,,,0.0,-15.0,4.7,,-10.3,0.0,0.0,0.0,-10.3,-0.2,-10.5,0.0,0.0,-10.5,2.1,12.6,155.1,-0.07,-0.07,0.01354,155.1,-0.07,-0.07,0.011238,
06/30/2011,889.7,889.7,-598.4,598.4,291.3,0.0,-226.1,221.9,,4.2,65.2,-0.6,0.5,,,,0.1,64.6,-20.5,,44.1,0.0,0.0,0.0,44.1,-0.4,43.7,0.0,0.0,43.7,43.0,-0.7,155.1,0.28,0.28,0.27724,155.1,0.28,0.28,0.275487,
09/30/2011,848.0,848.0,-592.2,592.2,255.8,0.0,-235.0,228.0,,7.0,20.8,-1.9,0.1,0.2,-0.1,,1.8,18.9,-16.4,,2.5,0.0,0.0,0.0,2.5,-0.3,2.2,0.0,0.0,2.2,19.832,17.632,155.1,0.01,0.01,0.127866,155.1,0.01,0.01,0.127866,
12/31/2011,876.1,876.1,-637.0,637.0,239.1,0.0,-348.5,252.2,,96.3,-109.4,-2.7,3.0,,,,-0.3,-112.1,41.2,,-70.9,0.0,0.0,0.0,-70.9,-0.1,-71.0,0.0,0.0,-71.0,-4.98,66.02,155.7,-0.46,-0.46,-0.031985,155.7,-0.46,-0.46,-0.035979,
03/31/2012,798.8,798.8,-552.0,552.0,246.8,0.0,-225.5,221.1,,4.4,21.3,-2.0,2.5,2.5,0.0,,-0.5,19.3,-6.3,,13.0,0.0,0.0,0.0,13.0,-0.5,12.5,0.0,0.0,12.5,12.3,-0.2,158.2,0.08,0.08,0.07775,163.0,0.08,0.08,0.07775,
06/30/2012,935.3,935.3,-617.9,617.9,317.4,0.0,-245.1,242.3,,2.8,72.3,-2.8,2.1,2.1,0.0,,0.7,69.5,-21.6,,47.9,0.0,0.0,0.0,47.9,-0.1,47.8,0.0,0.0,47.8,48.0,0.2,160.1,0.3,0.3,0.299813,165.4,0.29,0.29,0.291209,
