Date,Revenue,Sales & Services Revenue,Other Revenue,Other Operating Income,Operating Expenses,Depreciation & Amortization,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,1183,,,,-1027,,,,156,-67,,58,,0.0,9,89,-34,55,-8.0,,,63,0.0,63,,,63.0,63.0,,229.475991,0.273333,0.24,0.24,229.475991,0.273333,0.24,0.24,
06/30/1990,1172,,,,-995,,,,177,-62,,57,,0.0,5,115,-44,71,0.0,,,71,0.0,71,,,71.0,71.0,,230.381997,0.306667,0.306667,0.306667,230.381997,0.306667,0.306667,0.306667,
09/30/1990,1155,,,,-999,,,,156,-64,,61,,0.0,3,92,-34,58,0.0,,,58,0.0,58,,,58.0,58.0,,236.594994,0.25,0.25,0.25,236.594994,0.25,0.25,0.25,
12/31/1990,1164,,,,-1048,,,,106,-46,,67,,0.0,-21,60,-22,38,-6.0,,,44,0.0,44,-1.0,,43.0,43.0,,228.231009,0.193333,0.166667,0.166667,228.231009,0.193333,0.166667,0.166667,
03/31/1991,1132,,,,-1082,,,,50,-62,,60,,0.0,2,-12,4,-8,0.0,,,-8,0.0,-8,,,-8.0,-8.0,,228.657006,-0.033333,-0.033333,-0.033333,228.657006,-0.033333,-0.033333,-0.033333,
06/30/1991,1080,,,,-985,,,,95,-768,,55,,0.0,713,-673,253,-420,0.0,,,-420,0.0,-420,,,-420.0,-420.0,,229.188012,-1.836667,-1.836667,-1.836667,229.188012,-1.836667,-1.836667,-1.836667,
09/30/1991,1155,,,,-988,,0.0,,167,-59,0.0,55,0.0,0.0,4,108,-40,68,0.0,,,68,0.0,68,0.0,0.0,68.0,68.0,0.0,229.992003,0.296667,0.296667,0.296667,229.992003,0.296667,0.296667,0.296667,
12/31/1991,1192,,,,-1035,,,,157,-70,,56,,0.0,14,87,-33,54,14.0,,,40,0.0,40,,,40.0,40.0,,246.204003,0.16,0.216667,0.216667,246.204003,0.16,0.216667,0.216667,
03/31/1992,1185,,,,-1037,,0.0,,148,-1,0.0,47,0.0,0.0,-46,147,-56,91,21.0,,,70,0.0,70,0.0,0.0,70.0,70.0,0.0,265.239006,0.266667,0.346667,0.346667,265.239006,0.266667,0.346667,0.346667,
06/30/1992,1091,,,,-987,,,,104,-47,,47,,0.0,0,57,-21,36,0.0,,,36,0.0,36,,,36.0,36.0,,266.225991,0.133333,0.133333,0.133333,266.225991,0.133333,0.133333,0.133333,
09/30/1992,1158,,,,-1011,,,,147,-50,,47,,0.0,3,97,-36,61,0.0,,,61,0.0,61,,,61.0,61.0,,266.387994,0.226667,0.226667,0.226667,266.387994,0.226667,0.226667,0.226667,
12/31/1992,1196,,,,-998,,,,198,-47,,45,,0.0,2,151,-40,111,0.0,,,111,0.0,111,-3.0,,108.0,108.0,,266.405982,0.41,0.41,0.41,266.405982,0.41,0.41,0.41,
03/31/1993,1170,,,,-1002,,,,168,-36,,33,,0.0,3,132,-50,82,0.0,,,82,0.0,82,-5.0,,77.0,77.0,,267.425994,0.286667,0.286667,0.286667,267.425994,0.286667,0.286667,0.286667,
06/30/1993,1142,,,,-994,,,,148,-33,,36,,0.0,-3,115,-43,72,0.0,,,72,0.0,72,-6.0,,66.0,66.0,,269.127,0.246667,0.246667,,269.127,0.246667,0.246667,0.246667,
09/30/1993,1141,,,,-1020,,,,121,-36,,38,,0.0,-2,85,-61,24,0.0,,,24,0.0,24,-5.0,,19.0,19.0,,269.549994,0.07,0.07,0.07,269.549994,0.07,0.07,0.07,
12/31/1993,1246,,,,-1022,,0.0,,224,-35,0.0,38,0.0,0.0,-3,189,-71,118,0.0,,,118,0.0,118,-6.0,0.0,112.0,112.0,0.0,269.756997,0.416667,0.416667,0.416667,269.756997,0.416667,0.416667,0.416667,
