Date,P/E,P/Book,Average,High,Low,P/Tangible Book,P/Sales,P/Cash Flow,P/Free Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
06/30/1999,,6.082202,321.380999,326.399774,292.482492,9.752025,,,,,,,9.6875,483.733883,
09/30/1999,,6.683759,432.94384,600.326632,287.724659,10.210097,,,,,,,10.875,565.818778,
12/31/1999,,11.2659,609.577861,854.121835,525.842928,38.555307,,,,12.002465,112.611132,,18.75,1044.130425,
03/31/2000,,6.262307,1356.886003,1873.891599,802.019872,7.145522,,,,18.121692,139.106458,,44.0,1879.32825,
06/30/2000,,7.265208,1812.333431,2374.083045,1489.717467,8.277024,13.883988,58.312387,,18.773279,122.602369,,51.9375,2305.414953,
09/30/2000,,3.635568,2099.234519,2425.068012,1735.198028,4.027738,10.691577,44.56977,,14.333027,80.948566,,41.9375,2058.036346,
12/31/2000,,3.543801,1813.71087,2315.00804,1392.74801,4.193591,10.138571,37.748973,,13.041436,69.048507,,41.0625,2189.735321,
03/31/2001,,1.404838,1864.044784,2385.903163,996.877157,1.742154,3.658922,19.516688,,6.344441,27.475119,,15.8125,1208.190907,
06/30/2001,,2.282887,1596.794879,2065.155,1075.335003,2.953891,5.420053,28.176642,,8.568545,42.15438,,24.75,1796.703984,
09/30/2001,,1.360906,1404.985173,1692.006005,1144.93201,1.806763,2.756039,15.336267,,5.929318,27.499822,,13.35,1347.87628,
12/31/2001,,1.406722,1248.574698,1472.97698,1004.915994,1.900517,2.545046,47.707417,,6.077891,25.946136,,13.02,1476.283252,
03/31/2002,,0.443192,1131.635937,1487.970029,926.418614,0.588669,0.622043,,,4.257377,16.274999,,3.29,1080.871501,
06/30/2002,,0.288514,1024.05825,1076.406023,973.067221,0.294397,0.264782,,,3.848967,13.561872,,1.41,999.699843,
09/30/2002,,0.25796,1002.581924,1023.774199,986.580403,0.263659,0.20966,,,3.980287,15.825943,,1.09,1024.888031,
12/31/2002,,0.103019,992.806881,1015.700699,979.3699,0.104929,0.086058,5.837687,,4.098161,14.732519,,0.41,984.058667,
03/31/2003,,0.44407,999.951276,1047.124696,984.568676,0.455685,0.295264,2.008293,,4.602561,18.048596,,1.32,1048.804013,
06/30/2003,,1.606498,1094.177034,1147.486991,1004.565,1.658761,0.732801,35.127983,,4.773543,17.767869,,3.01,1003.618207,
09/30/2003,,1.860753,1024.963049,1054.162,986.737002,1.917563,0.825055,,,5.153585,9.655646,,3.15,1015.503636,
12/31/2003,,4.714547,1037.697232,1060.210996,1009.054998,4.988308,0.953091,,,5.196225,10.374498,,3.76,1054.08016,
03/31/2004,,88.944682,1080.504928,1128.639999,1040.479342,705.37853,1.008489,,,5.451081,11.089794,,3.88,1101.216543,
06/30/2004,,,1103.565388,1139.563149,1063.912883,,1.130049,,,5.294523,10.483906,,4.45,1124.493249,
09/30/2004,,,1165.579509,1265.796214,1111.819784,,1.730004,57.846468,,5.756474,13.378369,,7.0,1286.785025,
09/12/2020,849.496575807377,,,,,,16.7121536484049,31.1679678237261,36.0442202460519,22.7803347521656,31.8278947943321,75.6417801176902,304.57,46597.15195522,
03/31/2018,160.468914646997,,,,,,16.3170350226546,31.3408108664334,,22.3014876169978,31.0756651999301,70.178758867342,,,
06/30/2018,134.646330680813,,,,,,15.9595636027954,30.5027541311968,,21.8129096104941,30.2251731405031,66.8346987309524,,,
