Date,P/Book,Average,High,Low,P/Sales,P/Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
09/30/1980,,,,,,,,,,4.625,,
12/31/1980,,,,,,,,,,5.1875,,
03/31/1981,,,,,,,,,,5.375,,
06/30/1981,,,,,,,,,,4.90625,,
09/30/1981,,,,,,,,,,4.0,,
12/31/1981,,,,,,,,,,4.0,,
03/31/1982,,,,,,,,,,4.28125,,
06/30/1982,,,,,,,,,,3.6875,,
09/30/1982,,,,,,,,,,4.25,,
12/31/1982,,,,,,,,,,5.0625,,
03/31/1983,,,,,,,,,,5.03125,,
06/30/1983,,,,,,,,,,6.0,,
09/30/1983,,,,,,,,,,6.53125,,
12/31/1983,,,,,,,,,,7.90625,,
03/31/1984,,,,,,,,,,7.59375,,
06/30/1984,,,,,,,,,,6.875,,
09/30/1984,,,,,,,,,,7.46875,,
12/31/1984,,,,,,,,,,8.65625,,
03/31/1985,,,,,,,,,,9.09375,,
06/30/1985,,,,,,,,,,10.3125,,
09/30/1985,,,,,,,,,,10.34375,,
12/31/1985,,,,,,,,,,12.65625,,
03/31/1986,,,,,,,,,,15.21875,,
06/30/1986,,,,,,,,,,14.75,,
09/30/1986,,,,,,,,,,15.125,,
12/31/1986,,,,,,,,,,15.6875,,
03/31/1987,,,,,,,,,,19.15625,,
06/30/1987,,,,,,,,,,18.09375,,
09/30/1987,,,,,,,,,,20.8125,,
12/31/1987,,,,,,,,,,17.625,,
03/31/1988,,,,,,,,,,18.25,,
06/30/1988,,,,,,,,,,20.125,,
09/30/1988,,,,,,,,,,18.4375,,
12/31/1988,,,,,,,,,,19.625,,
03/31/1989,,,,,,,,,,20.25,,
06/30/1989,,,,,,,,,,22.375,,
09/30/1989,,,,,,,,,,25.5625,,
12/30/1989,,,,,,,,,,24.0625,,
03/31/1990,1.572299,5428.656398,5428.656398,5428.656398,,,,,,22.625,5430.828586,
06/30/1990,1.634177,5356.842143,5759.91128,5173.24958,,,,,,24.0625,5761.258774,
09/29/1990,1.037373,5601.803134,5962.294785,4509.684746,0.442142,,0.888371,,,15.75,4656.665533,
12/29/1990,1.28214,4928.111643,5470.801319,4610.179301,0.520504,7.140182,1.021384,6.854829,12.098273,18.9375,5470.839155,
03/31/1991,1.344909,5745.955068,6096.762178,5323.527317,0.565648,8.181409,1.101071,7.396235,13.532871,20.125,5769.062919,
06/30/1991,1.435779,5867.515638,6116.710115,5638.063112,0.607161,7.426317,1.129168,7.621283,14.65286,20.875,5719.011001,
09/29/1991,1.325392,5597.408079,5726.510611,5311.803525,0.581136,5.297212,1.088559,7.451535,15.014665,19.25,5313.68987,
12/29/1991,1.279098,5050.154929,5304.165539,4668.22702,0.538616,4.353923,1.030656,7.04112,14.447305,17.1875,4848.515427,
03/28/1992,1.515132,5289.225976,5558.159845,4885.003518,0.637634,4.842573,1.139415,7.855527,15.031081,20.625,5435.238842,
06/27/1992,1.386025,5501.381476,5767.730346,5185.870213,0.58119,4.716089,1.059578,7.43616,13.50184,19.3125,5194.157733,
09/26/1992,1.304721,5162.667826,5406.640352,4926.244867,0.556094,5.540529,1.008791,7.350682,12.917344,19.0,5088.141778,
12/26/1992,1.318644,5017.01668,5162.050775,4812.023859,0.522188,6.409552,0.945154,6.85674,11.713876,18.0,4812.060126,
03/27/1993,1.353309,4944.759862,5153.885512,4664.205866,0.575846,6.842857,1.054748,7.696943,14.270656,18.375,4972.610275,
06/26/1993,1.199439,4840.047533,5024.617498,4621.096033,0.559008,7.471263,1.089921,7.852397,15.527904,16.5,4756.197046,
09/25/1993,1.215364,4768.503582,4941.219553,4608.17904,0.611809,9.446993,1.204327,8.155138,16.5956,16.375,4767.086019,
12/31/1993,1.940892,5058.212039,5464.137027,4738.841413,0.84863,9.637897,1.524278,9.69206,20.737699,20.5625,5464.383651,
03/26/1994,2.023358,5709.048256,5880.522039,5436.378027,0.903597,9.029052,1.609689,9.894806,20.458252,21.625,5706.829385,
06/30/1994,2.385088,5871.599672,6422.602109,5285.132455,1.097241,9.84836,1.81954,10.540916,20.954668,26.125,6426.79673,
09/24/1994,2.695781,6964.01572,7443.807574,6319.365961,1.292284,11.564118,2.023759,10.97247,20.819353,30.625,7133.751325,
12/31/1994,2.994044,7372.533895,7763.626697,5949.822063,1.439666,24.329868,1.668948,8.551301,15.379579,34.5625,5976.504423,
04/01/1995,3.746699,6575.777316,7761.700967,5855.810813,1.776232,,2.078739,10.170549,16.432148,44.5,7806.913255,
07/01/1995,3.901041,7814.503138,8620.871036,7513.509869,1.911688,,2.196079,10.455579,15.525066,49.5,8562.07369,
09/30/1995,3.596382,8264.164619,8873.080593,7775.184051,2.329509,,2.680663,9.402049,12.902429,48.5,8421.415147,
