Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non-Cash Adjustments,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch in Operating Loans,Accrued Interest Receivable,Accrued Interest Payable,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,3.708,27.857,15.189,,-0.211,,,,-0.211,-39.126999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,-89.887001,27.863001,20.756001,,-30.419001,,,,-30.419001,-108.086998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,64.195999,2.118,52.119999,,-16.353001,,,,-16.353001,26.311001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,156.391006,27.372999,18.552999,,34.735001,,,,34.735001,75.730003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.391006,,,
03/31/1991,-16.695,25.58,26.183001,,-0.024,,,,-0.024,-68.433998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,-138.005005,29.638,25.403,,-69.275002,,,,-69.275002,-123.771004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,156.561996,30.066999,18.813,,7.992,,,,7.992,99.690002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,-197.875,31.737,36.394001,,33.546001,,,,33.546001,-299.552002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-197.875,,,
03/31/1992,-110.457001,31.907,31.322001,,-12.388,,,,-12.388,-161.298004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,314.196014,37.360001,37.563999,,-6.686,,,,-6.686,245.957993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,-371.019989,39.308998,43.115002,,-12.8,,,,-12.8,-440.644012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,305.424988,43.837002,46.417,,-29.73,,,,-29.73,236.268005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.424988,,,
03/31/1993,249.759003,54.548,44.972,,-0.469,,,,-0.469,150.707993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,-324.53299,58.271,54.735001,,-21.495001,,,,-21.495001,-416.044006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,108.096001,60.735001,68.151001,,-1.606,,,,-1.606,-19.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,29.655001,63.358002,38.895,,-43.290001,,,,-43.290001,-29.308001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.655001,,,
03/31/1994,570.546021,66.741997,26.493999,,27.99,,,,27.99,449.320007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,396.756012,67.453003,17.266001,,2.405,,,,2.405,309.631989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,129.940002,55.902,35.414001,,-51.282001,,,,-51.282001,89.905998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,82.767998,52.495998,20.325001,,-24.792999,,,,-24.792999,34.740002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.767998,,,
03/31/1995,157.998993,54.862,18.972,,85.996002,,,,85.996002,-1.831,,,,,,,,-5.498,,-5.498,,,,,,,,,,,,,,,,,,5.498,,,,,,,,,,,,,,,,,
06/30/1995,63.592999,59.167999,20.740999,,-41.426998,,,,-41.426998,25.111,,,,,,,,-6.409,,-6.409,,,,,,,,,,,,,,,,,,6.409,,,,,,,,,,,,,,,,,
09/30/1995,97.483002,65.936996,25.157,,-31.086,,,,-31.086,37.474998,,,,,,,,-11.348,,-11.348,,,,,,,,,,,,,,,,,,11.348,,,,,,,,,,,,,,,,,
12/31/1995,81.010002,65.528999,33.720001,,-22.910999,,,,-22.910999,4.672,,,,,,,-10.174,-10.174,,-10.174,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,70.836002,,,
03/31/1996,114.603996,72.403999,,,,,,,,,,,,,,,,-11.769,,-11.769,,,,,,,,,,,,,,,,,,11.769,,,,,,,,,,,,,,,,,
06/30/1996,74.570999,75.289001,,,,,,,,,,,,,,,-9.907,-9.907,,-9.907,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,64.663999,,,
09/30/1996,79.162003,77.444,,,,,,,,,,,,,,,,-9.248,,-9.248,,,,,,,,,,,,,,,,,,9.248,,,,,,,,,,,,,,,,,
12/31/1996,210.796997,79.132004,,,,,,,,,,,,,,,-51.617001,-51.617001,,-51.617001,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,159.179996,,,
03/31/1997,171.356003,77.179001,37.675999,,25.650999,,,,25.650999,30.85,,,,,,,,-12.997,,-12.997,,,,,,,,,,,,,,,,,,12.997,,,,,,,,,,,,,,,,,
06/30/1997,21.261999,83.602997,46.198002,,-53.902,,,,-53.902,-54.637001,,,,,,,-14.436,-14.436,,-14.436,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6.825999,,,
09/30/1997,130.787994,41.231998,44.292999,,24.896999,,,,24.896999,20.365999,,,,,,,,-12.054,,-12.054,,,,,,,,,,,,,,,,,,12.054,,,,,,,,,,,,,,,,,
12/31/1997,-1.944,90.649002,37.359001,,-70.111,,,,-70.111,-59.841,,,,,,,,-5.22,,-5.22,,,,,,,,,,,,,,,,,,5.22,,,,,,,,,,,,,,,,,
03/31/1998,6.541,89.486,39.949001,,-11.414,,,,-11.414,-111.480003,,,,,,,,-21.905001,,-21.905001,,,,,,,,,,,,,,,,,,21.905001,,,,,,,,,,,,,,,,,
06/30/1998,10.65,92.308998,41.749001,,-109.554001,,,,-109.554001,-13.854,,,,,,,-44.587002,-44.587002,,-44.587002,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,-33.937002,,,
09/30/1998,132.649994,88.754997,47.125,,-11.295,,,,-11.295,8.065,,,,,,,,-39.026001,,-39.026001,,,,,,,,,,,,,,,,,,39.026001,,,,,,,,,,,,,,,,,
12/31/1998,17.587999,31.218,57.375,,-15.402,,,,-15.402,-55.603001,,,,,,,,-41.527,,-41.527,,,,,,,,,,,,,,,,,,41.527,,,,,,,,,,,,,,,,,
03/31/1999,251.986,96.572,29.572,25.305,203.53,,18.97,,184.56,-102.993,,,,,,,-873.583,-18.22,,-18.22,-649.583,569.623,,,,-1219.206,,,,-208.574,,,,,,,,2.794,252.703,-42.158,993.078,,,,,-22.361,1.988,-24.349,-675.856,0.0,,-368.894,,,
06/30/1999,191.104004,104.974998,50.748001,,0.0,,,,0.0,36.956001,,,,,,,-549.692017,2.783,2.783,0.0,90.19397,1965.844971,,,,-1875.651001,,,,-648.395996,,,,,,,,5.72701,-200.974011,-83.914001,712.335999,,,,,-39.813,3.048,-42.861,-789.583008,,,-559.562012,,,
09/30/1999,250.77,105.587,48.473,,0.0,,,,0.0,129.011,,,,,,,-1497.849,14.41,14.41,0.0,-449.864,2236.606,,,,-2686.47,,,,-1073.575,,,,,,,,11.18,487.686,-125.895,1162.468,,,,,-67.963,3.897,-71.86,-480.924,,,-759.393,,,
12/31/1999,142.603,114.94,46.84,,49.68,,,,49.68,0.0,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,142.603,,,
03/31/2000,96.605,104.173,43.167,,0.0,,,,0.0,21.08,,,,,,,447.992,1.223,1.223,0.0,404.743,404.743,,,,0.0,,,,39.107,,,,,,,,2.919,-716.218,-45.904,-510.244,,,,,-146.834,0.868,-147.702,-13.236,0.0,,-171.621,,,
06/30/2000,183.181,97.521,13.037,15.834,146.91,,,,146.91,-90.121,,,,,,,595.851,-22.271,0.791,-23.062,573.37,647.331,,,,-73.961,,,,20.927,,,,,,,,23.825,-560.064,-44.398,-66.134,,,,,-0.536,,-0.536,-448.996,0.0,,218.968,,,
09/30/2000,155.992,50.53,55.245,,138.952,,,,138.952,0.0,,,,,,,871.325,2.351,2.351,0.0,1155.355,1323.773,,,,-168.418,,,,-310.408,,,,,,,,24.027,-1390.2,-134.707,-400.678,,,,,-166.815,0.797,-167.612,-688.0,,,-362.883,,,
12/31/2000,140.144,76.222,58.403,,93.577,,,,93.577,0.0,,,,,,,395.793,,,,,,,,,,,,,,,,,,,,,395.793,-187.394,,,,,,,,,,,,,348.543,,,
03/31/2001,-128.632004,67.865997,65.599998,,-248.794998,,,,-248.794998,-13.303,,,,,,,198.113007,-16.079,0.533,-16.612,513.721985,880.724976,,,,-367.002991,,,,-301.421997,,,,,,,,1.892018,-362.81701,-50.173,333.59198,,,,,1.103,1.103,,-647.338989,,,-293.335999,,,
06/30/2001,132.854996,2.377,136.595993,,8.82,,,,8.82,-14.938,,,,,,,73.838997,-13.923,0.184,-14.107,439.423981,707.107971,,,,-267.68399,,,,-358.040985,,,,,,,,6.379002,-400.830009,-50.212002,-218.578003,,,,,0.271,0.271,,-132.311005,,,-194.136002,,,
