Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
04/29/1989,964.617004,,-686.265991,,278.351013,,-188.985001,,,,89.365997,-15.177,,15.572,,0.0,-0.395,74.188998,-29.0,,,,45.188999,0.0,,,45.188998,0.0,45.188999,0.0,,45.188999,45.188999,,721.515991,0.0625,0.0625,,721.515991,0.0625,0.0625,0.0625,
07/29/1989,990.283997,,-689.663025,,300.620972,,-183.503006,,,,117.117996,-12.337,,15.424,,0.0,-3.087,104.780996,-41.0,,,,63.780998,0.0,,,63.780996,0.0,63.780998,0.0,,63.780998,63.780998,,722.247986,0.08625,0.08625,,722.247986,0.08625,0.08625,0.08625,
10/28/1989,1110.448975,,-763.320007,,347.128967,,-197.591003,,,,149.537994,-10.669,,13.517,,0.0,-2.848,138.868994,-54.0,,,,84.869003,0.0,,,84.868994,0.0,84.869003,0.0,,84.869003,84.869003,,723.44397,0.11625,0.11625,,723.44397,0.11625,0.11625,0.11625,
02/03/1990,1582.56604,,-1062.031982,,520.534058,,-251.302002,,,,269.231995,-13.145,,13.546,,0.0,-0.401,256.086995,-103.0,,,,153.087006,0.0,,,153.086995,0.0,153.087006,0.0,,153.087006,153.087006,,719.028015,0.21125,0.21125,,719.028015,0.21125,0.21125,0.21125,
05/05/1990,1107.344971,,-781.620972,,325.723999,,-214.145004,,,,111.579002,-9.264,,11.744,,0.0,-2.48,102.315002,-40.0,,,,62.314999,0.0,,,62.315002,0.0,62.314999,0.0,,62.314999,62.314999,,724.099976,0.085,0.085,,724.099976,0.085,0.085,0.085,
08/04/1990,1154.562012,,-802.544006,,352.018005,,-211.128998,,,,140.889008,-10.864,,13.423,,0.0,-2.559,130.025007,-51.0,,,,79.025002,0.0,,,79.025007,0.0,79.025002,0.0,,79.025002,79.025002,,725.432007,0.11,0.11,,725.432007,0.11,0.11,0.11,
11/03/1990,1247.892944,,-868.843018,,379.049927,,-227.975006,,,,151.074997,-12.157999,,16.334999,,0.0,-4.177,138.916998,-54.0,,,,84.917,0.0,,,84.916998,0.0,84.917,0.0,,84.917,84.917,,723.021973,0.115,0.115,,723.021973,0.115,0.115,0.115,
02/02/1991,1743.708984,,-1170.062012,,573.646972,,-279.653015,,,,293.993988,-11.813,,15.107,,0.0,-3.294,282.180988,-110.0,,,,172.181,0.0,,,172.180988,0.0,172.181,0.0,,172.181,172.181,,723.799988,0.24,0.24,0.24,723.799988,0.24,0.24,0.24,
05/04/1991,1284.482056,,-941.833008,,342.649048,,-248.018997,,,,94.629997,-10.77,,14.447,,0.0,-3.677,83.859998,-33.0,,,,50.860001,0.0,,,50.859998,0.0,50.860001,0.0,,50.860001,50.860001,,726.643982,0.07,0.07,,726.643982,0.07,0.07,0.07,
08/03/1991,1375.185059,,-985.661987,,389.523071,,-248.998993,,,,140.524002,-11.299,,16.211,,0.0,-4.912,129.225002,-50.0,,,,79.224998,0.0,,,79.225002,0.0,79.224998,0.0,,79.224998,79.224998,,726.869995,0.11,0.11,,726.869995,0.11,0.11,0.11,
11/02/1991,1433.411987,,-1033.530029,,399.881958,,-265.200989,,,,134.681,-15.809,,17.664,,0.0,-1.855,118.872,-46.0,,,,72.872002,0.0,,,72.872,0.0,72.872002,0.0,,72.872002,72.872002,,727.059998,0.1,0.1,,727.059998,0.1,0.1,0.1,
