Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,2403.543945,71.538002,26.833,44.705002,59.325001,,,681.10498,,,,,17.125999,,,,829.093994,35.286999,,,1173.587036,365.575989,,,,,365.575989,1574.450024,,38.479,38.479,,,,1135.369995,,,,,94.015995,,,94.015995,1267.86499,971.343994,,,,,0.0,,,,,0.0,971.343994,2239.208984,30.974001,133.360992,,,0.0,,0.0,164.334993,0.0,164.334993,2403.543978,
06/30/1990,2407.149902,79.84,30.222,49.618,49.477001,,,651.223999,,,,,19.044001,,,,799.585022,34.747002,,,1250.646973,322.17099,,,,,322.17099,1607.564964,,65.135002,65.135002,,,,1180.498047,,,,,101.536995,,,101.536995,1347.170044,949.018005,,,,,0.0,,,,,0.0,949.018005,2296.188049,30.974001,79.987999,,,0.0,,0.0,110.962,0.0,110.962,2407.150049,
09/30/1990,2234.303955,56.339998,35.036999,21.302999,41.627998,,,519.549011,,,,,21.968,,,,639.484985,36.464001,,,1269.697998,288.657013,,,,,288.657013,1594.819012,,65.135002,65.135002,,,,1150.17395,,,,,154.663094,,,154.663094,1369.972046,922.653015,,,,,2.475,,,,,2.475,925.128015,2295.100061,28.729,,,,0.0,,-89.525002,-60.796001,0.0,-60.796001,2234.30406,
12/31/1990,1901.359985,72.180999,15.999,56.181999,33.953999,,,1458.119019,,,,,15.037,,,,1579.291016,28.858,44.032001,-15.174,28.482,264.729004,,,,,264.729004,322.069004,,33.361,33.361,,,,924.142029,,,,,132.730003,,,132.730003,1090.233032,893.606995,,,,,4.152,,,,,4.152,897.758995,1987.992027,28.368999,,,,0.0,,-115.000999,-86.632,0.0,-86.632,1901.360027,
03/31/1991,1816.420044,49.217999,11.25,37.967999,33.783001,,,195.983002,,,,,18.539,,,,297.52301,27.938,,,1228.546021,262.412994,,,,,262.412994,1518.897015,,28.375,28.375,,,,873.979004,,,,,130.338013,,,130.338013,1032.692017,875.098022,,,,,3.544,,,,,3.544,878.642022,1911.334039,28.259001,,,,0.0,,-123.172997,-94.913996,0.0,-94.913996,1816.420043,
06/30/1991,1813.198975,62.671999,17.872999,44.799,29.490999,,,196.253006,,,,,22.167999,,,,310.584015,26.650999,,,1221.81604,254.147995,,,,,254.147995,1502.615034,,48.702,48.702,,,,883.364014,,,,,140.315945,,,140.315945,1072.381958,844.78302,,,,,1.746,,,,,1.746,846.52902,1918.910978,20.344,,,,0.0,,-126.056,-105.712,0.0,-105.712,1813.198978,
09/30/1991,1675.552002,94.612001,31.329,63.283001,46.021,,,157.518005,,,,,16.577999,,,,314.729004,25.493,,,1092.755981,242.574005,,,,,242.574005,1360.822987,,59.723,59.723,,,,771.015015,,,,,130.066002,,,130.066002,960.804016,813.888977,,,,,4.152,,,,,4.152,818.040977,1778.844993,20.365999,,,,0.0,,-123.658997,-103.292997,0.0,-103.292997,1675.551996,
12/31/1991,1570.854004,107.538002,26.500999,81.037003,47.985001,,,1131.583984,,,,,13.063,,,,1300.170044,24.079,42.014,-17.934999,15.042,231.563004,,,,,231.563004,270.684004,,42.272999,42.272999,,,,722.47998,,,,,135.658031,,,135.658031,900.411011,785.760986,,,,,4.259,,,,,4.259,790.019986,1690.430997,20.891001,,,,0.0,,-140.468002,-119.577002,0.0,-119.577002,1570.853995,
03/31/1992,1358.666016,77.469999,23.865,53.605,35.585999,,,147.270996,,,,,18.237,,,,278.563995,23.705999,,,832.81897,223.576996,,,,,223.576996,1080.101965,,35.261002,35.261002,,,,710.974976,,,,,139.667038,,,139.667038,885.903015,597.080017,,,,,4.259,,,,,4.259,601.339017,1487.242032,20.818001,,,,0.0,,-149.393997,-128.575996,0.0,-128.575996,1358.666036,
06/30/1992,1352.447998,112.719004,18.517,94.202003,26.936001,,,143.001999,,,,,18.597,,,,301.253998,23.058001,,,810.380981,217.755005,,,,,217.755005,1051.193987,,55.709,55.709,,,,690.718018,,,,,89.617966,,,89.617966,836.044983,634.61499,,,,,4.259,,,,,4.259,638.87399,1474.918973,20.865,,,,0.0,,-143.335999,-122.470999,0.0,-122.470999,1352.447974,
09/30/1992,1351.511963,151.350998,27.805,123.545998,31.368999,,,119.927002,,,,,17.212999,,,,319.859985,21.962999,,,792.934998,216.753998,,,,,216.753998,1031.651995,,71.726997,71.726997,,,,689.174988,,,,,92.266045,,,92.266045,853.16803,613.284973,,,,,4.259,,,,,4.259,617.543973,1470.712003,20.889999,,,,0.0,,-140.089996,-119.199997,0.0,-119.199997,1351.512006,
12/31/1992,736.926025,38.215,38.215,0.0,19.5,,,115.647003,,,,,0.0,,,,173.362,12.964,29.160999,-16.197001,0.0,550.599976,,,,,550.599976,563.563975,,34.113998,34.113998,,,,118.211998,,,,,78.191002,,,78.191002,230.516998,344.873993,,,,,283.536987,,,,,283.536987,628.41098,858.927979,20.868999,,,,0.0,,-142.871002,-122.002003,0.0,-122.002003,736.925976,
03/31/1993,1153.33606,170.198002,44.393002,125.805,29.129999,,,120.289001,,,,,24.84,,,,344.457001,20.677,,,591.073975,197.128006,,,,,197.128006,808.878981,,39.659,39.659,,,,593.744995,,,,,81.796993,,,81.796993,715.200989,557.890015,,,,,2.021,,,,,2.021,559.911015,1275.112003,20.871,,,,0.0,,-142.647003,-121.776003,0.0,-121.776003,1153.336,
06/30/1993,1213.144043,263.865002,31.395,232.470001,31.961,,,130.587006,,,,,19.179001,,,,445.59201,20.658001,,,551.241028,195.653,,,,,195.653,767.552029,,36.547001,36.547001,,,,687.552002,,,,,80.854977,,,80.854977,804.953979,519.278992,,,,,2.021,,,,,2.021,521.299992,1326.253971,20.938999,,,,0.0,,-134.048996,-113.109997,0.0,-113.109997,1213.143974,
09/30/1993,801.052979,43.789999,43.431999,0.358,31.139999,,,141.057999,,,,,17.829,,,,233.817001,19.6,,,333.733002,213.903,,,,,213.903,567.236002,,39.189999,39.189999,,,,150.802002,,,,,111.299991,,,111.299991,301.291992,369.760986,,,,,0.0,,,,,0.0,369.760986,671.052978,0.0,130.0,,,0.0,,0.0,130.0,0.0,130.0,801.052978,
12/31/1993,738.372986,61.091,61.091,0.0,147.011002,,,116.389,,,,,0.0,,,,324.490997,19.853001,42.363998,-22.511,0.0,394.028992,,,,,394.028992,413.881993,,39.195999,39.195999,,,,121.579002,,,,,89.952996,,,89.952996,250.727997,352.847992,,,,,0.0,,,,,0.0,352.847992,603.575989,0.0,140.966995,,,0.0,,-6.17,134.796995,0.0,134.796995,738.372984,
03/31/1994,697.979004,94.031998,94.031998,0.0,119.592003,,,126.280998,,,,,0.0,,,,339.904999,18.632,,,0.0,339.441986,,,,,339.441986,358.073986,,48.682999,48.682999,,,,94.085999,,,,,88.089005,,,88.089005,230.858002,332.050995,,,,,0.0,,,,,0.0,332.050995,562.908997,0.0,141.001007,,,0.0,,-5.931,135.070007,0.0,135.070007,697.979003,
06/30/1994,652.187988,63.019001,53.019001,10.0,109.539001,,,138.722,,,,,0.0,,,,311.279999,19.035999,,,0.0,321.872009,,,,,321.872009,340.908009,,52.660999,52.660999,,,,86.07,,,,,79.015995,,,79.015995,217.746994,300.562012,,,,,0.0,,,,,0.0,300.562012,518.309006,0.0,141.001007,,,-5.093,,-2.029,133.879007,0.0,133.879007,652.188013,
09/30/1994,588.91803,60.389999,50.389999,10.0,68.084999,,,139.895996,,,,,0.0,,,,268.371002,18.509001,,,0.0,302.037994,,,,,302.037994,320.546995,,51.708,51.708,,,,123.608002,,,,,82.453011,,,82.453011,257.769012,201.625,,,,,0.0,,,,,0.0,201.625,459.394012,0.0,141.005997,,,0.0,,-11.482,129.523996,0.0,129.523996,588.918009,
12/31/1994,565.573975,76.475998,71.475998,5.0,64.033997,,,109.538002,,,,,0.0,,,,250.048004,18.165001,41.446999,-23.282,113.586998,183.774002,,,,,183.774002,315.526001,,53.536999,53.536999,,,,0.0,,,,,81.526005,,,81.526005,135.063004,300.989014,,,,,0.0,,,,,0.0,300.989014,436.052018,0.0,142.343994,,,-17.121,,4.299,129.521994,0.0,129.521994,565.574012,
03/31/1995,544.070984,45.194,40.194,5.0,52.338001,,,139.110992,,,,,0.0,,,,236.643005,18.143,,,108.166,181.119003,,,,,181.119003,307.428003,,53.390999,53.390999,,,,0.0,,,,,76.055,,,76.055,129.445999,284.945007,,,,,0.0,,,,,0.0,284.945007,414.391006,0.0,142.345001,,,-17.992001,,5.327001,129.680001,0.0,129.680001,544.071007,
06/30/1995,606.651001,36.319,36.319,0.0,95.361,,,166.744003,,,,,0.0,,,,298.424011,18.811001,,,104.391998,185.024002,,,,,185.024002,308.227001,,52.160999,52.160999,,,,0.0,,,,,76.096997,,,76.096997,128.257996,343.065002,,,,,0.0,,,,,0.0,343.065002,471.322998,0.0,142.345001,,,-17.992001,,10.975001,135.328001,0.0,135.328001,606.650999,
09/30/1995,635.749023,45.471001,45.471001,0.0,6.709,,,173.337006,,,,,0.0,,,,225.516998,18.704,,,223.085999,168.442001,,,,,168.442001,410.232,,58.839001,58.839001,,,,0.0,,,,,86.644001,,,86.644001,145.483002,348.944,,,,,0.0,,,,,0.0,348.944,494.427002,0.0,142.475998,,,-17.992001,,16.838001,141.321998,0.0,141.321998,635.749,
