Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Provision for Doubtful Accounts,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Property Additions,Property Improvements,Change in Investments,Change in Notes,Change in Mortgages,Change in Real Estate Interest,Other Investing Activities,Cash from Investing Activities,Cash from Financing Activities,Dividends Paid,Preferred Dividends Other Distributions,Proceeds from Repayments of Borrowings,Change in Unsecured Debt,Change in Secured Debt,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
03/31/1994,-3.782,-0.32,1.494,0.0,0.0,-4.956,,,,,,,,,,,,,,,,,,,,,
06/30/1994,5.006,2.38,2.52,0.0,0.0,0.106,,,,,,,,,,,,,,,,,,,,,
09/30/1994,8.967,2.296,2.755,0.0,0.0,3.916,,,,,,,,,,,,,,,,,,,,,
12/31/1994,2.885,2.414,2.708,0.0,0.017,-2.254,,,,,,,,,,,,,,,,,,,,,
03/31/1995,3.161,1.92,3.26,0.0,0.003,-2.022,,,,,,,,,,,,,,,,,,,,,
06/30/1995,1.786,4.419,3.301,0.0,-2.407,-3.527,,,,,,,,,,,,,,,,,,,,,
09/30/1995,7.501,2.121,3.388,0.0,0.006,1.986,,,,,,,,,,,,,,,,,,,,,
12/31/1995,10.15,3.0,3.765,0.0,0.005,3.38,,,,,,,,,,,,,,,,,,,,,
03/31/1996,5.658,3.195,3.971,0.0,0.015,-1.523,,0.0,-6.868,-0.162,0.0,0.0,0.0,,0.0,-7.03,0.909,-5.42,,6.132,,,0.181,0.0,0.032,-0.463,
06/30/1996,10.835,3.572,4.226,0.0,0.523,2.514,,0.0,-96.911003,-0.252,0.0,0.0,0.0,,0.0,-97.163002,85.602997,-5.549,,41.562002,,,49.630001,0.0,0.0,-0.725,
09/30/1996,12.537,5.845,5.08,0.0,0.138,1.474,,0.0,-93.731003,-0.457,0.0,0.0,0.0,,0.0,-94.188004,82.093002,-6.368,,-45.678999,,,134.171997,0.0,-0.032,0.442,
12/31/1996,11.193,7.014,5.412,0.0,0.154,-1.387,,0.0,-18.17,-0.448,0.0,0.0,0.0,,0.0,-18.618,7.414,-8.715,,16.005001,,,0.268,0.0,0.0,-0.011,
03/31/1997,7.83,7.771,5.699,0.0,0.138,-5.778,,0.0,-20.562,-18.317,0.0,0.0,0.0,0.0,0.0,-38.879,31.257,-8.94,-0.197,-8.957,,,49.351,0.0,0.0,0.208,
