Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1996,235.322998,1.101,1.101,0.0,32.303001,,,11.955,,,,,3.298,,,,,,,48.657001,93.764999,,,0.0,92.901001,,,,92.901001,186.666,,30.778,30.778,,,,15.638,,,,,,1.264001,,,1.264001,47.68,175.979996,,,,,1.82,,,,,,1.82,177.799996,225.479996,0.0,31.086,,,0.0,,-21.243,9.843,0.0,9.843,235.322996,
06/30/1996,237.973007,1.179,1.179,0.0,33.669998,,,12.245,,,,,3.231,,,,,,,50.325001,95.955002,,,0.0,91.693001,,,,91.693001,187.648003,,29.997999,29.997999,,,,9.556,,,,,,1.023001,,,1.023001,40.577,134.334,,,,,2.273,,,,,,2.273,136.607,177.183999,0.0,79.694,,,0.0,,-18.905001,60.789,0.0,60.789,237.972999,
09/30/1996,349.670013,9.288,9.288,0.0,47.729,,,15.853,,,,,5.289,,,,,,,78.158997,112.279999,,,0.0,159.231003,,,,159.231003,271.511002,,43.702,43.702,,,,11.637,,,,,,0.538999,,,0.538999,55.877998,204.315994,,,,,0.0,,,,,,0.0,204.315994,260.193993,0.0,89.444,,,0.0,,0.032,89.476,0.0,89.476,349.669993,
12/31/1996,833.624023,23.823,23.823,0.0,129.602005,,,57.193001,,,,,63.176998,,,,,,,273.795013,214.315994,330.261993,-115.945999,0.0,345.513,,,,345.513,559.828995,,133.408997,133.408997,,,,23.507999,,,,,,8.115002,,,8.115002,165.031998,432.372009,,,,,22.365999,,,,,,22.365999,454.738008,619.770006,3.741,164.639999,,,0.0,,45.473,213.853999,0.0,213.853999,833.624005,
03/31/1997,407.520996,7.528,7.528,0.0,49.723999,,,0.0,,,,,46.706001,,,,,,,103.958,128.031006,,,0.0,175.531998,,,,175.531998,303.563004,,46.463001,46.463001,,,,16.855,,,,,,2.334,,,2.334,65.652,140.035004,,,,,4.103,,,,,,4.103,144.138004,209.790004,0.0,181.470993,,,0.0,,16.26,197.730993,0.0,197.730993,407.520998,
06/30/1997,402.306,7.13,7.13,0.0,50.784,,,21.535999,,,,,7.165,,,,,,,86.614998,136.281006,,,0.0,179.410004,,,,179.410004,315.69101,,42.118,42.118,,,,17.323,,,,,,1.154001,,,1.154001,60.595001,128.149994,,,,,4.928,,,,,,4.928,133.077994,193.672995,0.0,183.416,,,0.0,,25.216999,208.632999,0.0,208.632999,402.305995,
09/30/1997,917.099976,9.646,9.646,0.0,94.103996,,,30.587,,,,,13.83,,,,,,,148.167007,256.462006,,,0.0,512.471008,,,,512.471008,768.933014,,114.912003,114.912003,,,,16.825001,,,,,,1.192989,,,1.192989,132.929993,540.905029,,,,,7.72,,,,,,7.72,548.625029,681.555022,0.0,199.380005,,,0.0,,36.165001,235.545006,0.0,235.545006,917.100028,
12/31/1997,1403.462036,24.388,24.388,0.0,164.283997,,,76.086998,,,,,131.317001,,,,,,,396.075989,363.648987,496.377014,-132.727997,0.0,643.737,,,,643.737,1007.385986,,178.020996,178.020996,,,,50.846001,,,,,,4.006004,,,4.006004,232.873001,777.812988,,,,,33.466,,,,,,33.466,811.278988,1044.151989,3.741,282.07901,,,0.0,,73.489998,359.310008,0.0,359.310008,1403.461997,
03/31/1998,1946.748047,84.025002,84.025002,0.0,222.003998,,,105.444,,,,,159.255997,,,,,,,570.729004,462.156006,,,0.0,913.862976,,,,913.862976,1376.018982,,241.160004,241.160004,,,,57.133999,,,,,,2.989994,,,2.989994,301.283997,493.972992,,,,,748.869019,,,,,,748.869019,1242.84201,1544.126007,3.741,310.585999,,,0.0,,88.294998,402.621997,0.0,402.621997,1946.748004,
06/30/1998,2565.468018,62.112001,45.103001,17.009001,333.710999,,,217.837997,,,,,46.602001,,,,,,,660.263,676.939026,,,0.0,1228.265991,,,,1228.265991,1905.205017,,405.721008,405.721008,,,,52.678001,,,,,,4.824989,,,4.824989,463.223999,654.880005,,,,,795.89801,,,,,,795.89801,1450.778015,1914.002014,3.741,473.958008,,,0.0,,148.276993,625.976001,25.49,651.466,2565.468014,
09/30/1998,2766.166992,59.468002,32.073002,27.395,411.23999,,,221.619003,119.620003,0.0,101.999001,,42.764999,,,,,,,735.09198,746.437988,,,0.0,1284.636963,,,,1284.636963,2031.074951,,446.588989,446.588989,,,,47.412998,,,,,,10.085018,,,10.085018,504.087006,830.963013,,,,,760.505981,,,,,,760.505981,1591.468994,2095.556,0.0,488.484985,,,-30.388,,187.720993,645.817978,24.792999,670.610977,2766.166977,
