Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Compensation,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2012,27066,755,755,0,719,719,,415,,,,,938,153,0.0,,,,709,2827,9197,10739.0,-1542.0,0.0,,,15042,13570,6197,7373,,291.0,1181,24239,,1942,286.0,20.0,1636,407,0,,,,407.0,0,82.0,0.0,0,2349,15588,15588,,,,6974,0.0,262.0,,4948,1682,22562,24911,0.0,8453,1,8452,0.0,-5746,-406,2301,-146,2155,27066,
06/30/2013,26785,661,661,0,946,830,116.0,395,,,,,888,139,,103.0,,,674,2890,9084,10723.0,-1639.0,817.0,,817.0,13994,13380,6172,7208,,274.0,237,23895,,1986,,72.0,1914,401,0,,,,401.0,0,,,0,2387,14986,14986,,,,7234,,,,5132,2102,22220,24607,,8453,1,8452,0.0,-5557,-591,2305,-127,2178,26785,
09/30/2013,26729,724,724,0,907,813,94.0,386,,,,,800,156,,103.0,,,569,2817,9071,10790.0,-1719.0,623.0,,623.0,14218,13407,6205,7202,,268.0,440,23912,,2001,,61.0,1940,409,0,,,,409.0,0,,,0,2410,14576,14576,,,,7190,,,,5040,2150,21766,24176,0.0,8453,1,8452,0.0,-5357,-417,2679,-126,2553,26729,
12/31/2013,26562,594,594,0,852,731,121.0,396,,,,,541,148,10.0,,,,370,2383,9058,10848.0,-1790.0,829.0,,829.0,14292,13436,6220,7216,,260.0,586,24179,,2090,319.0,11.0,1760,52,0,,,,52.0,0,674.0,0.0,0,2142,12671,12671,,,,7473,0.0,138.0,,5053,1608,20144,22286,0.0,9958,10,9948,0.0,-5331,-264,4363,-87,4276,26562,
03/31/2014,26393,435,435,0,903,784,119.0,397,,,,,560,182,,195.0,,,355,2295,9031,10896.0,-1865.0,818.0,,818.0,14249,11974,6222,5752,,264.0,1816,24098,,1942,,6.0,1936,44,0,,,,44.0,0,632.0,,0,1986,12469,12469,,,,7491,,,,5111,1748,19960,21946,0.0,9980,10,9970,0.0,-5208,-236,4536,-89,4447,26393,
06/30/2014,26497,545,545,0,975,858,117.0,359,,,,,538,166,,196.0,,,349,2417,9036,10980.0,-1944.0,821.0,,821.0,14223,11970,6227,5743,,257.0,1800,24080,,2010,,11.0,1999,110,0,,,,110.0,0,593.0,5.0,0,2120,12204,12204,,,,7426,,,,5058,1770,19630,21750,0.0,10019,10,10009,0.0,-4999,-186,4834,-87,4747,26497,
09/30/2014,26324,543,543,0,918,862,56.0,350,,,,,603,172,,195.0,,,404,2414,9124,11121.0,-1997.0,814.0,,814.0,13972,12518,6185,6333,,174.0,1085,23910,,2013,,10.0,2003,127,0,,,,127.0,0,544.0,,0,2140,11937,11937,,,,7497,,,,5137,1816,19434,21574,0.0,10010,10,10000,0.0,-4816,-404,4790,-40,4750,26324,
12/31/2014,26125,566,566,0,972,844,128.0,404,,,,,557,133,,155.0,132.0,,272,2499,7483,9352.0,-1869.0,822.0,,822.0,15321,13097,6154,6943,,170.0,1899,23626,,2120,299.0,21.0,1800,137,0,,,,137.0,0,495.0,4.0,0,2257,11555,11555,,,,7599,0.0,204.0,,5216,1680,19154,21411,0.0,10038,10,10028,0.0,-4658,-628,4752,-38,4714,26125,
03/31/2015,25905,547,547,0,1019,899,120.0,421,,,,,502,153,,159.0,29.0,,300,2489,9193,11120.0,-1927.0,827.0,,827.0,13396,11480,5916,5564,,156.0,1601,23416,,2151,,19.0,2132,147,0,,,,147.0,0,447.0,,0,2298,11283,11283,,,,7702,,,,5344,1911,18985,21283,0.0,10038,10,10028,,-4508,-868,4662,-40,4622,25905,
06/30/2015,26051,511,511,0,1062,937,125.0,424,,,,,504,146,,154.0,38.0,,300,2501,9191,11180.0,-1989.0,849.0,,849.0,13510,11514,5945,5569,,156.0,1686,23550,,2280,,20.0,2260,146,0,,,,146.0,0,395.0,14.0,0,2426,11044,11044,,,,7512,,,,5192,1911,18556,20982,0.0,10125,10,10115,,-4347,-673,5105,-36,5069,26051,
09/30/2015,25932,628,628,0,1053,929,124.0,430,,,,,535,182,,157.0,19.0,,314,2646,9132,11193.0,-2061.0,865.0,,865.0,13289,12610,5902,6708,,154.0,368,23286,,2310,,49.0,2261,248,0,,,,248.0,0,341.0,22.0,0,2558,10568,10568,,,,7626,,,,5293,1970,18194,20752,0.0,10144,10,10134,,-4137,-793,5214,-34,5180,25932,
12/31/2015,25622,609,609,0,1005,876,129.0,442,,,,,529,147,0.0,78.0,97.0,,284,2585,9119,11239.0,-2120.0,896.0,9.0,887.0,13022,12541,5887,6654,,138.0,265,23037,,1442,331.0,33.0,1078,204,0,,,,204.0,797,283.0,15.0,796,2443,10249,10249,,,,6979,0.0,183.0,173.0,4630,1695,17228,19671,0.0,10161,10,10151,0.0,-3392,-784,5985,-34,5951,25622,
03/31/2016,25721,692,692,0,1037,913,124.0,469,,,,,540,193,,77.0,28.0,,317,2738,9098,11349.0,-2251.0,897.0,,897.0,12988,11373,5890,5483,,127.0,1411,22983,,2352,,101.0,2251,193,0,,,,193.0,0,228.0,24.0,0,2545,10255,10255,,,,6716,,,,4593,1871,16971,19516,0.0,10163,10,10153,,-3152,-774,6237,-32,6205,25721,
06/30/2016,25853,810,810,0,1134,1005,129.0,459,,,,,527,186,,76.0,18.0,,316,2930,9107,11407.0,-2300.0,905.0,,905.0,12911,12393,5862,6531,,129.0,313,22923,,2477,,107.0,2370,186,0,,,,186.0,0,161.0,28.0,0,2663,10257,9983,274.0,274.0,,6587,,,,4533,1865,16844,19507,0.0,10185,10,10175,,-2984,-826,6375,-29,6346,25853,
09/30/2016,25871,859,859,0,1149,1021,128.0,508,,,,,508,171,,75.0,17.0,,318,3024,9020,11410.0,-2390.0,929.0,,929.0,12898,12332,5855,6477,,132.0,359,22847,,2416,,63.0,2353,181,0,,,,181.0,1,96.0,21.0,0,2598,10220,9943,277.0,277.0,,6562,,,,4487,1958,16782,19380,0.0,10208,10,10198,,-2866,-826,6516,-25,6491,25871,
12/31/2016,26211,1062,1062,0,755,755,0.0,0,0.0,0.0,0.0,0.0,1740,89,0.0,82.0,13.0,6894.0,157,3557,341,767.0,-426.0,0.0,,,22313,11476,5218,6258,10.0,,398,22654,,1208,314.0,56.0,838,33,0,,,,33.0,1443,42.0,0.0,665,2684,6583,6341,242.0,242.0,,11095,0.0,215.0,113.0,1778,2053,17678,20362,0.0,10223,3,10220,0.0,-3323,-1001,5899,-50,5849,26211,
03/31/2017,14287,862,862,0,911,911,0.0,0,0.0,0.0,0.0,0.0,296,129,,82.0,0.0,,166,2069,341,,,,,,11877,11352,5135,6217,,,443,12218,,1925,,128.0,1797,41,0,,,,41.0,1,22.0,7.0,0,1967,6588,6351,237.0,237.0,,4136,,,,1723,2384,10724,12691,0.0,10217,3,10214,-70.0,-7631,-918,1598,-2,1596,14287,
06/30/2017,14269,784,784,0,921,921,0.0,0,0.0,0.0,0.0,0.0,294,123,,82.0,0.0,,167,1999,338,,,,,,11932,11398,5164,6234,,,452,12270,,1940,,62.0,1878,48,0,,,,48.0,1,99.0,16.0,0,1989,6572,6336,236.0,236.0,,4193,,,,1673,2405,10765,12754,0.0,10248,3,10245,-352.0,-7514,-867,1515,0,1515,14269,
09/30/2017,14223,670,670,0,928,928,0.0,0,0.0,0.0,0.0,0.0,307,130,,82.0,5.0,,171,1905,346,,,,,,11972,11422,5183,6239,,,468,12318,,1983,,73.0,1910,49,0,,,,49.0,1,95.0,13.0,0,2033,6564,6327,237.0,237.0,,4178,,,,1650,2420,10742,12775,0.0,10276,3,10273,-625.0,-7384,-820,1447,1,1448,14223,
12/31/2017,14228,570,570,0,1005,1005,0.0,0,0.0,0.0,0.0,0.0,432,127,11.0,111.0,36.0,,265,2007,353,803.0,-450.0,0.0,,,11868,11466,5190,6276,9.0,,271,12221,,1237,282.0,12.0,943,46,0,,,,46.0,1179,829.0,0.0,811,2462,6556,6323,233.0,233.0,,3519,0.0,165.0,117.0,931,1477,10075,12537,0.0,10301,3,10298,-891.0,-6981,-741,1688,3,1691,14228,
03/31/2018,14260,610,610,0,980,980,0.0,0,0.0,0.0,0.0,0.0,418,161,47.0,111.0,0.0,,256,2008,358,,,,,,11894,11469,5211,6258,,,267,12252,,1404,,63.0,1341,47,0,,,,47.0,1037,828.0,,692,2488,6558,6317,241.0,241.0,,3467,,,,901,1738,10025,12513,0.0,10291,3,10288,-1001.0,-6868,-680,1742,5,1747,14260,
