Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1993,17.610001,15.498,15.498,0.0,0.0,,,0.0,,,,,0.173,,,,15.671,1.925,2.569,-0.644,0.0,,,0.014,,,,0.014,1.939,,0.465,0.465,,,,0.334,,,,,,0.168,,,0.168,0.967,0.517,,,,,0.0,,,,,,0.0,0.517,1.484,0,24.989,,,0,,-8.863,16.126,0,16.126,17.61,
03/31/1994,15.373,13.331,13.331,,0.0,,,0.0,,,,,0.11,,,,13.441,1.902,,,0.0,,,0.03,,,,0.03,1.932,,0.525,0.525,,,,0.296,,,,,,0.109,,,0.109,0.93,0.413,,,,,0.0,,,,,,0.0,0.413,1.343,0,24.990999,,,0,,-10.961,14.029999,0,14.029999,15.372999,
06/30/1994,13.291,10.485,10.485,0.0,0.0,,,0.0,,,,,0.079,,,,10.564,2.697,,,0.0,,,0.03,,,,0.03,2.727,,0.445,0.445,,,,0.472,,,,,,0.116,,,0.116,1.033,0.0,,,,,0.659,,,,,,0.659,0.659,1.692,0,25.0,,,0,,-13.401,11.599,0,11.599,13.291,
09/30/1994,19.063999,16.141,4.273,11.868,0.0,,,0.0,,,,,0.048,,,,16.188999,2.845,,,0.0,,,0.03,,,,0.03,2.875,,0.525,0.525,,,,0.349,,,,,,0.125,,,0.125,0.999,0.0,,,,,0.462,,,,,,0.462,0.462,1.461,0,34.056,,,0,,-16.452999,17.603001,0,17.603001,19.064001,
12/31/1994,28.700001,25.154001,6.846,18.308001,0.0,,,0.0,,,,,0.191,,,,25.344999,3.25,4.242,-0.992,0.0,,,0.105,,,,0.105,3.355,,1.494,1.494,,,,0.05,,,,,,3.104,,,3.104,4.648,0.098,,,,,0.0,,,,,,0.0,0.098,4.746,0,44.159,,,0,,-20.205,23.954,0,23.954,28.7,
03/31/1995,26.729,21.689001,5.886,15.803,0.401,,,0.0,,,,,0.266,,,,22.356001,4.268,,,0.0,,,0.105,,,,0.105,4.373,,1.698,1.698,,,,0.051,,,,,,2.847,,,2.847,4.596,0.086,,,,,0.0,,,,,,0.0,0.086,4.682,0,44.168999,,,0,,-22.122,22.046999,0,22.046999,26.728999,
06/30/1995,22.988001,16.789,7.365,9.424,0.621,,,0.0,,,,,0.322,,,,17.732,5.151,,,0.0,,,0.105,,,,0.105,5.256,,1.172,1.172,,,,0.053,,,,,,2.444,,,2.444,3.669,0.071,,,,,0.0,,,,,,0.0,0.071,3.74,0,44.195999,,,0,,-24.948,19.247999,0,19.247999,22.987999,
09/30/1995,19.965,11.59,5.661,5.929,0.061,,,0.0,,,,,0.402,,,,12.053,7.807,,,0.0,,,0.105,,,,0.105,7.912,,0.913,0.913,,,,0.054,,,,,,2.591,,,2.591,3.558,0.057,,,,,0.0,,,,,,0.0,0.057,3.615,0,44.241001,,,0,,-27.891001,16.35,0,16.35,19.965,
12/31/1995,58.782001,41.181001,10.547,30.634001,7.643,,,0.0,,,,,0.756,,,,49.580002,9.084,12.36,-3.276,0.0,,,0.118,,,,0.118,9.202,,2.344,2.344,,,,0.084,,,,,,8.169,,,8.169,10.597,0.147,,,,,0.535,,,,,,0.535,0.682,11.279,0,77.260002,,,0,,-29.757,47.503002,0,47.503002,58.782002,
03/31/1996,62.131001,49.005999,12.531,36.474998,0.067,,,0.0,,,,,1.202,,,,50.275002,11.426,,,0.0,,,0.43,,,,0.43,11.856,,2.258,2.258,,,,0.057,,,,,,14.356,,,14.356,16.671,0.028,,,,,0.521,,,,,,0.521,0.549,17.22,0,77.311996,,,0,,-32.401001,44.910995,0,44.910995,62.130995,
06/30/1996,66.047997,37.52,7.172,30.348,9.365,,,0.0,,,,,0.955,,,,47.84,17.777,,,0.0,,,0.431,,,,0.431,18.208,,4.95,4.95,,,,0.059,,,,,,17.138,,,17.138,22.146999,0.013,,,,,0.506,,,,,,0.506,0.519,22.665999,0,77.480003,,,0,,-34.098,43.382004,0,43.382004,66.048003,
09/30/1996,74.384003,49.693998,19.747999,29.945999,3.028,,,0.0,,,,,1.185,,,,53.907001,20.016001,,,0.0,,,0.461,,,,0.461,20.477001,,4.308,4.308,,,,0.111,,,,,,24.921,,,24.921,29.34,0.079,,,,,0.487,,,,,,0.487,0.566,29.906,0,81.511002,,,0,,-37.033001,44.478001,0,44.478001,74.384001,
12/31/1996,66.875999,38.25,7.628,30.622,2.469,,,0.0,,,,,2.456,,,,43.174999,22.936001,32.546001,-9.61,0.0,,,0.765,,,,0.765,23.701001,,4.67,4.67,,,,0.073,,,,,,16.385,,,16.385,21.128,0.037,,,,,0.464,,,,,,0.464,0.501,21.629,0,81.842003,,,0,,-36.595001,45.247002,0,45.247002,66.876002,
03/31/1997,79.609001,38.547,8.008,30.539,8.678,,,0.0,,,,,2.597,,,,49.821999,25.346001,,,0.0,,,4.441,,,,4.441,29.787001,,3.953,3.953,,,,0.049,,,,,,28.868998,,,28.868998,32.870998,0.028,,,,,0.452,,,,,,0.452,0.48,33.350998,0,81.932999,,,0,,-35.674999,46.257999,0,46.257999,79.608998,
06/30/1997,76.608002,37.900001,11.303,26.597,3.966,,,0.0,,,,,1.929,,,,43.794998,25.768,,,5.313,,,1.732,,,,1.732,32.813,,3.604,3.604,,,,0.034,,,,,,23.041001,,,23.041001,26.679001,0.023,,,,,0.43,,,,,,0.43,0.453,27.132001,0,83.105003,,,0,,-33.629002,49.476002,0,49.476002,76.608003,
09/30/1997,181.057999,116.291996,51.285999,65.005997,9.256,,,0.0,,,,,7.97,,,,133.518005,30.198999,,,14.85,,,2.491,,,,2.491,47.54,,4.402,4.402,,,,0.048,,,,,,35.048001,,,35.048001,39.498001,0.019,,,,,0.405,,,,,,0.405,0.424,39.922001,0,171.662994,,,0,,-30.527,141.135994,0,141.135994,181.057995,
12/31/1997,199.089005,113.095001,55.598,57.497002,19.983,,,0.0,0.0,0.0,0.0,,9.836,,,,142.914001,38.07,58.189999,-20.120001,14.8,,,3.305,0.0,,,3.305,56.175,,5.791,5.791,,,,0.0,,,,,,46.423001,,,46.423001,52.214001,1.173,,,,,0.0,,,,,,0.0,1.173,53.387001,0,175.774994,,,0,,-30.073,145.701994,0,145.701994,199.088995,
03/31/1998,219.097,132.438999,42.726002,89.712997,8.626,,,0.0,,,,,11.125,,,,152.190002,43.368999,66.774002,-23.405001,19.24,,,4.298,,,,4.298,66.906999,,6.663,6.663,,,,0.0,,,,,,60.076998,,,60.076998,66.739998,0.626,,,,,0.382,,,,,,0.382,1.008,67.747998,0,181.240997,,,0,,-29.892,151.348997,0,151.348997,219.096995,
06/30/1998,219.188004,126.709999,32.944,93.765999,10.97,,,0.0,,,,,9.516,,,,147.195999,45.653,73.028,-27.375,21.054001,,,5.285,0.0,,,5.285,71.992001,,3.527,3.527,,,,0.0,,,,,,56.876999,,,56.876999,60.403999,0.0,,,,,0.908,,,,,,0.908,0.908,61.311999,0,182.429993,,,0,,-24.554001,157.875992,0,157.875992,219.187991,
09/30/1998,232.959,126.210999,45.349998,80.861,4.079,,,0.0,,,,,7.263,,,,137.552994,50.326,81.579002,-31.253,21.305,,,23.775,17.552999,,,6.222,95.406,,5.65,5.65,,,,0.0,,,,,,50.070001,,,50.070001,55.720001,0.0,,,,,1.51,,,,,,1.51,1.51,57.230001,0,206.223999,,,0,,-30.495001,175.728998,0,175.728998,232.958999,
12/31/1998,230.289993,111.233002,50.048,61.185001,14.318,,,0.0,,,,,5.813,,,,131.363998,54.429001,90.476997,-36.048,20.653,,,23.844,,,,23.844,98.926001,,8.244,8.244,,,,0.0,,,,,,41.682998,,,41.682998,49.926998,0.796,,,,,0.0,,,,,,0.0,0.796,50.722998,0,209.220001,,,0,,-29.653,179.567001,0,179.567001,230.289999,
03/31/1999,250.755005,133.729996,83.545998,50.183998,9.713,,,0.0,0.0,0.0,0.0,0.0,5.542,,,,148.985001,58.616001,99.721001,-41.105,19.042,,,24.112,16.358,,,7.754,101.77,,6.493,6.493,,,,0.0,,,,,,66.140003,,,66.140003,72.633003,0.549,,,,,0.0,,,,,,0.0,0.549,73.182003,0,209.587997,,,0,,-32.014999,177.572998,0,177.572998,250.755001,
06/30/1999,224.169998,106.081001,53.284,52.797001,4.594,4.594,,0.0,0.0,0.0,0.0,0.0,6.688,,,,117.362999,63.966,110.443001,-46.477001,16.917,,,25.924,15.76,15.76,0.0,10.164,106.806999,,4.597,4.597,,,,0.0,,,,,,48.257,,,48.257,52.854,0.382,0.0,0.382,0.382,,0.0,,,,,,0.0,0.382,53.236,0,210.970993,,,0,-37.698002,-2.338997,170.933994,0,170.933994,224.169994,
09/30/1999,209.658997,82.063,41.388,40.674999,8.04,8.04,,0.0,0.0,0.0,0.0,0.0,8.812,,,,98.915001,66.639999,118.404999,-51.764999,18.344999,,,25.759001,15.162,15.162,0.0,10.597001,110.743999,,6.09,6.09,,,,0.0,,,,,,37.697998,,,37.697998,43.787998,0.239,0.0,0.239,0.239,,0.0,,,,,,0.0,0.239,44.026998,0,215.404007,,,0,-48.764,-1.007999,165.632008,0,165.632008,209.659006,
12/31/1999,221.934006,66.937,32.220001,34.716999,26.608,,,0.0,0.0,0.0,0.0,0.0,15.956,,,,109.500999,67.292999,120.432999,-53.139999,19.275,,,25.865,14.564,,,11.301,112.432999,,6.501,6.501,,,,0.0,-0.607,0.607,0.607,,,44.957,,,44.957,51.458,0.194,0.0,0.194,0.194,,0.0,,,,,,0.0,0.194,51.652,0,222.834,,,0,,-52.551762,170.282238,0,170.282238,221.934238,
03/31/2000,875.692017,692.154022,421.334015,270.820007,14.368,,,0.0,0.0,0.0,0.0,0.0,22.417999,,,,728.940002,73.561996,132.072006,-58.509998,41.271999,,,31.917999,13.966,,,17.952,146.751995,,11.903,11.903,,,,0.0,,,,,,56.045998,,,56.045998,67.948997,203.423004,,,,,0.0,,,,,,0.0,203.423004,271.372002,0,641.905029,,,0,,-37.584999,604.32003,0,604.32003,875.692032,
06/30/2000,876.63501,680.917999,438.113007,242.804993,14.732,,,0.0,0.0,0.0,0.0,0.0,15.458,,,,711.107971,87.93,152.932007,-65.001999,46.108002,,,31.489,13.369,,,18.12,165.527002,,13.547,13.547,,,,0.0,,,,,,57.855,,,57.855,71.402,203.292007,,,,,0.0,,,,,,0.0,203.292007,274.694008,0,645.340027,,,0,,-43.398998,601.941029,0,601.941029,876.635036,
09/30/2000,865.924011,644.632019,328.377014,316.255005,21.014999,,,0.0,0.0,0.0,0.0,0.0,18.927,,,,684.573975,96.285004,169.098999,-72.814003,54.59,,,30.475,12.771,,,17.704,181.350004,,11.848,11.848,,,,0.0,,,,,,41.423,,,41.423,53.271,203.167007,,,,,0.0,,,,,,0.0,203.167007,256.438007,0,652.807007,,,0,,-43.320999,609.486008,0,609.486008,865.924015,
