Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Cash from Financing Activities,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,176,315,-31,-249,211,,,,
06/30/1990,,212,297,58,-143,424,,,,
09/30/1990,,163,286,161,-464,146,,,,
12/31/1990,,267,406,-67,268,874,,,,
03/31/1991,,-237,273,184,-42,178,,,,
06/30/1991,,25,274,-50,27,276,,,,
09/30/1991,,28,280,49,-420,-63,,,,
12/31/1991,,-394,301,218,507,632,,,,
03/31/1992,,-307,205,352,-241,9,,,,
06/30/1992,,-1172,338,1220,9,395,,,,
09/30/1992,,10,260,-99,-104,67,,,,
12/31/1992,,-2090,288,1735,516,449,,,,
03/31/1993,,50,261,-85,-75,151,,,,
06/30/1993,,-311,264,319,-134,138,,,,
