Date,Revenue,Revenue From Electric,Regulated Electric Revenue,Unregulated Electric Revenue,Other Electric Revenue,Revenue from Gas,Regulated Gas Revenue,Unregulated Gas Revenue,Other Gas Revenue,Revenue from Water,Other Revenue,Intracompany Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Income,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2000,,,,,,,,,,,,,,,,,,,,,,,,,-291.0,,,,,291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2001,3823.0,3823.0,,,,,,,,0.0,0.0,,-1330.0,1330.0,1330.0,,,,2493.0,-1604.0,378.0,168.0,1058.0,889.0,-219.0,,,0.0,,292.0,292.0,0.0,0.0,-73.0,670.0,-272.0,,398.0,-12.0,,,410.0,0.0,410.0,-11.0,0.0,399.0,399.0,,640.0,0.625,0.605,0.605,648.0,0.615,0.595,0.595,
06/30/2001,3616.0,3616.0,,,,,,,,0.0,0.0,,-1175.0,1175.0,1175.0,,0.0,,2441.0,-1649.0,362.0,153.0,1134.0,792.0,-238.0,,,0.0,,289.0,289.0,0.0,0.0,-51.0,554.0,-227.0,,327.0,0.0,,,327.0,0.0,327.0,-12.0,0.0,315.0,315.0,,642.0,0.49,0.49,0.49,648.0,0.485,0.485,0.485,
09/30/2001,4185.0,4185.0,,,,,,,,0.0,0.0,,-1631.0,1631.0,356.0,1275.0,0.0,,2554.0,-1642.0,369.0,172.0,1101.0,912.0,-282.0,,,0.0,,283.0,283.0,0.0,0.0,-1.0,630.0,-243.0,,387.0,0.0,,,387.0,0.0,387.0,-11.0,0.0,376.0,376.0,,642.0,0.585,0.585,0.67,646.0,0.58,0.58,0.66,
12/31/2001,,,,,,,,,,,,,,,,,,,,,,,,,-385.0,,,,,385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2002,3357.0,3357.0,,,,,,,,0.0,0.0,,-1164.0,1164.0,496.0,668.0,,,2193.0,-1588.0,335.0,186.0,1067.0,605.0,-208.0,,,0.0,,249.0,249.0,0.0,0.0,-41.0,397.0,-148.0,,249.0,230.0,,,19.0,0.0,19.0,-11.0,0.0,8.0,8.0,,642.0,0.01,0.37,0.39,646.0,0.01,0.365,0.385,
06/30/2002,3519.0,3519.0,,,,,,,,0.0,0.0,,-1123.0,1123.0,1123.0,,0.0,,2396.0,-1583.0,332.0,181.0,1070.0,813.0,-38.0,,,0.0,,241.0,241.0,0.0,0.0,-203.0,775.0,-279.0,,496.0,0.0,,,496.0,0.0,496.0,-11.0,0.0,485.0,485.0,,644.0,0.75,0.75,0.57,648.0,0.75,0.75,0.57,
09/30/2002,4370.0,4370.0,,,,,,,,0.0,0.0,,-1710.0,1710.0,373.0,1337.0,,,2660.0,-1660.0,345.0,201.0,1114.0,1000.0,-141.0,,,0.0,,249.0,249.0,0.0,0.0,-108.0,859.0,-297.0,,562.0,0.0,,,562.0,0.0,562.0,-11.0,,551.0,551.0,,646.0,0.855,0.855,0.855,648.0,0.85,0.85,0.85,
12/31/2002,,,,,,,,,,,,,,,,,,,,,,,,,-411.0,,,,,411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2003,4074.0,4074.0,,,,,,,,0.0,0.0,,-1737.0,1737.0,830.0,907.0,,,2337.0,-1580.0,274.0,197.0,1109.0,757.0,-360.0,,,0.0,,237.0,225.0,0.0,12.0,123.0,397.0,-148.0,,249.0,-112.0,,,361.0,0.0,361.0,0.0,0.0,361.0,361.0,,648.0,0.555,0.385,0.61,652.0,0.555,0.385,0.61,
