Date,Revenue,Sales & Services Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1996,43.761002,,,,,,,,,,,,,,,,,,,,,,,,,,2.198,,,2.198,2.198,,40.490002,0.055,0.055,0.055,40.490002,0.055,0.055,0.055,
03/31/1997,45.983,,,,,-40.988,,,,,4.995,-1.793,1.797,2.234,-0.437,0.0,,-0.004,3.202,-1.508,1.694,0.0,,,1.694,-0.184,1.51,-0.123,0.0,1.387,1.387,,47.577124,0.03,0.03,0.03,47.577124,0.03,0.03,0.03,
06/30/1997,54.636,,,,,-48.63,,,,,6.006,-2.257,2.251,2.761,-0.51,0.0,,0.006,3.749,-1.798,1.951,0.0,,,1.951,-0.043,1.908,0.0,0.0,1.908,1.908,,48.174,0.04,0.04,0.04,48.174,0.04,0.04,0.04,
09/30/1997,66.724,,,,,-56.423,,,,,10.301,-2.454,2.386,0.0,,0.0,,0.068,7.847,-3.69,4.157,0.0,,,4.157,-0.029,4.128,0.0,0.0,4.128,4.128,,49.066,0.085,0.085,0.085,49.066,0.085,0.085,0.085,
12/31/1997,152.192004,,,,,-143.659989,,,,,8.532,-2.418,,6.367,,0.0,,-3.949,6.114,-2.973,3.141,0.0,,,3.141,0.113,3.254,0.0,0.0,3.254,3.254,,55.768002,0.035,0.035,0.035,55.768002,0.035,0.035,0.035,
03/31/1998,152.485992,,,,,-142.078003,,,,,10.408,-2.664,,2.469,,0.0,,0.195,7.744,-3.252991,4.491,0.0,,,4.491009,-0.016,4.475,0.0,,4.475,4.475,,69.795998,0.065,0.065,0.065,72.407998,0.06,0.06,0.06,
06/30/1998,134.565994,,,,,-117.007004,,,,,17.559,-5.612,,2.425,,0.0,,3.187,11.947,-5.255,6.692,0.0,,,6.692,0.017,6.709,0.0,,6.709,6.709,,71.692001,0.095,0.095,0.1145,73.846001,0.09,0.09,0.109,
09/30/1998,167.876007,,,,,-146.455002,,,,,21.421,-10.584,,2.416,,0.0,,8.168,10.836999,-4.694,6.143,0.0,,,6.143,0.017,6.16,0.0,,6.16,6.16,,76.106003,0.08,0.08,0.13,78.421997,0.08,0.08,0.13,
12/31/1998,202.557999,,,,,-177.537994,,,,,25.02,-20.611,,8.17,,0.0,,12.441,4.409,-1.165,3.244,0.0,,,3.244,-0.046,3.198,0.0,,3.198,3.198,,59.723999,0.03,0.03,0.291,59.723999,0.03,0.03,0.286,
03/31/1999,179.92,,-45.416,134.504,,-125.304,,,,,9.2,-2.559,2.631,,,0.0,,-0.072,6.641,-3.228,3.413,0.1,,,3.313,-0.099,3.214,0.0,,3.214,3.214,,70.954,0.045,0.045,0.15,74.186,0.045,0.045,0.135,
