Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1989,5534.200195,98.5,98.5,0.0,1101.099976,,,1451.199951,,,,,199.5,,,,,2850.300049,1222.5,2413.600098,-1191.099976,,1461.400024,,,,,1461.400024,2683.900024,,354.5,354.5,,,,481.0,,,,,,740.0,,,740.0,1575.5,418.0,,,,,388.100006,,,,,,388.100006,806.100006,2381.600006,0.0,238.199997,,,-468.899994,,3383.299896,3152.599899,,3152.599899,5534.199905,
03/31/1990,6865.5,143.5,143.5,0.0,1427.5,,,1657.199951,,,,,324.200012,,,,,3552.399902,1440.599976,2684.699951,-1244.099976,,1872.5,,,,,1872.5,3313.099976,,553.700012,553.700012,,,,1232.0,,,,,,828.19989,,,828.19989,2613.899902,505.600006,,,,,490.799988,,,,,,490.799988,996.399994,3610.299896,0.0,238.199997,,,-463.899994,,3480.899994,3255.199997,,3255.199997,6865.499893,
06/30/1990,6948.100098,162.5,162.5,0.0,1445.5,,,1678.199951,,,,,230.399994,,,,,3516.600098,1564.300049,2868.399902,-1304.099976,,1867.199951,,,,,1867.199951,3431.5,,548.5,548.5,,,,1122.400024,,,,,,865.400024,,,865.400024,2536.300049,489.5,,,,,547.599976,,,,,,547.599976,1037.099976,3573.400024,0.0,238.199997,,,-460.600006,,3597.100006,3374.699997,,3374.699997,6948.100021,
09/30/1990,6376.399902,98.300003,98.300003,0.0,1410.0,,,1391.599976,,,,,238.800003,,,,,3138.699951,1535.800049,2793.5,-1257.699951,,1701.900024,,,,,1701.900024,3237.700073,,546.0,546.0,,,,918.0,,,,,,871.899902,,,871.899902,2335.899902,496.200012,,,,,554.400024,,,,,,554.400024,1050.600036,3386.499938,0.0,238.300003,,,-459.299988,,3210.900086,2989.900101,,2989.900101,6376.400039,
12/31/1990,6448.5,139.800003,139.800003,0.0,1342.800049,,,1423.900024,,,,,232.199997,,,,,3138.699951,1547.300049,2867.0,-1319.699951,,1762.5,,,,,1762.5,3309.800049,,432.200012,432.200012,,,,1153.599976,,,,,,825.399963,,,825.399963,2411.199951,392.5,,,,,543.5,,,,,,543.5,936.0,3347.199951,0.0,238.300003,,,-460.700012,,3323.700012,3101.300003,,3101.300003,6448.499954,
03/31/1991,6518.299805,127.900002,127.900002,0.0,1376.800049,,,1402.800049,,,,,234.399994,,,,,3141.899902,1565.5,2928.699951,-1363.199951,,1810.900024,,,,,1810.900024,3376.400024,,473.0,473.0,,,,1125.800049,,,,,,785.800049,,,785.800049,2384.600098,430.799988,,,,,539.299988,,,,,,539.299988,970.099976,3354.700073,0.0,238.199997,,,-466.299988,,3391.69989,3163.599899,,3163.599899,6518.299973,
06/30/1991,6357.5,135.399994,135.399994,0.0,1331.0,,,1353.0,,,,,214.5,,,,,3033.899902,1523.900024,2916.0,-1392.099976,,1799.699951,,,,,1799.699951,3323.599976,,449.100006,449.100006,,,,938.900024,,,,,,807.800018,,,807.800018,2195.800049,464.200012,,,,,531.299988,,,,,,531.299988,995.5,3191.300049,0.0,238.300003,,,-445.799988,,3373.69989,3166.199905,,3166.199905,6357.499954,
09/30/1991,6364.399902,102.400002,102.400002,0.0,1316.5,,,1348.599976,,,,,221.100006,,,,,2988.600098,1583.400024,2993.800049,-1410.400024,,1792.400024,,,,,1792.400024,3375.800048,,542.099976,542.099976,,,,765.0,,,,,,786.700073,,,786.700073,2093.800049,450.200012,,,,,563.5,,,,,,563.5,1013.700012,3107.500061,0.0,238.300003,,,-444.700012,,3463.30011,3256.900101,,3256.900101,6364.400162,
12/31/1991,6561.600098,163.5,163.5,0.0,1293.099976,,,1406.0,,,,,230.100006,,,,,3092.699951,1626.900024,3104.800049,-1477.900024,,1842.0,,,,,1842.0,3468.900024,,448.700012,448.700012,,,,874.599976,,,,,,808.899963,,,808.899963,2132.199951,453.700012,,,,,590.599976,,,,,,590.599976,1044.299988,3176.499939,0.0,238.300003,,,-441.799988,,3588.600037,3385.100052,,3385.100052,6561.599991,
03/31/1992,6567.600098,188.199997,188.199997,0.0,1345.800049,,,1349.5,,,,,236.5,,,,,3120.0,1618.0,3131.5,-1513.5,,1829.599976,,,,,1829.599976,3447.599976,,446.100006,446.100006,,,,887.599976,,,,,,791.199921,,,791.199921,2124.899902,421.799988,,,,,574.099976,,,,,,574.099976,995.899963,3120.799866,0.0,238.300003,,,-437.700012,,3646.200012,3446.800003,,3446.800003,6567.599869,
