Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Deferred Tax Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,1012.367004,295.325012,295.325012,0.0,23.128,,,37.571999,,,,,1.899,,,,,,,357.924011,627.395996,,,12.085,,,,14.962,,,,,,,14.962,654.442996,,32.426998,32.426998,,,,,,,,,68.392002,,,68.392002,100.819,36.851002,,,,370.131989,,,,,,370.131989,406.98299,507.801991,0.0,428.984009,,,0.0,,75.581001,504.56501,0.0,504.56501,1012.367001,
06/30/1990,1019.721985,254.968002,254.968002,0.0,40.089001,,,38.143002,,,,,2.174,,,,,,,335.373993,653.106995,,,12.129,,,,19.112,,,,,,,19.112,684.347994,,32.264999,32.264999,,,,,,,,,69.985001,,,69.985001,102.25,32.709999,,,,369.899994,,,,,,369.899994,402.609993,504.859993,0.0,429.362,,,0.0,,85.5,514.862,0.0,514.862,1019.721992,
09/30/1990,1137.32605,341.971985,341.971985,0.0,31.233999,,,41.604,,,,,1.975,,,,,,,416.785004,682.97998,,,0.0,,,,37.561001,,,,,,,37.561001,720.540981,,30.438,30.438,,,,,,,,,77.884998,,,77.884998,108.322998,31.045,,,,367.919006,,,,,,367.919006,398.964006,507.287004,0.0,534.245972,,,0.0,,95.792999,630.038971,0.0,630.038971,1137.325975,
12/31/1990,1146.883057,311.778015,311.778015,0.0,32.601002,,,45.206001,,,,,1.646,,,,,,,391.230988,716.046021,875.02002,-158.973999,0.0,,,,39.605999,,,,,,,39.605999,755.65202,,28.528,28.528,,,,68.149002,,,,,14.823997,,,14.823997,111.500999,21.972,,,,368.533997,,,,,,368.533997,390.505997,502.006996,0.0,534.70697,,,0.0,,110.168999,644.875969,0.0,644.875969,1146.882965,
03/31/1991,1174.088013,285.399994,285.399994,0.0,45.277,,,41.144001,,,,,1.162,,,,,,,372.983002,746.742981,,,0.0,,,,54.362,,,,,,,54.362,801.10498,,28.524,28.524,,,,,,,,,84.334002,,,84.334002,112.858002,19.972,,,,367.230988,,,,,,367.230988,387.202988,500.060989,0.0,548.114014,,,0.0,,125.913002,674.027016,0.0,674.027016,1174.088005,
06/30/1991,1193.790039,274.855003,222.574005,52.280998,38.151001,,,40.667999,,,,,1.865,,,,,,,355.539001,781.538025,,,0.0,,,,56.713001,,,,,,,56.713001,838.251026,,28.197001,28.197001,,,,,,,,,82.541998,,,82.541998,110.738998,20.195,,,,365.169006,,,,,,365.169006,385.364006,496.103004,0.0,549.362,,,0.0,,148.324997,697.686996,0.0,697.686996,1193.790001,
09/30/1991,1239.590942,252.703007,199.518005,53.185001,36.337002,,,44.287998,,,,,1.598,,,,,,,334.925995,849.065002,,,0.0,,,,55.599998,,,,,,,55.599998,904.665001,,50.484001,50.484001,,,,,,,,,77.551994,,,77.551994,128.035995,19.243999,,,,366.440002,,,,,,366.440002,385.684002,513.719997,0.0,553.159973,,,0.0,,172.710999,725.870972,0.0,725.870972,1239.590969,
12/31/1991,1306.337036,252.140007,197.376007,54.764,35.193001,,,40.375,,,,,0.739,,,,,,,328.446991,921.700989,1110.203995,-188.503006,0.0,,,,56.188999,,,,,,,56.188999,977.889988,,54.532001,54.532001,,,,45.256001,,,,,12.473,,,12.473,112.261002,262.996002,,,,90.427002,,,,,,90.427002,353.423004,465.684006,0.0,653.10199,,,0.0,,187.550995,840.652985,0.0,840.652985,1306.336991,
03/31/1992,1345.093994,243.185005,185.313004,57.872002,33.748001,,,43.382999,,,,,2.774,,,,,,,323.089996,965.02002,,,0.0,,,,56.984001,,,,,,,56.984001,1022.004021,,39.945,39.945,,,,,,,,,12.139999,,,12.139999,52.084999,329.675995,,,,103.356003,,,,,,103.356003,433.031998,485.116997,0.0,656.994019,,,0.0,,202.983002,859.97702,0.0,859.97702,1345.094017,
06/30/1992,1409.69397,228.810993,175.136993,53.674,50.088001,,,37.472,,,,,2.286,,,,,,,318.657013,1034.319946,,,0.0,,,,56.716999,,,,,,,56.716999,1091.036945,,49.750999,49.750999,,,,,,,,,56.959,,,56.959,106.709999,308.274994,,,,108.247002,,,,,,108.247002,416.521996,523.231995,0.0,657.356995,,,0.0,,229.104996,886.46199,0.0,886.46199,1409.693985,
09/30/1992,1451.552002,211.263004,150.604004,60.659,49.025002,,,43.257999,,,,,1.353,,,,,,,304.898987,1091.489014,,,0.0,,,,55.164001,,,,,,,55.164001,1146.653015,,45.757,45.757,,,,,,,,,64.437,,,64.437,110.194,309.859985,,,,107.57,,,,,,107.57,417.429985,527.623985,0.0,659.619019,,,0.0,,264.30899,923.928009,0.0,923.928009,1451.551994,
12/31/1992,1498.666992,288.022999,226.324997,61.698002,25.1,,,40.248001,,,,,0.0,,,,,,,353.371002,1094.401978,1295.465973,-201.063995,0.0,,,,50.894001,,,,,,,50.894001,1145.295979,,63.853001,63.853001,,,,77.184998,,,,,2.783,,,2.783,143.820999,260.097992,,,,110.558998,,,,,,110.558998,370.65699,514.477989,0.0,664.409973,,,0.0,,319.778992,984.188965,0.0,984.188965,1498.666954,
