Date,Level 1 Assets,Level 2 Assets,Total FV Assets,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/31/2008,19.282,378.945,398.227,10.970702,215.604854,226.575546,2.994862,58.857381,61.85224,
06/30/2008,12.325,357.999,370.324,8.576837,249.127703,257.704539,2.022173,58.73718,60.759352,
09/30/2008,11.28,325.168,336.448,10.383681,299.329848,309.713528,1.984686,57.212432,59.197117,
12/31/2008,134.686,233.6,368.286,70.829959,122.847797,193.677756,24.028073,41.674397,65.70247,
03/31/2009,117.3,204.505,321.805,73.646672,128.398232,202.044904,23.184613,40.420881,63.605494,
06/30/2009,104.16,187.309,291.469,79.756198,143.424095,223.180294,22.021235,39.600379,61.621614,
09/30/2009,27.537,244.911,272.448,25.953817,230.830349,256.784166,6.083495,54.105923,60.189417,
12/31/2009,24.585,363.107,387.692,24.016529,354.710991,378.72752,4.271804,63.092206,67.364009,
03/31/2010,16.315,341.386,357.701,15.574584,325.893045,341.467629,2.974427,62.238906,65.213333,
06/30/2010,19.879,314.976,334.855,18.149531,287.573154,305.722685,3.746245,59.35798,63.104225,
09/30/2010,9.393,290.396,299.789,8.782855,271.532628,280.315483,1.869343,57.793009,59.662352,
12/31/2010,16.028,298.177,314.205,17.678851,328.888619,346.56747,3.075064,57.206964,60.282028,
03/31/2011,18.578,499.663,518.241,6.605793,177.665536,184.271329,2.63713,70.9267,73.56383,
06/30/2011,10.594,470.221,480.815,4.216081,187.133272,191.349353,1.579181,70.092897,71.672078,
09/30/2011,42.276,414.957,457.233,18.317396,179.793065,198.110461,6.523138,64.027385,70.550523,
12/31/2011,13.95,399.624,413.574,7.052186,202.023143,209.075329,2.299893,65.884758,68.184651,
03/31/2012,147.515,350.356,497.871,90.785724,215.620942,306.406666,21.231626,50.426245,71.65787,
06/30/2012,135.509,340.965,476.474,102.437937,257.75226,360.190197,20.272334,51.008837,71.281171,
09/30/2012,8.992,318.961,327.953,9.4323,334.579155,344.011455,1.66072,58.908454,60.569173,
12/31/2012,22.487,252.76,275.247,47.826364,537.581352,585.407716,4.517367,50.776432,55.293799,
03/31/2013,21.682,213.313,234.995,-827.557252,-8141.717557,-8969.274809,4.840802,47.625033,52.465835,
06/30/2013,26.934,172.456,199.39,-66.42334,-425.30272,-491.72606,6.524567,41.776221,48.300788,
09/30/2013,58.751,121.938,180.689,-116.917413,-242.662687,-359.5801,15.338285,31.834689,47.172974,
12/31/2013,26.453,197.959,224.412,-29.423935,-220.191762,-249.615697,6.087769,45.557353,51.645122,
03/31/2014,25.338,251.628,276.966,-258.313793,-2565.276787,-2823.59058,5.202736,51.667615,56.87035,
06/30/2014,23.733,247.436,271.169,-67.118213,-699.762443,-766.880656,4.96364,51.750021,56.713662,
09/30/2014,28.216,204.635,232.851,59.756872,433.383455,493.140328,5.91652,42.909235,48.825755,
12/31/2014,11.229,225.459,236.688,30.906639,620.55213,651.458769,2.542678,51.052599,53.595277,
03/31/2015,123.558,171.353,294.911,159.831835,221.658366,381.490201,24.750607,34.324696,59.075303,
06/30/2015,16.512,230.856,247.368,47.044075,657.72814,704.772216,3.615764,50.552372,54.168136,
09/30/2015,17.23,246.07,263.3,44.11953,630.092438,674.211968,3.835315,54.773999,58.609314,
12/31/2015,53.728,250.444,304.172,835.713175,3895.535853,4731.249028,10.774865,50.225212,61.000076,
03/31/2016,69.484,212.846,282.33,-25266.909091,-77398.545455,-102665.454546,14.126238,43.272024,57.398263,
06/30/2016,54.632,216.248,270.88,-139.186263,-550.936282,-690.122545,11.797046,46.695847,58.492892,
09/30/2016,62.092,187.286,249.378,-91.509587,-276.017273,-367.52686,14.606617,44.057446,58.664063,
12/31/2016,51.104,330.713,381.817,57.990355,375.277163,433.267518,8.983407,58.134973,67.11838,
03/31/2017,19.24,335.607,354.847,42.995374,749.976536,792.97191,3.640588,63.50348,67.144068,
06/30/2017,14.553,291.628,306.181,429.799173,8612.758417,9042.55759,3.058259,61.28454,64.342799,
09/30/2017,27.058,382.013,409.071,32.149901,453.901999,486.0519,4.648702,65.63177,70.280472,
12/31/2017,0.302,347.326,347.628,0.343854,395.461584,395.805438,0.059348,68.254904,68.314252,
03/31/2018,21.055,297.786,318.841,36.125457,510.931146,547.056603,4.238209,59.942028,64.180237,
06/30/2018,100.299,1996.321,2096.62,5.391219,107.305202,112.696421,4.336153,86.305487,90.64164,
09/30/2018,89.785,1938.007,2027.792,5.01558,108.261169,113.276749,3.992045,86.168188,90.160233,
12/31/2018,105.656,1800.011,1905.667,6.151464,104.799558,110.951021,4.913839,83.714745,88.628584,
03/31/2019,42.171,1789.213,1831.384,2.581617,109.531739,112.113356,1.94652,82.5861,84.53262,
06/30/2019,58.69,1723.828,1782.518,3.769053,110.703687,114.47274,2.795224,82.100614,84.895838,
09/30/2019,45.674,1646.043,1691.717,3.068023,110.568337,113.636361,2.187144,78.822378,81.009523,
12/31/2019,83.546,1507.655,1591.201,5.94468,107.276552,113.221232,4.225137,76.246007,80.471144,
03/31/2020,158.08,1359.46,1517.54,12.193523,104.862136,117.055659,8.373178,72.007852,80.38103,
06/30/2020,52.135,1144.107,1196.242,4.150083,91.073919,95.224002,3.268902,71.736333,75.005236,
