Date,Revenue,Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,Real Estate Tax,Other Property Expense,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,Impairment of Assets,Impairment from Affiliates,Disposal of Uncon Assets,Disposal of Assets from Disc Ops,Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Recurring Capital Expenditure,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
03/31/1994,8.442,7.024,,1.281,0.0,0.137,-4.775,2.953,,,0.128,1.432,0.0,,0.262,3.667,-3.147,3.147,,0.0,0.52,-0.255,,,,0.0,,,0.265,,0.313,,0.0,0.313,0.313,,,,,,,,,,,,,,,,,,3.263,,3.263,,3.263,,,0.0,,,0.0,
06/30/1994,8.027,7.352,,0.513,0.0,0.162,-4.563,2.805,,,0.215,1.491,0.0,,0.052,3.464,-3.233,3.233,,0.0,0.231,-0.012,,,,0.0,,,0.219,,0.162,,,0.162,0.162,,6.275,0.05,0.05,0.05,6.275,0.05,0.05,0.05,,,,,,,,,3.012,,3.012,,3.012,0.48,0.48,0.08,16.666666,16.666666,16.666665,
09/30/1994,8.753,8.338,,0.0,0.0,0.415,-4.595,2.727,,,0.219,1.649,0.0,,0.0,4.158,-1.953,1.953,,0.0,2.205,0.0,,,,0.0,,,2.205,,1.639,,,1.639,1.639,,6.275,0.26,0.26,0.26,6.275,0.26,0.26,0.26,,,,,,,,,3.138,,3.138,,3.138,0.50008,0.50008,0.4175,83.486694,83.486694,83.492667,
12/31/1994,10.002,9.527,,0.0,0.0,0.475,-5.859,3.208,,,0.201,2.056,0.0,,0.394,4.143,-2.37,2.37,,0.0,1.773,0.0,,,,0.0,,,1.773,,1.304,,,1.304,1.304,,6.275,0.21,0.21,0.21,6.275,0.21,0.21,0.21,,,,,,,,,3.138,,3.138,,3.138,0.50008,0.50008,0.4205,84.086603,84.086603,83.492667,
03/31/1995,10.923,10.307,,0.0,0.0,0.616,-5.828,3.483,,,0.365,1.98,0.0,,0.0,5.095,-3.083,3.083,,0.0,2.012,0.0,,,,0.0,,,2.012,,1.487,,,0.713,0.713,,6.275,0.24,0.24,0.24,6.275,0.24,0.24,0.24,,,,,,,,,3.012,,3.012,,3.012,0.48,0.48,0.4175,86.979163,86.979163,86.985386,
06/30/1995,10.911,10.418,,0.0,0.0,0.493,-5.762,3.4,,,0.358,1.991,0.0,,0.013,5.149,-2.313,3.102,,-0.789,2.836,0.0,,,,0.154,,,2.682,,2.006,,,1.232,1.232,,6.275,0.32,0.34,0.34,6.275,0.32,0.34,0.34,,,,,,,,,3.012,,3.012,,3.012,0.48,0.48,0.4175,86.979163,86.979163,86.985386,
09/30/1995,10.984,10.387,,0.0,0.0,0.597,-5.806,3.383,,,0.36,2.037,0.0,,0.026,5.178,-3.036,3.036,,0.0,2.142,0.0,,,,0.0,,,2.142,,1.588,,,0.8,0.8,,6.275,0.25,0.25,0.25,6.275,0.25,0.25,0.25,,,,,,,,,3.2,,3.2,,3.2,0.50996,0.50996,0.425,83.339846,83.339846,83.34375,
12/31/1995,11.122,10.528,,0.0,0.0,0.594,-6.03,3.338,,,0.444,1.999,0.0,,0.249,5.092,2.162,3.062,,-5.224,7.254,0.0,,,,0.0,,,7.254,,5.523,,,4.735,4.735,,6.275,0.88,0.88,0.88,6.275,0.88,0.88,0.88,,,,,,,,,3.263,,3.263,,3.263,0.52,0.52,0.425,81.730772,81.730772,81.734601,
03/31/1996,11.554,10.951,,0.0,0.0,0.603,-6.21,3.602,,,0.397,2.19,0.0,,0.021,5.344,-3.146,3.146,,0.0,2.198,0.0,,,,2.18,,,0.018,,-0.057,,,-0.835,-0.835,,6.275,-0.01,-0.01,-0.01,6.275,-0.01,-0.01,-0.01,,,,,,,,,3.389,,3.389,,3.389,0.54008,0.54008,0.425,78.692097,78.692097,78.695784,
06/30/1996,11.754,11.053,,0.0,0.0,0.701,-6.124,3.593,,,0.466,2.047,0.0,,0.018,5.63,-0.781,3.19,0.0,-2.409,4.849,0.0,,,,0.665,,,4.184,,3.159,,,2.371,2.371,,6.275,0.51,0.51,0.51,6.275,0.51,0.51,0.51,,,,,,,,,3.451,,3.451,,3.451,0.54996,0.54996,0.425,77.278329,77.278329,77.281949,
09/30/1996,12.823,12.119,,0.0,0.0,0.704,-6.587,3.892,,,0.416,2.276,0.0,,0.003,6.236,-2.86,2.931,0.0,-0.071,3.376,0.0,,,,0.472,,,2.904,,2.232,,,1.425,1.425,,7.611,0.27,0.27,0.27,7.611,0.27,0.27,0.27,,,,,,,,,4.338,,4.338,,4.338,0.569964,0.569964,0.435,76.320544,76.320544,88.312592,
12/31/1996,14.562,13.657,,0.0,0.0,0.905,-7.198,4.418,,,0.438,2.342,0.0,,0.0,7.364,-2.817,2.814,0.0,0.003,4.547,0.0,,,,0.124,,,4.423,,3.547,,,2.741,2.741,,9.174,0.34,0.35,0.35,9.174,0.34,0.34,0.34,,,,,,,,,5.321,,5.321,,5.321,0.580009,0.580009,0.435,74.99887,74.99887,94.775421,
03/31/1997,18.551001,17.356001,,0.0,0.0,1.195,-9.318,5.714,,,0.516,3.088,0.0,,0.0,9.233,-3.49,3.49,0.0,0.0,5.743,0.0,,,,0.0,,,5.743,,4.868,,,4.43,4.43,,11.595,0.38,0.38,0.38,14.524,0.38,0.38,0.38,,,,,,,,,7.518,,7.518,,7.518,0.517626,0.517626,0.435,84.03751,84.03751,78.677838,
06/30/1997,19.58,18.353001,,0.0,0.0,1.227,-9.678,5.923,,,0.535,3.22,0.0,,0.0,9.902,-2.581,2.995,0.0,-0.414,7.321,0.0,,,,0.104,,,7.217,,6.254,,,5.584,5.584,,13.538,0.42,0.43,0.42,16.599001,0.42,0.42,0.42,,,,,,,,,8.838,,8.838,,8.838,0.532442,0.532442,0.435,81.699086,81.699086,66.983479,
09/30/1997,21.975,20.886999,,0.0,0.0,1.088,-10.83,6.644,,,0.631,3.555,0.0,,0.0,11.145,1.467,3.246,0.0,-4.713,12.612,0.0,,,,0.0,,,12.612,,10.967,,,10.297,10.297,,14.133,0.71,0.71,0.71,14.133,0.71,0.71,0.71,,,,,,,,,10.051,,10.051,,10.051,0.711172,0.711172,0.45,63.275796,63.275796,67.625114,
12/31/1997,24.462999,23.34,,0.0,0.0,1.123,-12.669,7.545,,,0.731,4.255,0.0,,0.138,11.794,-3.324,3.311,0.0,0.013,8.47,0.0,,,,0.257,,,8.213,,7.227,,,6.557,6.557,,15.485,0.42,0.42,0.42,19.436001,0.42,0.42,0.42,,,,,,,,,10.36,,10.36,,10.36,0.533031,0.533031,0.45,84.422784,84.422784,72.171819,
03/31/1998,27.836,26.530001,,0.0,0.0,1.306,-14.24,8.753,,,0.818,4.669,0.0,,0.0,13.596,-3.941,3.941,0.0,0.0,9.655,0.0,,,,0.0,,,9.655,,7.925,,,7.05,7.05,,16.618,0.42,0.42,0.42,20.551001,0.42,0.42,0.42,,,,,,,,,13.685,,13.685,,13.685,0.665904,0.665904,0.45,67.577272,67.577272,54.680304,
