Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,759.177979,105.797003,96.814003,8.983,276.398987,,,135.901001,,,,,11.095,,,529.192017,167.688004,226.520004,-58.832001,0.0,62.298,,,,,62.298,229.986004,,81.986,81.986,,,,36.73,,,,,126.082005,,,126.082005,244.798004,194.591995,,,,,31.028999,,,,31.028999,225.620995,470.418999,62.5,120.375,,,0.0,,105.884003,288.759003,0.0,288.759003,759.178001,
06/30/1990,933.95697,56.749001,46.256001,10.493,428.980988,,,178.473007,,,,,13.377,,,677.580017,180.595993,243.686996,-63.091,0.0,75.780998,,,,,75.780998,256.376991,,110.873001,110.873001,,,,211.473007,,,,,130.718994,,,130.718994,453.065002,121.567001,,,,,37.084999,,,,37.084999,158.652,611.717003,62.5,132.087006,,,-0.582,,128.235,322.240005,0.0,322.240005,933.957008,
09/29/1990,1128.104004,63.931,54.862,9.069,585.642029,,,184.285995,,,,,13.973,,,847.83197,191.860992,258.575012,-66.713997,0.0,88.411003,,,,,88.411003,280.271996,,124.153,124.153,,,,241.367004,,,,,217.74501,,,217.74501,583.265015,122.369003,,,,,39.549999,,,,39.549999,161.919003,745.184017,62.5,142.582001,,,-2.944,,180.781997,382.919998,0.0,382.919998,1128.104015,
12/29/1990,929.775024,197.922006,187.712006,10.21,259.549011,,,150.837006,,,,,18.927,,,627.234985,209.406006,277.658997,-68.252998,0.0,93.134003,,,,,93.134003,302.540009,,113.43,113.43,,,,1.134,,,,,216.536006,,,216.536006,331.100006,168.113007,,,,,40.096001,,,,40.096001,208.209008,539.309014,62.5,134.546005,,,-3.266,,196.685998,390.466003,0.0,390.466003,929.775017,
03/31/1991,984.638977,180.041004,167.520004,12.521,325.56601,,,154.632996,,,,,12.41,,,672.650024,203.121002,274.27301,-71.152,0.0,108.867996,,,,,108.867996,311.988998,,79.091003,79.091003,,,,51.349998,,,,,141.859993,,,141.859993,272.300995,274.799988,,,,,42.863998,,,,42.863998,317.663986,589.964981,62.52,169.742004,,,-4.008,,166.420002,394.674007,0.0,394.674007,984.638988,
06/30/1991,1024.724976,69.759002,56.796001,12.963,466.390991,,,158.078003,,,,,11.947,,,706.174988,200.466995,275.290009,-74.822998,0.0,118.083,,,,,118.083,318.549995,,99.800003,99.800003,,,,216.322998,,,,,137.001999,,,137.001999,453.125,185.949005,,,,,41.418999,,,,41.418999,227.368004,680.493004,0.02,180.455994,,,-9.562,,173.317997,344.23199,0.0,344.23199,1024.724994,
10/01/1991,1398.795044,61.411999,47.098999,14.313,771.596985,,,170.524002,,,,,25.266001,,,1028.79895,206.289993,286.55899,-80.268997,0.0,163.705994,,,,,163.705994,369.995987,,139.686005,139.686005,,,,362.973999,,,,,257.095978,,,257.095978,759.755981,187.975006,,,,,42.442001,,,,42.442001,230.417007,990.172989,0.02,179.389999,,,-12.063,,241.275005,408.622005,0.0,408.622005,1398.794994,
12/31/1991,1099.232056,207.133004,198.410004,8.723,342.212006,,,146.432999,,,,,30.51,,,726.288025,209.488007,294.03299,-84.544998,0.0,163.455994,,,,,163.455994,372.944001,,151.167999,151.167999,,,,5.705,,,,,253.632006,,,253.632006,410.505005,193.460007,,,,,45.028999,,,,45.028999,238.489006,648.994011,0.02,184.955994,,,-14.938,,280.199993,450.237987,0.0,450.237987,1099.231998,
03/31/1992,1103.496948,68.436998,56.522999,11.914,431.03299,,,205.007004,,,,,32.862,,,737.338989,208.751007,297.072998,-88.321999,0.0,157.406998,,,,,157.406998,366.158005,,117.806,117.806,,,,136.585999,,,,,179.799988,,,179.799988,434.191986,191.432007,,,,,37.237,,,,37.237,228.669006,662.860992,0.009,171.507996,,,-21.172001,,290.290989,440.635984,0.0,440.635984,1103.496976,
06/30/1992,1372.603027,50.238001,35.006001,15.232,661.054016,,,251.199005,,,,,35.932999,,,998.424011,219.110001,312.429993,-93.32,0.0,155.069,,,,,155.069,374.179001,,130.052002,130.052002,,,,367.473999,,,,,177.078003,,,177.078003,674.604004,193.766006,,,,,39.493999,,,,39.493999,233.260006,907.86401,0.009,174.520004,,,-30.066999,,320.276991,464.738996,0.0,464.738996,1372.603006,
09/30/1992,1641.680054,56.613003,40.205002,16.408001,977.900024,,,192.294006,,,,,34.438999,,,1261.245972,226.834,325.154999,-98.320999,0.0,153.600006,,,,,153.600006,380.434006,,138.307999,138.307999,,,,367.644989,,,,,281.727005,,,281.727005,787.679993,292.915009,,,,,38.853001,,,,38.853001,331.768009,1119.448002,0.009,190.181,,,-39.699001,,371.740993,522.231992,0.0,522.231992,1641.679994,
12/31/1992,1712.675049,327.806993,313.692993,14.114,538.44397,,,238.895004,,,,,86.097,,,1191.243042,324.144989,540.520996,-216.376007,0.0,197.287003,,,,,197.287003,521.431992,,169.917007,169.917007,,,,22.315001,,,,,337.156969,,,337.156969,529.388977,385.77301,,,,,49.157001,,,,49.157001,434.930011,964.318988,0.009,385.087006,,,-43.098,,406.35801,748.356016,0.0,748.356016,1712.675004,
03/31/1993,1673.54895,163.091006,147.141006,15.95,586.47699,,,262.562012,,,,,136.910995,,,1149.041016,324.677002,548.145996,-223.468994,0.0,199.830994,,,,,199.830994,524.507996,,122.065002,122.065002,,,,81.322998,,,,,287.333008,,,287.333008,490.721008,365.881989,,,,,58.618,,,,58.618,424.499989,915.220997,0.009,397.098999,,,-50.772999,,411.993,758.328,0.0,758.328,1673.548997,
