Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Special EPS,Source: Bloomberg
03/31/1990,1210.338989,-789.453003,420.885986,-176.182999,244.703003,-21.809,,14.035,236.929003,-92.902,144.026993,0.0,,144.026993,0.0,144.026993,,,144.027002,,0.31,0.31,469.226013,,,,,,
06/30/1990,1401.582031,-901.075989,500.506042,-201.292999,299.213013,-26.971001,,24.167999,296.410011,-117.538002,178.871994,0.0,,178.871994,0.0,178.871994,,,178.872009,,0.38,0.38,470.65799,,,,,,
09/30/1990,1565.838013,-1038.357056,527.480957,-199.242996,328.238007,-33.458,,18.816,313.596006,-122.82,190.776001,-24.547001,,166.229004,0.0,166.229004,,,190.776007,,0.4,0.35,476.625,,,,,,
12/31/1990,1856.646973,-1268.833984,587.812988,-244.483002,343.329987,-28.544001,,11.453,326.238986,-130.604996,195.634003,0.0,,195.634003,0.0,195.634003,,,195.63399,,0.4,0.4,487.239502,,,,,,
03/31/1991,1744.814941,-1216.322998,528.491943,-222.511002,305.980988,-37.700001,,5.908,274.188987,-108.536003,165.653,0.0,,165.653,0.0,165.653,,,165.652984,,0.34,0.34,491.606995,,,,,,
06/30/1991,1880.822021,-1270.151001,610.671021,-225.348007,385.322998,-43.632,,8.517,350.207998,-143.266998,206.940994,0.0,,206.940994,0.0,206.940994,,,206.941,,0.42,0.42,492.591003,,,,,,
09/30/1991,1914.901978,-1299.116943,615.785034,-226.791,388.993988,-43.612999,,-1.118,344.262989,-137.072998,207.190002,0.0,,207.190002,0.0,207.190002,,,207.189991,,0.42,0.42,493.574005,,,,,,
12/31/1991,2010.375,-1379.728027,630.646973,-236.285004,394.362,-43.612999,,-291.51001,59.238991,-32.700001,26.539,0.0,,26.539,0.0,26.539,,,26.53899,,0.05,0.05,492.875,,,,,,
03/31/1992,2020.078003,-1408.349976,611.728027,-259.334015,352.394012,-57.289001,,27.131001,322.236012,-130.141998,192.093994,-71.139,,120.955002,0.0,120.955002,,,192.094013,,0.39,0.25,496.440002,,,,,,
06/30/1992,2175.178955,-1487.155029,688.023926,-282.036987,405.987,-53.574001,,57.381001,409.793999,-80.264,329.529999,0.0,,329.529999,0.0,329.529999,,,329.529999,,0.66,0.66,496.838013,,,,,,
