Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch of Investments,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2005,221,183,80,194,,,,194,-236,,,,,-587,-27,0.0,-27.0,-448,1335,,,,-1783,,,,-7,,,,,,,,-105,622,0,0,,,,,0,0,0,-10.0,632,,256,16,3.0,
06/30/2005,174,155,4,-19,,,,-19,34,,,,,877,-27,0.0,-27.0,142,3247,,,,-3105,,,,95,,,,,,,,667,125,0,-11,,,,,0,0,0,-44.0,180,,1176,126,42.0,
09/30/2005,37,125,46,-201,,,,-201,67,,,,,-964,-41,0.0,-41.0,533,2198,,,,-1665,,,,-929,,,,,,,,-527,1037,0,1351,,,,,0,0,0,-19.0,-295,,110,-48,29.0,
12/31/2005,589,111,55,252,,,,252,171,,,,,409,-46,0.0,-46.0,-478,1822,,,,-2300,,,,945,,,,,,,,-12,-1144,-80,112,,,,,0,0,0,36.0,-1212,,-146,52,19.0,
03/31/2006,107,145,41,30,,,,30,-109,,,,,488,-34,0.0,-34.0,490,1539,,,,-1049,,,,39,,,,,,,,-7,-1419,-28,-50,,,,,-279,11,-290,-54.0,-1008,,-824,43,2.0,
06/30/2006,429,141,56,210,,,,210,22,,,,,682,32,66.0,-34.0,591,1413,,,,-822,,,,19,,,,,,,,40,-660,-27,483,,,,,-27,15,-42,-113.0,-976,,451,94,50.0,
09/30/2006,180,174,36,-128,,,,-128,98,,,,,2220,-47,0.0,-47.0,1737,2215,,,,-478,,,,-332,,,,,,,,862,-1192,-27,-169,,,,,-97,9,-106,5.0,-904,,1208,48,5.0,
12/31/2006,101,171,14,-35,,,,-35,-49,,,,,94,-72,0.0,-72.0,302,870,,,,-568,,,,328,,,,,,,,-464,-753,-26,-32,,,,,-15,37,-52,67.0,-747,,-558,34,74.0,
03/31/2007,-110,165,41,-6,,,,-6,-310,,,,,1178,-51,8.0,-59.0,1184,1558,,,,-374,,,,61,,,,,,,,-16,-1384,-27,0,,,,,-357,29,-386,-21.0,-979,,-316,19,4.0,
06/30/2007,198,196,44,206,,,,206,-248,,,,,2193,-75,0.0,-75.0,2303,2626,,,,-323,,,,13,,,,,,,,-48,-1502,-36,-28,,,,,-120,20,-140,-107.0,-1211,,889,57,63.0,
09/30/2007,294,198,40,-198,,,,-198,254,,,,,907,-65,0.0,-65.0,829,1096,,,,-267,,,,52,,,,,,,,91,-532,-35,0,,,,,-151,21,-172,333.0,-679,,669,16,8.0,
12/31/2007,342,255,51,-49,,,,-49,85,,,,,350,-115,0.0,-115.0,726,1507,,,,-781,,,,-191,,,,,,,,-70,-946,-35,-26,,,,,-324,0,-324,-205.0,-356,,-254,-37,65.0,
03/31/2008,169,191,45,29,,-36.0,37.0,28,-96,,,,,491,-44,0.0,-44.0,403,1089,,,,-686,,,,-17,,,,,,,,149,-592,-34,0,,,,,-274,3,-277,71.0,-355,,68,30,,
06/30/2008,33,210,97,-460,,,,-460,186,,,,,-129,-36,0.0,-36.0,-178,1122,,,,-1300,,,,251,,,,,,,,-166,-429,-34,0,,,,,-254,9,-263,-86.0,-55,,-525,97,61.0,
09/30/2008,-11,-70,119,1307,,,,1307,-1367,,,,,246,-20,0.0,-20.0,257,1009,,,,-752,,,,54,,,,,,,,-45,435,-37,67,,,,,-92,4,-96,-72.0,569,,670,38,,
12/31/2008,1734,-369,6,1711,,,,1711,386,,,,,-593,-25,0.0,-25.0,-49,1169,,,,-1218,,,,-206,,,,,,,,-313,1044,-38,-41,,,,,20,22,-2,86.0,1017,,2185,20,62.0,
03/31/2009,-572,130,56,216,-51.0,82.0,40.0,145,-974,-336.0,,-638.0,0.0,-2069,-15,0.0,-15.0,-2068,2503,,,,-4571,,,,10,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2211,-37,-104,0.0,0.0,9.0,-113.0,-8,1,-9,271.0,2089,-2.0,-432,-1,3.0,
06/30/2009,-974,95,25,-293,-46.0,8.0,46.0,-301,-801,9.0,,-810.0,0.0,-3212,-20,0.0,-20.0,-3243,2384,,,,-5627,,,,52,52.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,2835,-37,549,,,,,869,869,0,826.0,628,24.0,-1327,4,55.0,
09/30/2009,624,260,20,-172,-35.0,13.0,52.0,-202,516,605.0,,-89.0,0.0,-900,-21,0.0,-21.0,-868,3445,,,,-4313,,,,-8,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,-607,-44,-442,0.0,0.0,21.0,-463.0,12,12,0,60.0,-193,-6.0,-889,10,26.0,
