Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
01/19/1992,42.577999,17.582001,17.582001,0.0,1.641,,,5.469,,,,,0.0,,,,24.691999,13.317,,,0.0,,,4.569,,,,4.569,17.886,,2.604,2.604,,,,0.1,,,,,3.763,,,3.763,6.467,0.0,,,,0.791,,,,,0.791,0.791,7.258,0.0,31.479,-0.174,,4.015,35.32,0.0,35.32,42.578,
04/12/1992,44.02,17.275,17.275,0.0,,,,6.054,,,,,1.524,,,,24.853001,13.369,,,0.0,,,5.798,,,,5.798,19.167,,2.865,2.865,,,,0.1,,,,,4.373,,,4.373,7.338,0.0,,,,0.82,,,,,0.82,0.82,8.158,0.0,31.256001,0.0,,4.606,35.862,0.0,35.862,44.02,
07/05/1992,45.036999,16.669001,16.669001,0.0,,,,5.73,,,,,1.943,,,,24.341999,14.953,,,0.0,,,5.742,,,,5.742,20.695,,3.016,3.016,,,,0.1,,,,,4.423,,,4.423,7.539,0.0,,,,0.815,,,,,0.815,0.815,8.354,0.0,31.275999,0.0,,5.407,36.682999,0.0,36.682999,45.036999,
09/27/1992,58.179001,18.305,18.305,0.0,0.939,,,9.368,,,,,0.936,,,,29.548,22.174,37.787998,-15.615,0.0,,,6.457,,,,6.457,28.631,,5.988,5.988,,,,1.238,,,,,6.319,,,6.319,13.545,1.91,,,,2.503,,,,,2.503,4.413,17.958,0.0,30.252001,0.0,,9.968,40.220001,0.0,40.220001,58.178001,
01/17/1993,72.873001,0.868,0.868,0.0,,,,9.051,,,,,2.985,,,,12.904,29.087,,,0.0,,,30.882,,,,30.882,59.969,,5.716,5.716,,,,3.764,,,,,5.911,,,5.911,15.391,10.731,,,,2.238,,,,,2.238,12.969,28.36,0.0,36.903,0.0,,7.61,44.513,0.0,44.513,72.873,
04/11/1993,91.393997,11.07,11.07,0.0,,,,9.81,,,,,3.615,,,,24.495001,32.522999,,,0.0,,,34.375999,,,,34.375999,66.898998,,7.816,7.816,,,,0.962,,,,,8.226999,,,8.226999,17.004999,2.446,,,,1.544,,,,,1.544,3.99,20.994999,0.0,61.389,0.0,,9.01,70.399,0.0,70.399,91.393999,
07/04/1993,91.623001,7.373,7.373,0.0,0.0,,,10.955,,,,,4.286,,,,22.614,34.363998,,,0.0,,,34.645,,,,34.645,69.008999,,6.802,6.802,,,,0.85,,,,,8.951001,,,8.951001,16.603001,2.127,,,,2.417,,,,,2.417,4.544,21.147001,0.0,60.127998,0.0,,10.348,70.475998,0.0,70.475998,91.622999,
09/26/1993,106.190086,6.812752,6.812752,0.0,1.779858,,,13.662125,,,,,1.443346,,,,23.69808,44.933201,65.489388,-20.556187,0.0,,,37.558807,,,,37.558807,82.492008,,8.86845,8.86845,,,,2.399359,,,,,11.46986,,,11.46986,22.737669,3.207592,,,,4.779684,,,,,4.779684,7.987276,30.724945,0.0,65.159653,0.0,,10.30549,75.465142,0.0,75.465142,106.190087,
01/16/1994,121.510002,10.68,10.68,0.0,5.384,,,15.566,,,,,0.0,,,,31.629999,51.737999,,,0.0,,,38.141998,,,,38.141998,89.879997,,8.79,8.79,,,,2.583,,,,,12.902999,,,12.902999,24.275999,3.581,,,,2.124,,,,,2.124,5.705,29.980999,0.0,78.778999,0.0,,12.75,91.528999,0.0,91.528999,121.509999,
04/10/1994,124.136002,8.354,8.354,0.0,5.966,,,16.212999,,,,,0.0,,,,30.533001,54.339001,,,0.0,,,39.264,,,,39.264,93.603001,,9.607,9.607,,,,1.549,,,,,14.219999,,,14.219999,25.375999,3.187,,,,2.102,,,,,2.102,5.289,30.664999,0.0,78.704002,0.0,,14.767,93.471003,0.0,93.471003,124.136002,
