Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,511.799988,403.799988,,-67.800003,,,-67.800003,175.800003,175.800003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,400.0,470.200012,,24.9,,,24.9,-95.099998,-95.099998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,519.299988,465.0,,38.900002,,,38.900002,15.4,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,624.5,442.200012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624.5,,,
03/31/1991,662.200012,483.5,,55.400002,,,55.400002,123.300003,123.300003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,312.200012,556.0,,82.900002,,,82.900002,-326.700012,-326.700012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,729.099976,552.400024,,65.0,,,65.0,111.699997,111.699997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,730.5,529.799988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730.5,,,
03/31/1992,539.200012,96.599998,,498.600006,,,498.600006,-56.0,-56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,406.299988,643.700012,,65.199997,,,65.199997,-302.600006,-302.600006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,744.099976,634.799988,,44.599998,,,44.599998,64.699997,64.699997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,814.799988,609.099976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814.799988,,,
03/31/1993,687.099976,613.799988,,76.699997,,,76.699997,-3.4,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,443.899994,172.5,,480.299988,,,480.299988,-208.899994,-208.899994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,1001.799988,705.700012,,101.300003,,,101.300003,194.800003,194.800003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,915.700012,674.099976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915.700012,,,
03/31/1994,682.200012,675.200012,,177.399994,,,177.399994,-170.399994,-170.399994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,1132.699951,764.099976,,234.300003,,,234.300003,134.300003,134.300003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,1321.5,784.799988,,198.699997,,,198.699997,338.0,338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,1003.5,772.900024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003.5,,,
03/31/1995,376.100006,757.400024,,-274.200012,,,-274.200012,-107.099998,-107.099998,,,-162.600006,,,,-162.600006,,,,,,,,,,162.600006,,,,,,,,,,,,,,,
06/30/1995,438.399994,858.099976,,54.700001,,,54.700001,-474.399994,-474.399994,,,-217.0,,,,-217.0,,,,,,,,,,217.0,,,,,,,,,,,,,,,
09/30/1995,977.400024,861.900024,,238.600006,,,238.600006,-123.099998,-123.099998,,,-284.799988,,,,-284.799988,,,,,,,,,,284.799988,,,,,,,,,,,,,,,
12/31/1995,1152.300049,857.799988,,-944.5,,,-944.5,571.799988,571.799988,,-341.100006,-341.100006,,,,-341.100006,,,,,,,,,,0.0,,,,,,,,,,,,811.200043,,,
03/31/1996,1183.599976,863.799988,,318.5,,,318.5,1.3,1.3,,,-265.600006,,,,-265.600006,,,,,,,,,,265.600006,,,,,,,,,,,,,,,
06/30/1996,1101.699951,972.099976,,97.199997,,,97.199997,32.400002,32.400002,,,-311.299988,,,,-311.299988,,,,,,,,,,311.299988,,,,,,,,,,,,,,,
09/30/1996,1247.199951,1001.900024,,415.399994,,,415.399994,-170.100006,-170.100006,,,-262.600006,,,,-262.600006,,,,,,,,,,262.600006,,,,,,,,,,,,,,,
12/31/1996,1895.199951,1043.5,,62.5,,,62.5,58.299999,58.299999,,-357.200012,-357.200012,,,,-357.200012,,,,,,,,,,0.0,,,,,,,,,,,,1537.999939,,,
03/31/1997,1493.0,1020.299988,,575.5,,,575.5,-102.800003,-102.800003,,-342.299988,-261.600006,0.0,,,-261.600006,,,,,,,,,,-80.699982,-766.500012,-482.700012,-33.299997,,,,-245.300003,0.0,-245.300003,-5.2,,384.200012,,,
06/30/1997,1214.099976,1154.400024,,269.200012,,,269.200012,-209.5,-209.5,,-1012.599976,-312.100006,0.0,,,-312.100006,,,,,,,,,,-700.499969,-351.100021,-508.200012,511.799988,,,,-502.899994,0.0,-502.899994,148.199997,,-149.600006,,,
09/30/1997,1653.5,1197.199951,,543.0,,,543.0,-86.699997,-86.699997,,262.200012,-415.799988,0.0,,,-415.799988,,,,,,,,,,678.0,-2220.90002,-506.899994,55.599998,,,,-1778.400024,0.0,-1778.400024,8.8,,-305.200012,,,
12/31/1997,1956.0,1242.300049,,318.100006,,,318.100006,395.600006,395.600006,,-510.0,-459.299988,0.0,,,-459.299988,,,,,,,,,,-50.700012,-1602.699942,-542.099976,-39.700003,,,,-632.899963,413.299988,-1046.199951,-388.0,,-156.699997,,,
03/31/1998,1524.800049,1164.400024,,430.799988,,,430.799988,-70.400002,-70.400002,,-569.0,-315.399994,0.0,,,-315.399994,,,,,,,,,,-253.600006,-484.298988,-537.5,248.801003,,,,-328.899994,0.0,-328.899994,133.300003,,471.501007,292.700012,18.5,
06/30/1998,1053.099976,1316.099976,,-36.0,,,-36.0,-227.0,-227.0,,-663.299988,-457.299988,0.0,,,-457.299988,,,,,,,,,,-206.0,-561.499975,-538.299988,381.9,,,,-444.299988,0.0,-444.299988,39.200001,,-171.699997,479.399994,31.799999,
09/30/1998,1486.5,1367.0,,266.799988,,,266.799988,-147.300003,-147.300003,,1237.800049,-524.799988,0.0,,,-524.799988,,,,,,,,,,1762.600037,-1719.899966,-537.299988,695.899976,,,,-1997.699951,0.0,-1997.699951,119.199997,,1004.400024,866.900024,46.700001,
12/31/1998,248.800003,1400.699951,,-858.099976,,,-858.099976,-293.799988,-293.799988,,-16.9,-675.900024,0.0,,,-675.900024,,,,,,,,,,659.000025,-1070.062983,-639.963013,255.100012,,,,-364.499969,490.100006,-854.599976,-320.700012,,-838.163025,461.0,95.300003,
03/31/1999,1967.6,1299.6,284.9,280.7,,,280.7,102.4,102.4,,-1841.0,-476.0,0.0,,,-476.0,,,,,,,,,,-1365.0,-940.2,-637.4,3.5,,,,-361.6,0.0,-361.6,55.3,,-813.6,223.0,46.8,
06/30/1999,1271.9,1478.1,292.3,-276.7,,,-276.7,-221.8,-221.8,,1062.3,-613.2,0.0,,,-613.2,,,,,,,,,,1675.5,-1858.9,-638.0,-12.1,,,,-1163.5,0.0,-1163.5,-45.3,,475.3,824.2,58.2,
09/30/1999,1550.8,1539.6,285.3,-93.0,,,-93.0,-181.1,-181.1,,-1098.1,-650.4,0.0,,,-650.4,,,,,,,,,,-447.7,-617.2,-636.0,982.7,,,,-1080.6,0.0,-1080.6,116.7,,-164.5,621.8,100.4,
12/31/1999,1340.4,1573.2,282.3,-244.2,,,-244.2,-270.9,-270.9,,-940.2,-820.9,0.0,,,-820.9,,,,,,,,,,-119.3,-481.7,-678.3,1157.9,,,,-653.5,322.9,-976.4,-307.8,,-81.5,331.0,71.4,
03/31/2000,2083.9,1499.6,319.9,292.6,,,292.6,-28.2,-28.2,,-391.9,-504.3,0.0,,,-504.3,,,0.0,0.0,0.0,,,,,112.4,-1491.2,-677.0,-238.1,,,,-2142.9,0.0,-2142.9,1566.8,,200.8,314.1,120.3,
