Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,88.163994,,,,,,,,,,,,,,,,,,,,,,,,,-1.244,,,-1.244,-1.244,,0.0,-0.015,-0.015,,0.0,-0.015,-0.015,-0.015,
03/31/1990,78.797997,,-51.436001,,27.361996,,-21.825001,,,,5.537,-4.61,,4.998,,0.0,-0.388,0.927,-0.9,0.027,0.0,,,0.027,0.0,0.027,-0.438,,-0.411,-0.411,,115.071999,-0.0025,-0.0025,,115.071999,-0.0025,-0.0025,-0.0025,
06/30/1990,86.112,,-55.595001,,30.516998,,-23.504999,,,,7.012,-4.577,,4.894,,0.0,-0.317,2.435,-0.9,1.535,0.0,,,1.535,0.0,1.535,-0.44,,1.095,1.095,,121.080002,0.01,0.01,,121.080002,0.01,0.01,0.01,
09/30/1990,97.866997,,-60.918999,,36.947998,,-26.086,,,,10.862,-5.054,,5.314,,0.0,-0.26,5.808,-4.955,0.853,-3.16,,,4.013,0.0,4.013,-0.438,,3.575,3.575,,124.335999,0.03,0.005,,124.335999,0.03,0.005,0.005,
12/31/1990,124.817001,,-73.497002,,51.319999,,-32.825001,,,,18.495001,-5.44,,5.783,,0.0,-0.343,13.055001,-7.199,5.856,-4.37,,,10.226001,0.0,10.226,-0.434,,9.792,9.792,,116.042992,0.0775,0.04,0.04,116.042992,0.0775,0.04,0.04,
03/31/1991,100.530998,,-63.778999,,36.751999,,-27.208,,,,9.544,-4.933,,5.386,,0.0,-0.453,4.611,-2.569,2.042,-1.439,,,3.481,0.0,3.481,-0.437,,3.044,3.044,,120.952003,0.025,0.0125,,120.952003,0.025,0.0125,0.0125,
06/30/1991,108.259003,,-66.875999,,41.383003,,-29.547001,,,,11.836,-5.076,,5.441,,0.0,-0.365,6.76,-3.286,3.474,-1.7,,,5.174001,0.0,5.174,-0.438,,4.736,4.736,,120.863998,0.04,0.025,,120.863998,0.04,0.025,0.025,
09/30/1991,101.098,,-64.408997,,36.689003,,-27.021999,,,,9.667,-5.385,,5.7,,0.0,-0.315,4.282,-3.112,1.17,-2.228,,,3.398,0.0,3.398,-0.436,,2.962,2.962,,120.300003,0.025,0.0075,,120.300003,0.025,0.0075,0.0075,
12/31/1991,93.162003,,-59.778,,33.384003,,-27.681999,,,,5.702,-25.776999,,4.894,,0.0,20.882999,-20.074999,3.753,-16.322001,5.367,,,-21.688999,0.0,-21.688999,-0.436,,-22.124999,-22.124999,,131.316056,-0.1675,-0.1275,-0.1275,131.316056,-0.1675,-0.1275,-0.1275,
03/31/1992,53.895,,-34.507999,,19.387001,,-14.817,,,,4.57,-2.369,,2.459,,1.197,-1.287,2.201,-0.162,2.039,-0.488,,,2.527,0.0,2.527,-0.434,,2.093,2.093,,145.300003,0.015,0.0125,,145.300003,0.015,0.0125,0.0125,
