Date,Assets,Total Investments,Fixed Income-Trading/AFS & ST Inv,Loans & Mortgages,Fixed Income Securities-HTM,Equity Securities,Real Estate Investments,Other Investments,Cash & Near Cash Items,Accounts & Notes Receivable,Deferred Policy Acquisition Costs,Other Assets,Total Assets,Liabilities & Shareholders' Equity,Reserve for Outstanding Claim & Loss,Premium Reserve (Unearned),Life Policy Benefits,Other Insurance Reserves,Total Insurance Reserves,Short-Term Borrowings,Other Short-Term Liabilities,Long-Term Borrowings,Other Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Policyholders' Equity,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2001,,32619.0,29277.0,274.0,0.0,1083.0,38.0,1947.0,237.0,17262.0,768.0,6892.0,57778.0,,30737.0,5667.0,0.0,0.0,36404.0,1697.0,2198.0,380.0,5513.0,46192.0,0.0,900.0,0.0,4440.0,6246.0,11586.0,57778.0,
03/31/2002,,32476.0,29184.0,272.0,0.0,1024.0,38.0,1958.0,195.0,17463.0,784.0,7028.0,57946.0,,30769.0,5925.0,0.0,0.0,36694.0,1650.0,2218.0,1247.0,5605.0,47414.0,0.0,900.0,0.0,8548.0,1084.0,10532.0,57946.0,
06/30/2002,,33369.0,30080.0,262.0,0.0,993.0,39.0,1995.0,228.0,17376.0,849.0,7564.0,59386.0,,30735.0,6143.0,0.0,0.0,36878.0,1500.0,2171.0,1247.0,6426.0,48222.0,0.0,900.0,0.0,8548.0,1716.0,11164.0,59386.0,
09/30/2002,,35433.601562,32206.199219,260.299988,0.0,960.700012,39.0,1967.400024,232.800003,17158.400391,874.5,5999.100098,59698.398438,,30550.599609,6406.5,0.0,0.0,36957.101562,1500.0,4169.799805,1294.099976,3717.100098,47638.10144,0.0,900.0,0.0,8601.799805,2558.5,12060.299805,59698.401245,
12/31/2002,,38425.199219,34897.5,257.899994,0.0,851.5,12.5,2405.800049,92.199997,17861.0,873.0,6886.100098,64137.5,,33736.0,6459.899902,0.0,0.0,40195.898438,700.0,6879.899902,1843.699951,3480.699951,53100.198242,0.0,900.0,0.0,8628.400391,1508.900024,11037.300415,64137.498657,
03/31/2003,,39361.0,35942.398438,260.0,0.0,810.900024,12.5,2335.199951,150.100006,18683.0,890.700012,6299.200195,65384.0,,33801.0,6675.5,0.0,0.0,40476.5,474.100006,6744.399902,2676.399902,3551.899902,53923.299713,0.0,900.0,0.0,8668.0,1892.699951,11460.699951,65383.999664,
06/30/2003,,40228.5,36922.800781,251.899994,0.0,811.299988,1.7,2240.800049,209.100006,18818.699219,923.0,5851.399902,66030.703125,,33650.898438,6818.799805,0.0,0.0,40469.699219,450.399994,7059.700195,2676.100098,4059.0,54714.899506,0.0,0.0,0.0,8677.599609,2638.199951,11315.799561,66030.699066,
09/30/2003,,37793.101562,34363.601562,222.100006,0.0,762.700012,1.5,2443.199951,209.0,18533.300781,957.299988,6042.200195,63534.898438,,33854.0,7049.799805,0.0,0.0,40903.800781,0.0,4196.399902,2673.699951,4288.700195,52062.60083,0.0,0.0,0.0,8700.700195,2771.600098,11472.300293,63534.901123,
12/31/2003,,38652.898438,35241.0,210.800003,0.0,732.599976,1.5,2467.0,352.100006,18928.300781,964.900024,5973.799805,64872.0,,34572.601562,7110.799805,0.0,0.0,41683.398438,0.0,4362.899902,2674.5,4164.5,52885.29834,0.0,0.0,0.0,8715.299805,3271.399902,11986.699707,64871.998047,
