Date,Revenue,Sales & Services Revenue,Financing Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Cost of Financing Revenue,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
07/31/1989,120.500999,,,,,,,,,,-121.728996,,,,,,-1.228,-5.613,,,,0.0,,5.613,-6.841,2.6,-4.241,0.0,,,-4.241,0.0,-4.241,0.0,,-4.241,-4.241,,420.144012,-0.01,-0.01,,420.144012,-0.01,-0.01,-0.01,
10/31/1989,135.740997,,,,,,,,,,-133.395996,,,,,,2.345,-2.613,,,,0.0,,2.613,-0.268,0.102,-0.166,0.0,,,-0.166,0.0,-0.166,0.0,,-0.166,-0.166,,426.679993,0.0,0.0,0.0,426.679993,0.0,0.0,0.0,
01/31/1990,148.735001,,,,,,,,,,-151.996002,,,,,,-3.261,-2.988,,,,0.0,,2.988,-6.249,2.374,-3.875,0.0,,,-3.875,0.0,-3.875,0.0,,-3.875,-3.875,,423.496002,-0.01,-0.01,,423.496002,-0.01,-0.01,-0.01,
04/30/1990,532.81897,,,,,,,,,,-350.971985,,,,,,181.847,32.044998,,,,0.0,,-32.044998,213.891998,-82.081001,131.811005,0.0,,,131.810997,0.0,131.811005,0.0,,131.811005,131.811005,,422.339996,0.30875,0.30875,,422.339996,0.30875,0.30875,0.30875,
07/31/1990,128.214996,,,,,,,,,,-131.319,,,,,,-3.104,-5.644,,,,0.0,,5.644,-8.748,3.359,-5.389,0.0,,,-5.389,0.0,-5.389,0.0,,-5.389,-5.389,,422.976016,-0.0125,-0.0125,,422.976016,-0.0125,-0.0125,-0.0125,
10/31/1990,151.889008,,,,,,,,,,-152.591003,,,,,,-0.702,-3.117,,,,0.0,,3.117,-3.819,1.467,-2.352,0.0,,,-2.352,0.0,-2.352,0.0,,-2.352,-2.352,,423.328,-0.00625,-0.00625,-0.00625,423.328,-0.00625,-0.00625,-0.00625,
01/31/1991,169.207001,,,,,,,,,,-171.097,,,,,,-1.89,-10.895,,,,0.0,,10.895,-12.785,6.305,-6.48,0.0,,,-6.48,0.0,-6.48,0.0,,-6.48,-6.48,,425.079984,-0.015,-0.015,-0.015,425.079984,-0.015,-0.015,-0.015,
04/30/1991,611.932007,,,,,,,,,,-403.444,,,,,,208.488007,42.449001,,,,0.0,,-42.449001,250.937008,-96.608002,154.328995,0.0,,,154.329006,0.0,154.328995,0.0,,154.328995,154.328995,,425.728,0.36125,0.36125,0.36125,425.728,0.36125,0.36125,0.36125,
07/31/1991,164.386002,,,,,,,,,,-166.906006,,,,,,-2.52,-6.303,,,,0.0,,6.303,-8.823,3.397,-5.426,0.0,,,-5.426,0.0,-5.426,0.0,,-5.426,-5.426,,426.544008,-0.0125,-0.0125,-0.0125,426.544008,-0.0125,-0.0125,-0.0125,
10/31/1991,93.962997,,,,,,,,,,-114.247002,,,,,,-20.284,8.26,,,,0.0,,-8.26,-12.024,5.197,-6.827,-2.82,,,-4.007,0.0,-3.333,0.0,,-3.333,-3.333,,426.600008,-0.01,-0.015,-0.0015,426.600008,-0.01,-0.015,-0.015,
01/31/1992,232.229004,,,,,,,,,,-224.707993,,,,,,7.521,0.758,,,,0.0,,-0.758,8.279,-3.17,5.109,0.0,,,5.109,0.0,5.109,0.0,,5.109,5.109,,437.399992,0.0125,0.0125,0.0125,437.399992,0.0125,0.0125,0.0125,
04/30/1992,735.817993,,,,,,,,,,-479.968994,,,,,,255.848999,20.979,,,,0.0,,-20.979,276.827999,-107.431,169.397003,2.82,,,166.576999,0.0,166.576996,0.0,,166.576996,166.576996,,450.651976,0.38,0.4,0.4,450.651976,0.38,0.4,0.4,
07/31/1992,171.884003,,,,,,,,,,-171.132996,,,,,,0.751,-12.37,,,,0.0,,12.37,-11.619,4.508,-7.111,0.0,,,-7.111,0.0,-7.111,0.0,,-7.111,-7.111,,424.911988,-0.0175,-0.0175,-0.0175,424.911988,-0.0175,-0.0175,-0.0175,
10/31/1992,203.044006,,,,,,,,,,-224.330002,,,,,,-21.285999,14.739,,,,0.0,,-14.739,-6.546999,2.54,-4.007,0.0,,,-4.006999,0.0,-4.007,0.0,,-4.007,-4.007,,426.600008,-0.01,-0.01,-0.01,426.600008,-0.01,-0.01,-0.01,
01/31/1993,169.856995,,,,,,,,,,-150.464005,,,,,,19.393,-11.348,,,,0.0,,11.348,8.045,-2.35,5.695,-2.888,,,8.583,0.0,8.583,0.0,,8.583,8.583,,429.787996,0.02,0.0125,0.0125,429.787996,0.02,0.0125,0.0125,
