Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
08/31/1989,12.615,1.228,5.229,0.028,,,0.028,6.13,,,,6.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/1989,19.627001,5.255,6.308,-0.77,,,-0.77,8.834,,,,8.834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/1990,18.987,6.695,5.489,-2.608,,,-2.608,9.411,,,,9.411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/31/1990,16.302,7.321,5.495,-2.437,,,-2.437,5.923,,,,5.923,,,,,,,,,,,,,,,,,,,,,,,,,,,16.302,,,
08/31/1990,19.816,4.957,5.803,-0.444,,,-0.444,9.5,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/1990,14.721,4.899,6.129,-0.045,,,-0.045,3.738,,,,3.738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/1991,7.088,-40.828999,5.756,13.613,,,13.613,28.548,,,,28.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/31/1991,12.137,3.293,5.0,-0.316,,,-0.316,4.16,,,,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,12.137,,,
08/31/1991,7.629,2.687,5.11,-0.468,,,-0.468,0.3,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/1991,7.357,3.95,5.049,-1.339,,,-1.339,-0.303,,,,-0.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/29/1992,8.383,-4.529,5.277,9.928,,,9.928,-2.293,,,,-2.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/31/1992,4.854,5.85,6.224,4.458,,,4.458,-11.678,,,,-11.678,,,,,,,,,,,,,,,,,,,,,,,,,,,4.854,,,
08/31/1992,10.715,5.85,6.297,2.709,,,2.709,-4.141,,,,-4.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/1992,15.1,9.28,5.994,-0.162,,,-0.162,-0.013,,,,-0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/1993,6.895,10.16,6.001,0.036,,,0.036,-9.302,,,,-9.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/31/1993,22.639,15.762,6.886,-2.204,,,-2.204,2.195,,,,2.195,,,,,,,,,,,,,,,,,,,,,,,,,,,22.639,,,
08/31/1993,31.936001,26.114,6.555,-18.756001,,,-18.756001,18.023001,,,,18.023001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/1993,17.709999,21.462999,7.049,-0.697,,,-0.697,-10.105,,,,-10.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/1994,22.289,-103.459999,8.05,132.294006,,,132.294006,-14.595,,,,-14.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/31/1994,55.985001,27.188999,8.956,-5.971,,,-5.971,25.811001,,,,25.811001,,,,,,,,,,,,,,,,,,,,,,,,,,,55.985001,,,
08/31/1994,39.394001,32.645,10.423,-1.841,,,-1.841,-1.833,,,,-1.833,,,-13.907,,,,-13.907,,,,,,,,,,13.907,,,,,,,,,,,,,
11/30/1994,56.181999,9.257,17.714001,40.601002,,,40.601002,-11.39,,,,-11.39,,,-23.438,,,,-23.438,,,,,,,,,,23.438,,,,,,,,,,,,,
02/28/1995,52.948002,48.504002,13.809,5.925,,,5.925,-15.29,,,,-15.29,,,-26.981001,,,,-26.981001,,,,,,,,,,26.981001,,,,,,,,,,,,,
05/31/1995,89.715,54.153,15.741,-2.056,,,-2.056,21.877,,,,21.877,,-74.863,-36.38,0.0,,,-36.38,,,0.0,0.0,0.0,,,,,-38.483,15.295,0.0,-3.424,,18.521,18.521,0.0,0.198,,30.147,,,
08/31/1995,37.556999,57.421001,19.445999,8.918,,,8.918,-48.228001,,,,-48.228001,,,-38.228001,,,,-38.228001,,,,,,,,,,38.228001,,,,,,,,,,,,,
11/30/1995,42.868,16.344999,23.885,59.550999,,,59.550999,-56.912998,,,,-56.912998,,,-53.522999,,,,-53.522999,,,,,,,,,,53.522999,,,,,,,,,,,,,
02/29/1996,104.362999,74.589996,22.733,-0.988,,,-0.988,8.028,,,,8.028,,,-32.409,,,,-32.409,,,,,,,,,,32.409,,,,,,,,,,,,,
05/31/1996,127.574,29.498,28.634,34.034,,,34.034,35.408,,,,35.408,,-123.311,-60.5,0.0,,,-60.5,,,0.0,0.0,0.0,,,,,-62.811,18.609,0.0,0.379,,18.369,18.369,0.0,-0.139,,22.872,,,
08/31/1996,202.742996,105.043999,41.091,117.663002,,,117.663002,-61.055,,,,-61.055,,-181.188995,-101.956001,0.0,,,-101.956001,,,0.0,0.0,0.0,,,,,-79.232994,12.982,0.0,0.03,,12.566,12.566,0.0,0.386,,34.535999,,,
11/30/1996,203.845001,174.598007,49.174999,5.536,,,5.536,-25.464001,,,,-25.464001,,-171.438004,-117.432999,0.0,,,-117.432999,,,0.0,0.0,0.0,,,,,-54.005005,66.439,0.0,31.197998,,35.671001,35.671001,0.0,-0.43,,98.846001,,,
02/28/1997,-103.276001,179.104004,34.574001,-91.543999,,,-91.543999,-225.410004,,,,-225.410004,,,-63.861,,,,-63.861,,,,,,,,,,63.861,,,,,,,,,,,,,
05/31/1997,362.527008,41.786999,35.463001,46.389999,,,46.389999,238.886993,,,,238.886993,,,-65.788002,,,,-65.788002,,,,,,,,,,65.788002,,,,,,,,,,,,,
08/31/1997,88.488998,-51.233002,47.098,89.571999,,,89.571999,3.052,,,,3.052,,-32.290001,-80.130859,0.0,,,-80.130859,,,0.0,0.0,0.0,,,,,47.840858,60.333,0.0,-71.482002,,127.482002,127.482002,0.0,4.333,,116.531998,,,
11/30/1997,166.158997,4.021,59.910999,-1.424,,,-1.424,103.651001,,,,103.651001,,-246.197006,-112.910004,0.0,,,-112.910004,,,0.0,0.0,0.0,,,,,-133.287003,102.128998,0.0,-0.222,,106.627998,106.627998,0.0,-4.277,,22.091,,,
03/01/1998,114.714996,13.858,91.102997,159.785995,,,159.785995,-150.031998,,,,-150.031998,,-46.236,-131.384995,0.0,,,-131.384995,,,0.0,0.0,0.0,,,,,85.148994,-172.311005,0.0,-185.942005,,7.291,7.291,0.0,6.34,,-103.832001,,,
