Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Capital Expenditures,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
04/30/1989,,19.179879,19.656398,-1.906075,-98.043732,-61.113526,,,,,,
07/31/1989,,23.99371,24.948683,-13.011514,-9.430364,26.500516,,,,,,
10/31/1989,,26.146205,23.084036,-12.601999,22.377382,59.005621,,,,,,
01/31/1990,,39.342714,37.591554,-22.531582,-14.359507,40.043176,,,,,,
04/30/1990,,22.65533,38.46686,-18.761444,-24.189284,18.171462,,,,,,
07/31/1990,,39.259219,32.131803,25.705442,-108.19654,-11.100077,,,,,,
10/31/1990,,25.965377,31.966265,-17.88726,31.966265,72.010647,,,,,,
01/31/1991,,30.855611,28.767636,30.623614,153.814068,244.060917,,,,244.060917,,
04/30/1991,,-43.086591,33.036905,13.861638,-141.38871,-137.576756,,,,,,
07/31/1991,,-8.722951,32.481516,-15.035614,93.197846,101.920805,,,,,,
10/31/1991,,-20.23241,33.758575,-7.729236,-16.481459,-10.684531,,,,,,
01/31/1992,,-132.049502,38.481031,124.49072,144.991034,175.913302,,,,175.913302,,
04/30/1992,,-2.850775,38.841803,-5.939114,-91.105998,-61.054089,,,,,,
07/31/1992,,16.858015,39.694048,-0.836923,0.956483,56.671624,,,,,,
10/31/1992,,12.805261,34.513227,-20.366464,1.341504,28.29353,,,,,,
01/31/1993,,6.10951,37.16619,14.637369,6.236792,64.149862,,,,64.149862,,
04/30/1993,,-169.718624,28.265499,178.76358,-49.496031,-12.18557,,,,,,
07/31/1993,,18.388837,15.068631,24.26305,-12.897727,44.82279,,,,,,
10/31/1993,,29.270521,6.988007,21.09587,-24.26025,33.094147,,,,,,
01/31/1994,,35.700494,59.765273,-57.517463,87.135654,125.083952,,,,125.083952,,
04/30/1994,,40.088175,25.498262,21.407631,-10.908347,76.085719,,,,,,
07/31/1994,,63.579006,25.708033,-50.586772,-66.066879,-27.366615,,,,,,
10/31/1994,,44.500192,25.85638,-97.437726,-2.85781,-29.938967,,,,,,
01/31/1995,,50.830465,30.137192,-16.665727,54.996897,119.298834,,,,119.298834,,
04/30/1995,,47.708132,32.223914,-3.487437,-12.554771,63.889836,,,,,,
07/31/1995,,44.684749,25.417013,-68.052001,12.298555,14.348314,,,,,,
10/31/1995,,28.082457,30.377659,21.601891,0.0,80.062007,,,,,,
01/31/1996,,51.498261,36.239518,55.857903,-91.552461,52.043218,,,,,,
04/30/1996,,30.064289,33.753998,-68.191276,0.0,-4.372988,,-44.413154,,,,
