Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2013,129.949,58.359,42.825,160.781,,160.781,-132.016,54.754,,,-186.77,0.0,-2.757,-12.964,0.0,0.0,0,-12.964,-12.964,0,0,0,0,0.0,0.0,0.0,0,10.207,-3.384,0.0,-3.384,0.0,0.0,-3.384,0.0,0.0,0.0,0.0,0,123.808,,,
06/30/2013,95.386,66.311,38.199,9.055,1.866,7.189,-18.179,-10.779,,,-7.4,0.0,-15.517,-15.905,0.0,0.0,0,-15.905,-15.905,0,0,0,0,0.0,0.0,0.0,0,0.388,-3.342,0.0,-3.342,0.0,0.0,-3.342,0.0,0.0,0.0,0.0,0,76.527,,,
09/29/2013,81.971,49.771,37.716,15.823,2.622,13.201,-21.339,-5.062,,-91.324,75.047,,-14.407,-16.261,0.0,0.0,0,-16.261,-16.261,0,0,0,0,0.0,0.0,0.0,0,1.854,-1.36,0.0,-0.52,0.0,0.0,-0.52,0.0,0.0,0.0,-0.84,0,66.204,,,
12/29/2013,52.265,67.114,48.457,-45.228,2.831,-48.059,-18.078,-59.362,,6.236,35.048,,-2726.553,-25.739,0.0,0.0,0,-25.739,-25.739,0,0,0,0,0.0,0.0,0.0,0,-2700.814,2617.872,0.0,2695.512,0.0,2695.512,0.0,0.0,0.0,0.0,-77.64,0,-56.416,24.638,14.63,
03/30/2014,235.698,41.068,82.528,79.572,8.272,71.3,32.53,66.777,,-5.671,-28.576,,22.633,-17.601,0.0,0.0,0,-17.601,-17.601,0,0,0,0,-158.814,0.0,-158.814,0,199.048,-175.376,0.0,-173.151,-172.237,0.0,-0.914,0.0,0.0,0.0,-2.225,0,82.955,4.855,28.462,
06/29/2014,35.2,82.922,74.264,-93.335,6.858,-100.193,-28.651,-11.486,,8.814,-25.979,,104.964,-21.996,0.0,0.0,0,-21.996,-21.996,0,0,0,0,-32.782,0.0,-32.782,0,159.742,-12.592,0.0,-10.934,0.0,0.0,-10.934,1.006,1.006,0.0,-2.664,0,127.572,102.684,38.624,
09/28/2014,26.463,37.997,56.207,-43.216,6.068,-49.284,-24.525,18.401,,-8.36,-34.566,,-87.645,-20.289,0.0,0.0,0,-20.289,-20.289,0,0,0,0,-69.988,0.0,-69.988,0,2.632,-33.395,0.0,60.565,0.0,346.5,-285.935,0.165,0.165,0.0,-94.125,0,-94.577,54.568,37.665,
12/28/2014,81.094,314.676,62.333,-436.289,5.852,-442.141,140.374,-34.543,,8.072,166.845,,679.046,-29.552,0.0,0.0,0,-29.552,-29.552,0,0,0,0,-18.249,0.0,-18.249,0,726.847,-61.604,0.0,-1.502,0.0,0.0,-1.502,-60.102,0.109,-60.211,-60.211,0,698.536,55.472,35.587,
03/29/2015,-94.306,36.417,61.364,50.305,8.247,42.058,-242.392,25.802,0.0,-5.343,-262.851,0.0,-11.202,-16.299,0.0,0.0,0,-16.299,-16.299,0,0,0,0,-0.109,0.0,-0.109,0,5.206,-177.845,0.0,-1.067,0.0,0.0,-1.067,-172.758,0.019,-172.777,-4.02,0,-283.353,261.914,35.593,
06/30/2015,17.928,-3.265,62.785,34.393,9.081,25.312,-75.985,-8.877,0.0,1.169,-68.277,0.0,-86.65,-22.418,0.0,0.0,0,-22.418,-22.418,0,0,0,0,-69.865,0.0,-69.865,0,5.633,-699.597,-672.744,0.725,0.0,1100.0,-1099.275,-8.352,0.147,-8.499,-19.226,0,-768.319,49.758,46.388,
