Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,30.147999,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.213,,,1.213,1.213,,2.3305,0.52,0.52,,2.3305,0.52,0.52,0.52,
03/31/1990,31.013,,-20.702999,,10.310001,,-8.205,,,,2.105,1.274,,0.3,,0.0,-1.574,3.379,-1.1,,,,2.279,0.0,,,2.279,-0.558,1.721,0.0,,1.721,1.721,,9.411,0.18,0.18,,9.411,0.18,0.18,0.18,
06/30/1990,37.824001,,-27.058001,,10.766001,,-8.659,,,,2.107,-0.45,,0.724,,0.0,-0.274,1.657,-0.529,,,,1.128,0.0,,,1.128,-0.365,0.763,0.0,,0.763,0.763,,9.578,0.08,0.08,,9.578,0.08,0.08,0.08,
09/30/1990,38.666,,-29.083,,9.583,,-6.819,,,,2.764,-0.562,,0.806,,0.0,-0.244,2.202,-0.736,,,,1.466,0.0,,,1.466,-0.062,1.404,0.0,,1.404,1.404,,10.812,0.13,0.13,,10.812,0.13,0.13,0.13,
12/31/1990,45.638988,,-36.081001,,9.557987,,-8.45,,,,1.107989,48.427002,,1.292,,0.0,-49.719002,49.534991,-18.058001,,,,31.47699,0.0,,,31.47699,-3.744,27.73299,0.0,,27.73299,27.73299,,10.19595,2.72,2.72,2.72,10.19595,2.72,2.72,2.72,
03/31/1991,43.223,,-32.937,,10.285999,,-7.877,,,,2.409,-0.206,,0.806,,0.0,-0.6,2.203,-0.789,,,,1.414,0.0,,,1.414,-0.028,1.386,0.0,,1.386,1.386,,10.825,0.13,0.13,,10.825,0.13,0.13,0.13,
06/30/1991,44.194,,-33.847,,10.347,,-8.474,,,,1.873,-0.067,,0.727,,0.0,-0.66,1.806,-0.734,,,,1.072,0.0,,,1.072,0.0,1.072,0.0,,1.072,1.072,,10.83,0.1,0.1,,10.83,0.1,0.1,0.1,
09/30/1991,47.688,,-34.699001,,12.988998,,-9.424,,,,3.565,-0.325,,0.774,,0.0,-0.449,3.24,-1.264,,,,1.976,-0.029,,,2.005,0.0,2.005,0.0,,2.005,2.005,,11.865,0.17,0.17,,11.865,0.17,0.17,0.17,
12/31/1991,42.688999,,-31.476999,,11.212,,-9.227,,,,1.985,-0.631,,0.944,,0.0,-0.313,1.354,0.013,,,,1.367,-0.03,,,1.397,0.028,1.425,0.0,,1.425,1.425,,11.875,0.12,0.12,0.12,11.875,0.12,0.12,0.12,
03/31/1992,43.828999,,-33.658001,,10.170998,,-9.029,,,,1.142,-0.475,,0.709,,0.0,-0.234,0.667,-0.113,,,,0.554,0.0,,,0.554,0.0,0.554,0.0,,0.554,0.554,,12.058,0.05,0.05,,12.058,0.05,0.05,0.05,
