Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1998,3066.699951,724.099976,724.099976,0.0,378.399994,,,131.899994,,,,,264.899994,,,,,,1499.299927,651.0,1458.099976,-807.099976,101.400002,,815.0,,,,,,815.0,1567.400002,,94.199997,94.199997,,,,706.299988,,,,,,663.299942,,,,663.299942,1463.799927,33.0,,,,,1278.199951,,,1278.199951,1311.199951,2774.999878,0.0,394.5,,,0.0,,-102.800003,291.699997,0.0,291.699997,3066.699875,
06/30/1998,2415.100098,72.599998,72.599998,0.0,364.0,,,132.399994,,,,,262.399994,,,,,,831.399963,651.400024,1475.5,-824.099976,201.399994,,730.900024,,,,,,730.900024,1583.700042,,107.199997,107.199997,,,,216.600006,,,,,,506.400009,,,,506.400009,830.200012,32.799999,,,,,1243.599976,,,1243.599976,1276.399975,2106.599987,0.0,396.100006,,,0.0,,-87.599998,308.500008,0.0,308.500008,2415.099995,
09/30/1998,2471.5,87.400002,87.400002,0.0,384.899994,,,138.5,,,138.5,,268.100006,,,,,,878.900024,656.799988,1513.0,-856.200012,0.0,,935.799988,39.0,,,,,896.799988,1592.599976,,100.0,100.0,,,,248.800003,,,,,,522.499985,,,,522.499985,871.299988,32.799999,,,,,1242.199951,,,1242.199951,1274.99995,2146.299938,0.0,397.700012,,,-36.0,,-36.5,325.200012,0.0,325.200012,2471.49995,
12/31/1998,2577.800049,65.300003,65.300003,0.0,162.800003,,,130.100006,43.200001,11.3,101.199997,,267.399994,,,,,,625.599976,661.400024,1540.5,-879.099976,128.600006,,1162.199951,73.099998,,,,,1089.099953,1952.199982,,123.699997,123.699997,,,,80.599998,,,,,,483.900017,,,,483.900017,688.200012,32.799999,,,,,1769.199951,,,1769.199951,1801.99995,2490.199963,0.0,410.0,,,-83.099998,,-239.299995,87.600006,0.0,87.600006,2577.799969,
03/31/1999,2490.1,49.9,49.9,0.0,199.6,,,135.5,45.3,11.6,104.3,-4.3,203.2,,,,,,588.2,630.1,1494.6,-864.5,146.0,,1125.8,64.5,36.5,28.0,,,1061.3,1901.9,,117.8,117.8,,,,130.8,,,,,,487.9,,,,487.9,736.5,8.1,,,,,1670.6,,,1670.6,1678.7,2415.2,0.0,383.0,,,-22.6,-197.1,-88.4,74.9,0.0,74.9,2490.1,
06/30/1999,2444.6,56.7,56.7,0.0,203.6,,,130.7,45.4,10.0,100.9,-5.0,155.0,,,,,,546.0,624.2,1503.5,-879.3,136.6,,1137.8,68.0,35.4,32.6,,,1069.8,1898.6,,111.7,111.7,,,,177.0,,,,,,406.3,,,,406.3,695.0,8.1,,,,,1652.5,,,1652.5,1660.6,2355.6,0.0,407.3,,,-50.3,-171.4,-96.6,89.0,0.0,89.0,2444.6,
09/30/1999,2411.399902,85.699997,85.699997,0.0,206.199997,,,130.100006,43.700001,11.3,100.199997,,170.399994,,,,,,592.400024,621.400024,1524.0,-902.599976,50.099998,,1147.5,46.700001,18.799999,27.900002,,,1100.799999,1819.000023,,113.5,113.5,,,,76.800003,,,,,,500.699997,,,,500.699997,691.0,8.1,,,,,1571.099976,,,1571.099976,1579.199976,2270.199976,0.0,420.100006,,,-54.0,-129.399994,-95.5,141.200012,0.0,141.200012,2411.399988,
12/31/1999,2475.1,199.9,199.9,0.0,193.6,,,128.2,34.9,16.7,103.8,0.0,258.1,,,,,,779.8,617.3,1525.6,-908.3,2.6,,1075.4,45.6,25.4,20.2,,,1029.8,1695.3,,124.1,124.1,,,,13.0,13.0,0.0,0.0,,,632.3,,,,632.3,769.4,123.2,123.2,0.0,0.0,,1471.4,,,1471.4,1594.6,2364.0,0.0,423.4,,,-89.1,-126.7,-96.5,111.1,0.0,111.1,2475.1,
03/31/2000,2503.800049,229.899994,229.899994,0.0,190.300003,,,135.399994,39.400002,11.7,111.5,-27.200001,243.5,,,,,,799.099976,611.299988,1528.300049,-917.0,4.4,,1089.0,34.200001,,,,,1054.799999,1704.699988,,111.400002,111.400002,,,,13.6,,,,,,562.599974,,,,562.599974,687.599976,256.600006,,,,,1420.0,,,1420.0,1676.600006,2364.199982,0.0,426.0,,,-114.5,,-171.899994,139.600006,0.0,139.600006,2503.799988,
06/30/2000,2464.0,167.0,167.0,0.0,198.399994,,,136.199997,32.700001,21.0,89.599998,19.299999,238.300003,,,,,,739.900024,619.400024,1547.199951,-927.799988,0.0,,1104.699951,33.400002,,,,,1071.299949,1724.099975,,118.300003,118.300003,,,,12.7,,,,,,603.799985,,,,603.799985,734.799988,210.399994,,,,,1365.300049,,,1365.300049,1575.700043,2310.500031,0.0,430.200012,,,-124.199997,,-152.500015,153.5,0.0,153.5,2464.000031,
09/30/2000,2404.9,145.7,145.7,0.0,170.9,,,137.2,34.3,21.8,105.6,,248.2,,,,,,702.0,598.3,1507.3,-909.0,2.4,,1102.2,72.3,33.0,39.3,,,1029.9,1702.9,,117.8,117.8,,,,49.4,,,,,,548.0,,,,548.0,715.2,258.4,,,,,1317.7,,,1317.7,1576.1,2291.3,0.0,432.7,,,-136.4,-33.8,-148.9,113.6,0.0,113.6,2404.9,
12/31/2000,2584.9,191.9,191.9,0.0,197.2,,,144.2,32.7,22.4,96.4,-7.3,240.6,,,,,,773.9,601.7,1537.1,-935.4,,,1209.3,34.1,34.1,0.0,,,1175.2,1811.0,,123.1,123.1,,,,421.9,,,,,,547.9,,,,547.9,1092.9,0.0,,,,,1563.3,,,1563.3,1563.3,2656.2,0.0,433.0,,,-136.4,-216.4,-151.5,-71.3,0.0,-71.3,2584.9,
03/31/2001,2509.100098,115.800003,115.800003,0.0,207.100006,,,162.699997,38.5,27.799999,125.699997,-29.299999,186.5,,,,,,672.099976,603.400024,1546.099976,-942.700012,,,1233.599976,66.0,66.0,0.0,,,1167.599976,1837.0,,93.800003,93.800003,,,,518.599976,,,,,,459.600021,,,,459.600021,1072.0,0.0,,,,,1511.400024,,,1511.400024,1511.400024,2583.400024,0.0,433.399994,,,-136.399994,,-371.300018,-74.300018,0.0,-74.300018,2509.100006,
06/30/2001,2636.899902,142.600006,142.600006,0.0,352.600006,,,158.800003,38.099998,27.1,122.900002,-29.299999,104.900002,,,,,,758.900024,583.599976,1537.599976,-954.0,2.2,,1292.199951,110.0,71.199997,38.800003,,,1182.199951,1877.999927,,83.5,83.5,,,,7.5,,,,,,107.800003,,,,107.800003,198.800003,75.0,,,,,2419.300049,,,2419.300049,2494.300049,2693.100052,0.0,433.600006,,,-136.399994,,-353.399994,-56.199982,0.0,-56.199982,2636.90007,
09/30/2001,2713.300049,175.800003,175.800003,0.0,321.299988,,,178.0,40.5,30.299999,136.5,-29.299999,147.0,,,,,,822.099976,584.599976,1569.599976,-985.0,2.2,,1304.400024,73.400002,73.400002,0.0,,,1231.000022,1891.2,,96.900002,96.900002,,,,14.0,,,,,,155.099998,,,,155.099998,266.0,50.099998,,,,,2421.399902,,,2421.399902,2471.4999,2737.4999,0.0,433.700012,,,-136.399994,,-321.5,-24.199982,0.0,-24.199982,2713.299918,
12/31/2001,2518.4,191.4,191.4,0.0,302.1,,,180.0,39.2,27.6,113.3,-0.1,62.4,,,,,,735.9,589.0,1584.3,-995.3,,,1193.5,55.8,55.8,0.0,,,1137.7,1782.5,,86.3,86.3,,,,6.3,,,,,,140.7,,,,140.7,233.3,0.0,,,,,2426.8,,,2426.8,2426.8,2660.1,0.0,433.8,,,-137.0,-137.8,-300.7,-141.7,0.0,-141.7,2518.4,
03/31/2002,2702.199951,146.300003,146.300003,0.0,286.100006,,,180.199997,42.099998,33.400002,130.800003,-26.1,114.099998,,,,,,726.700012,596.5,1599.199951,-1002.700012,2.8,,1376.199951,143.800003,57.400002,86.400001,,,1232.399948,1975.499951,,84.300003,84.300003,,,,6.8,,,,,,135.399997,,,,135.399997,226.5,0.0,,,,,2612.5,,,2612.5,2612.5,2839.0,0.0,433.899994,,,-137.0,,-433.700012,-136.800018,0.0,-136.800018,2702.199982,
06/30/2002,2797.399902,199.100006,199.100006,0.0,319.399994,,,187.0,44.799999,33.900002,134.399994,-26.1,92.599998,,,,,,798.099976,612.200012,1660.400024,-1048.199951,2.8,,1384.300049,143.100006,61.599998,81.500008,,,1241.200043,1999.300061,,90.0,90.0,,,,7.3,,,,,,154.800006,,,,154.800006,252.100006,0.0,,,,,2620.899902,,,2620.899902,2620.899902,2872.999908,0.0,433.799988,,,-137.0,,-372.399994,-75.600006,0.0,-75.600006,2797.399902,
09/30/2002,2831.100098,251.600006,251.600006,0.0,332.0,,,176.699997,41.599998,32.599998,128.699997,-26.200001,83.0,,,,,,843.299988,603.799988,1664.099976,-1060.300049,2.8,,1381.199951,140.5,61.099998,79.400002,,,1240.699951,1987.799939,,94.599998,94.599998,,,,6.9,,,,,,170.899996,,,,170.899996,272.399994,0.0,,,,,2629.899902,,,2629.899902,2629.899902,2902.299896,0.0,433.799988,,,-137.0,,-368.0,-71.200012,0.0,-71.200012,2831.099884,
