Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2001,85.414001,,,-70.473,,14.941002,,-9.586,,,,,5.355,0.82,,0.089,,,0.0,,-0.909,6.175,-2.612,3.563,0.0,,,3.563,0.0,3.563,0.0,-0.123,3.44,3.44,,,,,,,,,,
12/31/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.92,,,3.92,3.92,,,,,,,,,,
03/31/2002,95.752998,,,-79.026001,,16.726997,,-10.465,,,,,6.262,0.915,,0.0,0.0,,0.0,,-0.915,7.177,-2.877,4.3,0.0,,,4.3,0.0,4.3,0.0,0.0,4.3,4.3,,121.091995,0.035833,0.035833,0.035833,135.815998,0.031667,0.031667,0.031667,
06/30/2002,107.610001,,,-88.195,,19.415001,,-11.697,,,,,7.718,0.965,,0.011,0.0,,0.0,,-0.976,8.683,-3.449,5.234,0.0,,,5.234,0.0,5.234,0.0,0.0,5.234,5.234,,123.875999,0.0425,0.0425,0.0425,138.551994,0.0375,0.0375,0.0375,
09/30/2002,116.398003,,,-95.727997,,20.670006,,-12.642,,,,,8.028,6.752,,0.016,0.0,,0.0,,-6.768,14.78,-5.507,9.273,0.0,,,9.273,0.0,9.273,0.0,0.0,9.273,9.273,,128.339996,0.0725,0.0725,0.050833,141.996002,0.065,0.065,0.043333,
12/31/2002,141.725998,,,-116.518997,,25.207001,,-15.609,,,,,9.598,0.898,,0.018,0.0,,0.0,,-0.916,10.496,-3.798,6.698,0.0,,,6.698,0.116,6.814,0.0,0.0,6.814,6.814,,129.42,0.0525,0.0525,0.0525,142.872,0.0475,0.0475,0.0475,
03/31/2003,177.434006,,,-147.882004,,29.552002,,-19.405001,,,,,10.147,0.947,,0.027,0.0,,0.0,,-0.974,11.094,-4.233,6.861,0.0,,,6.861,0.3,7.161,0.0,0.0,7.161,7.161,,130.788002,0.055,0.055,0.055,142.056004,0.05,0.05,0.05,
06/30/2003,186.231995,,,-155.016998,,31.214997,,-20.879,,,,,10.336,1.253,,0.004,0.0,,0.0,,-1.257,11.589,-4.462,7.127,0.0,,,7.127,0.581,7.708,0.0,0.0,7.708,7.708,,131.88,0.05875,0.05875,0.05875,142.428,0.05375,0.05375,0.05375,
09/30/2003,198.753006,,,-163.492996,,35.26001,,-22.620001,,,,,12.64,1.174,,0.071,0.0,,0.0,,-1.245,13.814,-5.11,8.704,0.0,,,8.704,0.0,8.704,0.0,0.0,8.704,8.704,,147.447998,0.05875,0.05875,0.05875,158.735992,0.055,0.055,0.055,
12/31/2003,207.309998,,,-168.121994,,39.188004,,-25.384001,,,,,13.804,1.592,,0.092,0.0,,0.0,,-1.684,15.396,-5.699,9.697,0.0,,,9.697,0.0,9.697,0.0,0.0,9.697,9.697,,160.8,0.06,0.06,0.06,172.336,0.05625,0.05625,0.05625,
