Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
04/26/1989,6068,,,-4379,,1689,,-1527,,,,,162,-15,,75,,0.0,-60,147,-53,94,0.0,,,94,0.0,94,0.0,,94,94.0,,202.968034,0.464517,0.464517,,202.968034,0.464517,0.464517,0.464517,
07/26/1989,7006,,,-5154,,1852,,-1628,,,,,224,0,,82,,0.0,-82,224,-79,145,0.0,,,145,0.0,145,0.0,,145,145.0,,203.069205,0.7116,0.7116,,203.069205,0.7116,0.7116,0.7116,
10/25/1989,6707,,,-4932,,1775,,-1595,,,,,180,-19,,94,,0.0,-75,161,-57,104,0.0,,,104,0.0,104,0.0,,104,104.0,,203.271563,0.513933,0.513933,,203.271563,0.513933,0.513933,0.513933,
01/31/1990,9752,,,-7280,,2472,,-1892,,,,,580,-597,,129,,0.0,468,-17,-3,-20,0.0,,,-20,0.0,-20,0.0,,-20,-20.0,,202.084728,-0.098833,-0.098833,-0.098833,202.084728,-0.098833,-0.098833,-0.098833,
05/02/1990,7044,,,-5211,,1833,,-1638,,,,,195,-40,,99,,0.0,-59,155,-55,100,0.0,,,100,0.0,100,0.0,,100,100.0,,202.462132,0.494167,0.494167,,202.462132,0.494167,0.494167,0.494167,
08/01/1990,7785,,,-5810,,1975,,-1738,,,,,237,-7,,99,,0.0,-92,230,-82,148,0.0,,,148,0.0,148,0.0,,148,148.0,,202.563303,0.731366,0.731366,,202.563303,0.731366,0.731366,0.731366,
10/31/1990,7493,,,-5569,,1924,,-1733,,,,,191,-33,,108,,0.0,-75,158,-52,106,0.0,,,106,0.0,106,0.0,,106,106.0,,202.462132,0.523816,0.523816,,202.462132,0.523816,0.523816,0.523816,
01/31/1991,9748,,,-7305,,2443,,-1903,,,,,540,63,,103,,0.0,-166,603,-201,402,0.0,,,402,0.0,402,0.0,,402,402.0,,202.163141,1.986549,1.986549,1.986549,202.163141,1.986549,1.986549,1.986549,
05/01/1991,7644,,,-5747,,1897,,-1695,,,,,202,-39,,101,,0.0,-62,163,-56,107,0.0,,,107,0.0,107,0.0,,107,107.0,,203.575108,0.523816,0.523816,,203.575108,0.523816,0.523816,0.523816,
07/31/1991,8405,,,-6309,,2096,,-1835,,,,,261,-14,,104,,0.0,-90,247,-84,163,0.0,,,163,0.0,163,0.0,,163,163.0,,204.688099,0.80055,0.80055,,204.688099,0.80055,0.80055,0.80055,
10/30/1991,7971,,,-5981,,1990,,-1803,,,,,187,-21,,100,,0.0,-79,166,-57,109,0.0,,,109,0.0,109,-24.0,,85,85.0,,222.394682,0.494167,0.494167,,222.394682,0.494167,0.494167,0.494167,
01/29/1992,10560,,,-7893,,2667,,-2004,,,,,663,62,,96,,0.0,-158,725,-245,480,0.0,,,480,0.0,480,-20.0,,460,460.0,,201.481684,2.283049,2.283049,2.283049,201.481684,2.283049,2.283049,2.283049,
04/29/1992,6880,,,-5017,,1863,,-1514,,,,,349,-183,,101,,0.0,82,166,-60,106,-10.0,,,116,0.0,116,-19.0,,97,97.0,,229.882031,0.513933,0.4744,,229.882031,0.513933,0.4744,0.4744,
07/29/1992,7663,,,-5613,,2050,,-1686,,,,,364,-118,,104,,0.0,14,246,-86,160,-8.0,,,168,0.0,168,-20.0,,148,148.0,,460.877053,0.365683,0.345917,,460.877053,0.365683,0.345917,0.345917,
10/28/1992,7266,,,-5311,,1955,,-1599,,,,,356,-178,,114,,0.0,64,178,-62,116,-6.0,,,122,0.0,122,-21.0,,101,101.0,,462.495946,0.26685,0.256967,,462.495946,0.26685,0.256967,0.256967,
01/27/1993,9607,,,-6859,,2748,,-2114,,,,,634,103,,95,,0.0,-198,737,-237,500,-35.0,,,535,0.0,535,,,535,535.0,,469.072677,1.136583,1.0674,1.0674,469.072677,1.136583,1.0674,1.0674,
04/28/1993,7352,,,-5466,,1886,,-1744,,,,,142,-59,,122,,0.0,-63,83,-25,58,35.0,,,23,0.0,23,0.0,,23,23.0,,461.990044,0.049417,0.1186,,461.990044,0.049417,0.1186,0.1186,
07/28/1993,8439,,,-6309,,2130,,-1925,,,,,205,-25,,125,,0.0,-100,180,-55,125,23.0,,,102,0.0,102,0.0,,102,102.0,,461.382955,0.217433,0.26685,,461.382955,0.217433,0.26685,0.26685,
10/27/1993,8098,,,-6033,,2065,,-1898,,,,,167,9,,76,,0.0,-85,176,-72,104,10.0,,,94,0.0,94,0.0,,94,94.0,,462.495946,0.197667,0.217433,,462.495946,0.197667,0.217433,0.217433,
01/26/1994,8597,,,-6460,,2137,,-3160,,,,,-1023,47,,105,,0.0,-152,-976,371,-605,588.0,,,-1193,0.0,-1193,,,-1193,-1193.0,,462.900662,-2.579549,-1.33425,-1.33425,462.900662,-2.579549,-1.33425,-1.33425,
04/27/1994,7216,,,-5384,,1832,,-1758,,,,,74,-54,,125,,0.0,-71,20,-4,16,-2.0,,,18,0.0,18,0.0,,18,18.0,,461.281768,0.039533,0.02965,,461.281768,0.039533,0.02965,0.02965,
07/31/1994,8015,,,-5963,,2052,,-1823,,,,,229,-96,,116,,0.0,-20,133,-43,90,-4.0,,,94,0.0,94,0.0,,94,94.0,,461.484142,0.197667,0.187783,,461.484142,0.197667,0.187783,0.187783,
10/26/1994,7783,,,-5883,,1900,,-1813,,,,,87,-59,,133,,0.0,-74,28,-7,21,-18.0,,,39,0.0,39,0.0,,39,39.0,,462.192386,0.079067,0.039533,,462.192386,0.079067,0.039533,0.039533,
01/25/1995,9786,,,-7638,,2148,,-1982,,,,,166,-232,,119,,0.0,113,-66,43,-23,-168.0,,,145,0.0,145,-48.0,,97,97.0,,463.305378,0.20755,-0.158133,-0.158133,463.305378,0.20755,-0.158133,-0.158133,
04/26/1995,7443,,,-5788,,1655,,-1767,,,,,-112,75,,109,,0.0,-184,-37,12,-25,0.0,,,-25,0.0,-25,0.0,,-25,-25.0,,464.215996,-0.0593,-0.0593,,464.215996,-0.0593,-0.0593,-0.0593,
07/26/1995,8440,,,-6544,,1896,,-1827,,,,,69,-36,,114,,0.0,-78,33,-10,23,77.0,,,-54,0.0,-54,0.0,,-54,-54.0,,464.721898,-0.1186,0.04744,,464.721898,-0.1186,0.04744,0.04744,
10/25/1995,7975,,,-6286,,1689,,-1834,,,,,-145,-23,,96,,0.0,-73,-168,50,-118,-49.0,,,-69,0.0,-69,0.0,,-69,-69.0,,465.53136,-0.14825,-0.253013,,465.53136,-0.14825,-0.253013,-0.253013,
01/31/1996,7855,,,-6057,,1798,,-1448,,,,,350,-491,,115,,0.0,376,-141,31,-110,313.0,,,-423,0.0,-423,-6.0,,-429,-429.0,,467.049067,-0.899383,-0.239177,-0.239177,467.049067,-0.899383,-0.239177,-0.239177,
05/01/1996,6975,,,-5398,,1577,,-1519,,,,,58,-113,,113,,0.0,0,-55,19,-36,63.0,,,-99,0.0,-99,0.0,,-99,-99.0,,487.791064,-0.20755,-0.079067,-0.079067,487.791064,-0.20755,-0.079067,-0.079067,
07/31/1996,7566,,,-5875,,1691,,-1539,,,,,152,-113,,107,,0.0,6,39,-16,23,-11.0,,,34,0.0,34,0.0,,34,34.0,,493.861893,0.069183,0.049417,0.049417,493.861893,0.069183,0.049417,0.049417,
10/30/1996,7212,,,-5528,,1684,,-1533,,,,,151,-132,,119,,0.0,13,19,-11,8,-1.0,,,9,0.0,9,0.0,,9,9.0,,492.647715,0.019767,0.019767,0.019767,492.647715,0.019767,0.019767,0.019767,
01/29/1997,9684,,,-7589,,2095,,-1683,,,,,412,-116,,114,,0.0,2,296,-60,236,400.0,,,-164,0.0,-164,0.0,,-164,-164.0,,492.141812,-0.336033,0.484283,0.484283,492.141812,-0.26685,0.44475,0.44475,
04/30/1997,7263,,,-5637,,1626,,-1491,,,,,135,-110,,98,,0.0,12,25,-11,14,0.0,,,14,0.0,14,0.0,,14,14.0,,491.028821,0.02965,0.02965,0.02965,491.028821,0.02965,0.02965,0.02965,
07/30/1997,7846,,,-6197,,1649,,-1497,,,,,152,-104,,92,,0.0,12,48,-17,31,0.0,,,31,0.0,31,0.0,,31,31.0,,492.850088,0.0593,0.0593,0.0593,565.396468,0.0593,0.0593,0.0593,
10/29/1997,7315,,,-5683,,1632,,-1492,,,,,140,-109,,96,,0.0,13,31,-13,18,0.0,,,18,0.0,18,0.0,,18,18.0,,493.760706,0.039533,0.039533,0.039533,567.116549,0.039533,0.039533,0.039533,
01/28/1998,9759,,,-7635,,2124,,-1656,,,,,468,-203,,77,,0.0,126,265,-79,186,0.0,,,186,0.0,186,0.0,,186,186.0,,493.861893,0.375567,0.375567,0.523816,565.092939,0.345917,0.345917,0.494167,
04/29/1998,7515,,,-5908,,1607,,-1449,,,,,158,-74,,74,,0.0,0,84,-24,60,0.0,,,60,-13.0,47,0.0,,47,47.0,,495.480787,0.098833,0.098833,0.098833,568.937785,0.098833,0.098833,0.098833,
07/29/1998,8116,,,-6336,,1780,,-1561,,,,,219,-89,,70,,0.0,19,130,-38,92,0.0,,,92,-12.0,80,0.0,,80,80.0,,498.718543,0.158133,0.158133,0.187783,577.335752,0.158133,0.158133,0.187783,
10/28/1998,7642,,,-5954,,1688,,-1540,,,,,148,-89,,76,,0.0,13,59,-21,38,0.0,,,38,0.0,38,0.0,,38,38.0,,498.617356,0.079067,0.079067,0.079067,570.657865,0.08895,0.08895,0.08895,
01/27/1999,10401,,,-8121,,2280,,-1695,,,,,585,-85,,73,,0.0,12,500,-147,353,0.0,,,353,0.0,353,0.0,,353,353.0,,498.920916,0.7116,0.7116,0.7116,571.568514,0.642416,0.642416,0.642416,
04/28/1999,8078,,,-6370,,1708,,-1539,,,,,169,-79,,66,,0.0,13,90,-34,56,0.0,,,56,0.0,56,0.0,0.0,56,56.0,,499.932721,0.108717,0.108717,0.108717,573.794436,0.108717,0.108717,0.108717,
07/28/1999,8780,,,-6854,,1926,,-1638,,,,,288,-76,,64,,0.0,12,212,-74,138,230.0,,,-92,0.0,-92,0.0,0.0,-92,-92.0,,501.045712,-0.187783,0.276733,0.276733,573.693279,-0.14825,0.256967,0.256967,
10/27/1999,7962,,,-6248,,1714,,-1579,,,,,135,-89,,76,,0.0,13,46,-19,27,0.0,,,27,0.0,27,0.0,0.0,27,27.0,,497.909112,0.049417,0.049417,0.049417,568.836629,0.049417,0.049417,0.049417,
01/26/2000,11104,,,-8637,,2467,,-1760,,,,,707,-86,,96,,0.0,-10,621,-209,412,0.0,,,412,0.0,412,0.0,0.0,412,412.0,,491.028821,0.840083,0.840083,0.840083,560.438662,0.761016,0.761016,0.761016,
04/26/2000,8195,,,-6494,,1701,,-1581,,,,,120,-80,,70,-1.0,0.0,11,40,-18,22,0.0,,,22,0.0,22,0.0,0.0,22,22.0,,486.981602,0.0593,0.0593,0.0593,486.981602,0.0593,0.0593,0.0593,
07/26/2000,8998,,,-7518,,1480,,-2101,,,,,-621,-77,,71,-6.0,0.0,12,-698,250,-448,0.0,,,-448,0.0,-448,0.0,0.0,-448,-448.0,,486.981602,-0.91915,-0.91915,-0.91915,486.981602,-0.91915,-0.91915,-0.91915,
10/25/2000,8199,,,-6518,,1681,,-1697,,,,,-16,-82,,78,-8.0,0.0,12,-98,31,-67,0.0,,,-67,0.0,-67,0.0,0.0,-67,-67.0,,487.791064,-0.138367,-0.138367,-0.138367,487.791064,-0.138367,-0.138367,-0.138367,
01/31/2001,11636,,,-9128,,2508,,-2023,,,,,485,-107,66.0,68,-2.0,0.0,41,378,-129,249,0.0,,,249,0.0,249,0.0,0.0,249,249.0,463.0,488.499322,0.50405,0.50405,1.45285,488.499322,0.4744,0.4744,1.4232,
05/02/2001,8337,,,-6834,,1503,,-1712,,,,,-209,-133,,84,,0.0,49,-342,109,-233,0.0,,,-233,0.0,-233,0.0,0.0,-233,-233.0,,494.266609,-0.4744,-0.4744,-0.453645,494.266609,-0.4744,-0.4744,-0.453645,
