Date,Revenue,Revenue From Electric,Regulated Electric Revenue,Unregulated Electric Revenue,Revenue from Gas,Revenue from Water,Other Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",AFUDC - Equity,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,628.83197,628.83197,,,0.0,0,0.0,-297.921997,297.921997,151.326004,146.595993,0.0,,330.909973,-193.796005,51.745998,45.186001,38.66,58.203999,137.113998,-31.583998,,0.732,33.231998,31.747,-0.501,1.986,-0.916,105.53,-37.280998,68.249001,0.0,,,68.249002,0.0,68.249001,-4.638,,63.611001,63.611001,,105.585999,0.6,0.6,0.6,105.585999,0.6,0.6,0.6,
06/30/1990,550.155029,550.155029,,,0.0,0,0.0,-272.937012,272.936996,139.227997,133.709,0.0,,277.218018,-178.089996,45.915001,45.195999,37.334,49.645,99.127998,-32.067999,,0.269,32.730999,31.872,-1.694,2.553,-0.394,67.059999,-23.351,43.709,0.0,,,43.709,0.0,43.709,-4.638,,39.071,39.071,,105.916,0.37,0.37,0.37,105.916,0.37,0.37,0.37,
09/30/1990,559.054016,559.054016,,,0.0,0,0.0,-279.623993,279.623993,149.139999,130.483994,0.0,,279.430023,-176.276001,44.734001,45.195999,36.883999,49.462002,103.153999,-32.919999,,0.942,34.528999,33.546001,-1.258,2.241,-0.667,70.234,-23.889,46.345001,0.0,,,46.345,0.0,46.345001,-4.638,,41.707001,41.707001,,106.255997,0.395,0.395,0.395,106.255997,0.395,0.395,0.395,
12/31/1990,559.784973,559.784973,,,0.0,0,0.0,-282.162994,282.16301,148.130005,134.033005,0.0,,277.621979,-169.108002,39.605,45.313,39.610001,44.580002,108.514,-35.051,,0.845,37.695,33.417,-0.952,5.23,-1.799,73.463,-21.858999,51.604,0.0,,,51.604001,0.0,51.604,-4.638,,46.966,46.966,,106.739998,0.44,0.44,0.44,106.739998,0.44,0.44,0.44,
03/31/1991,596.429016,596.429016,,,0.0,0,0.0,-269.178986,269.179008,159.141006,110.038002,0.0,,327.250031,-192.636993,50.446999,47.43,42.987999,51.771999,134.613007,-33.951001,,0.698,34.957001,34.001999,-0.897,1.852,-0.308,100.662006,-36.035,64.626999,0.0,,,64.627006,0.0,64.626999,-4.637,,59.989999,59.989999,,106.996002,0.56,0.56,0.56,106.996002,0.56,0.56,0.56,
06/30/1991,547.885986,547.885986,,,0.0,0,0.0,-253.132996,253.132996,144.798996,108.334,0.0,,294.752991,-192.804993,51.497002,47.689999,40.205002,53.412998,101.947998,-33.455001,,0.89,34.971001,34.960999,-0.949,0.959,-0.626,68.492997,-22.740999,45.751999,0.0,,,45.751998,0.0,45.751999,-4.638,,41.113999,41.113999,,107.363998,0.385,0.385,0.385,107.363998,0.385,0.385,0.385,
09/30/1991,565.33197,565.33197,,,0.0,0,0.0,-250.386993,250.387009,153.143005,97.244003,0.0,,314.944977,-196.906998,51.287998,47.449001,41.959,56.210999,118.038002,-34.013001,,1.126,35.658001,35.355999,-1.085,1.387,-0.519,84.025001,-31.938,52.087002,0.0,,,52.087001,0.0,52.087002,-4.637,,47.450002,47.450002,,107.732002,0.44,0.44,0.44,107.732002,0.44,0.44,0.44,
12/31/1991,572.52002,572.52002,,,0.0,0,0.0,-259.571991,259.571999,146.016998,113.555,0.0,,312.948029,-198.981003,50.945,47.146,42.303001,58.587002,113.967003,-35.507001,,1.041,36.665001,36.735001,-1.246,1.176,-0.117,78.460002,-28.351,50.109001,0.0,,,50.109002,0.0,50.109001,-4.637,,45.472001,45.472001,,108.265999,0.42,0.42,0.42,108.265999,0.42,0.42,0.42,
03/31/1992,622.614014,622.614014,,,0.0,0,0.0,-265.497009,265.496994,148.813995,116.682999,0.0,,357.117004,-209.707993,52.143002,49.404999,44.030998,64.128998,147.408997,-33.355,,1.791,35.486,35.563,-1.568,1.491,-0.34,114.053997,-42.117001,71.936996,0.0,,,71.936996,0.0,71.936996,-4.637,,67.299996,67.299996,,108.456001,0.62,0.62,0.62,108.456001,0.62,0.62,0.62,
06/30/1992,555.799988,555.799988,,,0.0,0,0.0,-242.662994,242.662994,134.117996,108.544998,0.0,,313.136993,-208.240997,52.612,49.636002,40.438999,65.554001,104.896004,-32.681999,,2.45,35.146999,35.694,-1.793,1.246,-0.015,72.214004,-25.08,47.133999,0.0,,,47.134004,0.0,47.133999,-4.636,,42.497999,42.497999,,109.706001,0.385,0.385,0.385,109.706001,0.385,0.385,0.385,
