Date,Revenue,Revenue From Electric,Regulated Electric Revenue,Unregulated Electric Revenue,Other Electric Revenue,Revenue from Gas,Revenue from Water,Other Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Purchased Gas Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Income,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,1667.567017,1667.567017,,,,0.0,0.0,0.0,-586.067017,586.066986,452.972992,133.093994,0.0,,,1081.5,-704.198975,136.723999,186.847,101.484001,279.144012,377.300995,-166.461993,,,8.287,,201.330994,195.645004,-6.817,12.503,-26.582001,210.839002,-67.858002,142.981003,0.0,,,142.981,0.0,142.981003,-29.900999,,113.080004,113.080004,,633.307983,0.18,0.18,0.18,633.307983,0.18,0.18,0.18,
06/30/1990,2018.446045,2018.446045,,,,0.0,0.0,0.0,-756.827026,756.826996,603.546997,153.279999,0.0,,,1261.619019,-713.197021,156.199005,185.113007,88.239998,283.644989,548.421997,-175.056994,,,7.52,,206.205994,196.617004,-8.694,18.283001,-23.629,373.365003,-128.656998,244.707993,0.0,,,244.708005,0.0,244.707993,-28.733999,,215.973993,215.973993,,633.307983,0.34,0.34,0.34,633.307983,0.34,0.34,0.34,
09/30/1990,2437.582031,2437.582031,,,,0.0,0.0,0.0,-869.687988,869.687988,724.221985,145.466003,0.0,,,1567.894043,-726.255005,123.763,188.647995,110.162003,303.682007,841.638977,-167.254993,,,8.93,,207.511993,197.125,-8.732,19.118999,-31.327,674.383984,-240.046997,434.337006,218.0,,,216.336987,0.0,216.337006,-28.375,,187.962006,187.962006,,631.307983,0.3,0.645,0.645,631.307983,0.3,0.645,0.645,
12/31/1990,1851.405029,1851.405029,,,,0.0,0.0,0.0,-678.41803,678.417999,546.257996,132.160004,0.0,,,1172.987,-796.348999,185.313995,188.391998,97.113998,325.528992,376.638,-214.226005,,,8.263,,196.951004,198.613007,-9.757,8.095,25.538,162.411996,-47.438,114.973999,0.0,,,114.973996,0.0,114.973999,-27.99,,86.983999,86.983999,,644.325989,0.135,0.135,0.135,644.325989,0.135,0.135,0.135,
03/31/1991,1783.240967,1783.240967,,,,0.0,0.0,0.0,-597.77301,597.772995,467.457001,130.315994,0.0,,,1185.467957,-735.427002,137.729996,189.759003,107.224998,300.713013,450.040985,-186.984007,,,5.537,,200.404007,194.141006,-8.495,14.758,-7.883,263.056978,-98.824997,164.231995,0.0,,,164.231981,0.0,164.231995,-27.028999,,137.202995,137.202995,,631.307983,0.215,0.215,0.215,631.307983,0.215,0.215,0.215,
06/30/1991,2015.389038,2015.389038,,,,0.0,0.0,0.0,-687.164978,687.165016,575.593018,111.571999,0.0,,,1328.22406,-811.851013,183.988998,192.867004,107.579002,327.415985,516.372986,-198.679998,,,2.723,,205.516998,194.145004,-4.286,15.658,-4.114,317.692987,-119.866997,197.826004,0.0,,,197.825991,0.0,197.826004,-27.125,,170.701004,170.701004,,631.307983,0.275,0.275,0.275,631.307983,0.275,0.275,0.275,
09/30/1991,2363.239014,2363.239014,,,,0.0,0.0,0.0,-770.64801,770.648018,663.64502,107.002998,0.0,,,1592.591003,-776.38501,138.863998,190.903,113.014999,333.602997,816.205994,-160.417,,,2.826,,200.179001,189.139999,-3.567,14.606,-36.936001,655.788994,-257.048004,398.740997,0.0,,,398.740989,0.0,398.740997,-26.851999,,371.888998,371.888998,,631.307983,0.585,0.585,0.585,631.307983,0.585,0.585,0.585,
12/31/1991,1888.130981,1888.130981,,,,0.0,0.0,0.0,-649.414001,649.413994,530.304993,119.109001,0.0,,,1238.71698,-664.336975,176.417007,189.470993,104.181,194.268005,574.380005,-229.918993,,,1.914,,190.899994,179.574005,-1.652,12.978,40.932999,344.461012,-121.260002,223.201004,0.0,,,223.20101,0.0,223.201004,-26.993999,,196.207005,196.207005,,622.880005,0.315,0.315,0.315,622.880005,0.315,0.315,0.315,
03/31/1992,1807.890015,1807.890015,,,,0.0,0.0,0.0,-556.723022,556.723,446.490997,110.232002,0.0,,,1251.166992,-733.830994,136.959,190.990997,109.902,295.979004,517.335999,-180.498996,,,2.086,,187.423996,176.593994,-3.21,14.04,-4.839,336.837003,-125.084,211.753006,0.0,,,211.753003,0.0,211.753006,-26.965,,184.788006,184.788006,,633.307983,0.295,0.295,0.295,633.307983,0.295,0.295,0.295,
06/30/1992,2011.541016,2011.541016,,,,0.0,0.0,0.0,-670.276001,670.276001,540.072998,130.203003,0.0,,,1341.265015,-762.018982,155.302002,191.201996,107.962997,307.552002,579.245972,-180.867995,,,2.524,,189.244995,176.169006,-3.404,16.48,-5.853,398.377977,-149.572998,248.804993,0.0,,,248.804979,0.0,248.804993,-25.629999,,223.174994,223.174994,,633.307983,0.35,0.35,0.35,633.307983,0.35,0.35,0.35,
