Date,P/E,Average,High,Low,P/Book,P/Sales,P/Cash Flow,P/Free Cash Flow,EV/Sales,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
09/24/1980,,,,,,,,,,,,,
12/24/1980,,,,,,,,,,,,,
03/24/1981,,,,,,,,,,,,,
06/24/1981,,,,,,,,,,,,,
09/24/1981,,,,,,,,,,,,,
12/24/1981,,,,,,,,,,,,,
03/24/1982,,,,,,,,,,,,,
06/24/1982,,,,,,,,,,,,,
09/24/1982,,,,,,,,,,,,,
12/24/1982,,,,,,,,,,,,,
03/24/1983,,,,,,,,,,,,,
06/24/1983,,,,,,,,,,,,,
09/24/1983,,,,,,,,,,,6.790123,,
12/24/1983,,,,,,,,,,,6.814815,,
03/24/1984,,,,,,,,,,,6.54321,,
06/24/1984,,,,,,,,,,,6.790123,,
09/24/1984,,,,,,,,,,,7.604938,,
12/24/1984,,,,,,,,,,,7.777778,,
03/24/1985,,,,,,,,,,,8.740741,,
06/24/1985,,,,,,,,,,,9.703704,,
09/24/1985,,,,,,,,,,,9.740741,,
12/24/1985,,,,,,,,,,,11.666667,,
03/24/1986,,,,,,,,,,,14.222222,,
06/24/1986,,,,,,,,,,,16.0,,
09/24/1986,,,,,,,,,,,13.333333,,
12/24/1986,,,,,,,,,,,14.666667,,
03/24/1987,,,,,,,,,,,18.75,,
06/24/1987,,,,,,,,,,,21.333333,,
09/24/1987,,,,,,,,,,,24.5,,
12/24/1987,,,,,,,,,,,21.333333,,
03/24/1988,,,,,,,,,,,19.666667,,
06/24/1988,,,,,,,,,,,17.416667,,
09/24/1988,,,,,,,,,,,17.833333,,
12/24/1988,,,,,,,,,,,16.083333,,
03/24/1989,,,,,,,,,,,18.333333,,
06/24/1989,,,,,,,,,,,21.25,,
09/24/1989,,,,,,,,,,,22.666667,,
12/24/1989,,,,,,,,,,,19.75,,
03/24/1990,,1197.567348,1197.567348,1197.567348,3.853058,,,,,,20.916667,1208.893725,
06/16/1990,,1341.457658,1495.402467,1193.336223,4.520208,,,,,,25.416667,1467.643887,
09/08/1990,,1543.778929,1683.711953,1439.965709,4.49068,,,,,,26.333333,1529.916439,
12/29/1990,,1457.978591,1547.094938,1286.362516,3.420159,2.307054,12.129027,,2.650067,16.324545,25.916667,1560.855072,
03/23/1991,,1782.792906,2189.545962,1392.029314,4.248239,2.817274,16.110162,,3.24044,20.662993,32.25,1997.987448,
06/15/1991,,2025.984457,2225.083441,1890.017474,4.18521,2.758431,15.360495,,3.129121,20.468593,32.125,2011.530552,
09/07/1991,,1980.791471,2181.918556,1839.043545,3.653884,2.446597,14.766444,,2.765845,18.309895,28.875,1842.65292,
12/28/1991,,1755.14012,1899.573922,1515.357162,3.040172,2.040193,14.057864,,2.37209,17.445922,24.75,1648.604782,
03/21/1992,,1733.587443,1868.480666,1580.139788,2.845039,1.903482,11.221515,,2.222518,16.438354,23.75,1590.756004,
06/13/1992,,1809.382775,1927.957504,1516.072161,3.186691,2.123581,13.027051,,2.45613,18.199372,27.375,1819.24567,
09/05/1992,,1863.589666,2012.9943,1761.548501,3.081857,2.030988,12.340193,,2.35635,19.81746,27.0,1803.369051,
01/02/1993,,1897.086898,2098.502435,1594.616169,2.783233,1.731001,9.204119,,2.064338,19.175362,23.75,1640.202981,
03/27/1993,,1573.847807,1681.469543,1438.364984,2.400898,1.489665,9.784865,,1.840518,18.664796,20.625,1476.87062,
06/19/1993,,1331.388945,1498.392973,1231.760369,2.023889,1.254888,7.52689,,1.594266,17.769618,17.5,1287.586528,
09/11/1993,,1213.425902,1330.736269,1114.549525,1.888524,1.176677,7.031001,,1.506246,16.597737,16.375,1212.597478,
01/01/1994,,1135.168819,1306.333975,1032.334984,2.584665,1.179215,6.883715,,1.520426,17.118305,16.25,1209.510965,
03/26/1994,,1197.976075,1339.299961,1065.30097,2.198006,1.021608,5.847661,,1.371484,14.668069,14.0,1084.160972,
06/18/1994,,1160.970943,1307.686464,1076.950472,2.688529,1.286918,28.572206,,1.622681,16.439544,17.5,1273.028972,
09/10/1994,,1235.041197,1301.870971,1157.660976,2.483638,1.223228,6.647878,,1.545246,14.138546,16.625,1212.436885,
12/31/1994,,1087.140746,1211.256461,995.855631,2.149404,1.07668,6.780592,,1.40914,11.22595,14.75,1115.006266,
03/25/1995,,1188.978722,1268.706759,1100.567516,2.453973,1.232143,7.36035,,1.568214,12.140502,17.25,1268.706759,
06/17/1995,,1272.620557,1312.02301,1203.732383,2.347518,1.17742,4.515756,,1.517124,11.821844,16.875,1257.501379,
09/09/1995,,1169.848468,1271.906398,1062.571504,1.940157,0.967602,6.881104,,1.277214,10.214568,14.125,1078.290622,
12/31/1995,,1111.594737,1165.094121,1062.269379,2.069444,1.043828,7.17788,19.146549,1.348205,10.680568,15.5,1158.446487,
03/23/1996,,1119.408246,1172.913737,1042.708488,1.908417,0.968731,6.878759,15.97046,1.261809,9.932952,14.5,1093.250488,
06/15/1996,,1134.683721,1237.922987,1078.783238,2.113348,1.084401,6.783954,13.068843,1.381053,10.818271,16.375,1207.838372,
09/07/1996,,1239.321595,1304.589605,1159.917106,2.094283,1.08382,8.691398,21.50421,1.395187,10.72351,16.625,1241.921872,
12/28/1996,,1215.069935,1262.097004,1154.557372,2.016191,1.047805,8.341493,12.365781,1.33748,10.332768,16.625,1234.662413,
03/22/1997,,1235.749909,1336.521136,1139.951011,1.835932,0.935888,7.934757,12.099582,1.220273,9.830264,15.125,1149.04976,
06/14/1997,,1152.536466,1192.752261,1097.735777,1.883934,0.956605,7.42742,10.240823,1.213019,10.048552,15.75,1164.747734,
09/06/1997,,1290.12921,1507.101602,1171.98426,2.518209,1.277163,8.617137,11.065385,1.515807,12.775838,21.375,1481.128398,
01/03/1998,24.336283,1684.648575,1919.135905,1393.526896,3.074323,1.595573,9.808874,12.535039,1.816466,15.203003,27.5,1830.821546,
