Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1993,-0.676,-0.519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,-0.409,-0.776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,-0.672,-0.741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,-0.725,-0.825,0.375,0.031,,0.031,-0.027,,,,-0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1994,0.062,-1.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,-1.054,-0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,-0.254,-0.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,-2.759,-2.282,0.539,0.365,,0.365,0.37,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1995,-0.904,-2.176,,,,,,,,,,,,-0.359,,,,-0.359,,,,,,,,,,0.359,,,,,,,,,,,,,,,
06/30/1995,-1.576,-1.584,,,,,,,,,,,,-0.272,,,,-0.272,,,,,,,,,,0.272,,,,,,,,,,,,,,,
09/30/1995,-1.313,-1.655,,,,,,,,,,,,-0.307,,,,-0.307,,,,,,,,,,0.307,,,,,,,,,,,,,,,
12/31/1995,-1.532,-2.247,,,,,,,,,,,,-0.402,,,,-0.402,,,,,,,,,,0.402,,,,,,,,,,,,,,,
03/31/1996,-3.039,-1.901,,,,,,,,,,,,-0.344,,,,-0.344,,,,,,,,,,0.344,,,,,,,,,,,,,,,
06/30/1996,-1.038,-2.485,,,,,,,,,,,,-0.611,,,,-0.611,,,,,,,,,,0.611,,,,,,,,,,,,,,,
09/30/1996,-2.593,-2.253,,,,,,,,,,,,-0.653,,,,-0.653,,,,,,,,,,0.653,,,,,,,,,,,,,,,
12/31/1996,0.852,-3.27,,,,,,,,,,,,-0.573,,,,-0.573,,,,,,,,,,0.573,,,,,,,,,,,,,,,
03/31/1997,1.868,-2.044,,,,,,,,,,,-14.286,-0.898,0.0,,,-0.898,,,0.0,0.0,0.0,,,,,-13.388,30.512001,0.0,-0.063,,,,30.575001,30.575001,0.0,0.0,,18.094,,,
06/30/1997,-3.601,-2.298,,,,,,,,,,,0.101,-3.021,0.0,,,-3.021,,,0.0,0.0,0.0,,,,,3.122,-0.013,0.0,-0.04,,,,0.027,0.027,0.0,0.0,,-3.513,,,
09/30/1997,-0.282,-2.651,,,,,,,,,,,-24.302,-4.277,0.0,,,-4.277,,,0.0,0.0,0.0,,,,,-20.025,1.062,0.0,-0.025,,,,1.087,1.087,0.0,0.0,,-23.521999,,,
