Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2008,1711.0,,-977.7,,733.3,,-503.8,491.4,,,12.4,229.5,-63.3,60.6,60.6,0.0,2.7,166.2,-52.4,113.8,-12.9,,,126.7,-6.2,120.5,0.0,0.0,120.5,120.5,1.495,154.0,0.78,0.7,0.71,156.3,0.77,0.69,0.7,
06/30/2008,1966.7,,-1099.7,,867.0,,-550.9,538.4,,,12.5,316.1,-404.0,58.2,58.2,0.0,345.8,-87.9,38.4,-49.5,-109.4,,,59.9,76.1,136.0,0.0,0.0,136.0,136.0,215.865,153.0,0.89,0.17,1.58,155.3,0.88,0.17,1.58,
09/30/2008,1799.3,,-1006.5,,792.8,,-507.0,494.6,,,12.4,285.8,193.7,60.4,60.4,0.0,-254.1,479.5,-171.4,308.1,-30.2,,,338.3,-2.4,335.9,0.0,0.0,335.9,335.9,19.918,150.0,2.24,2.04,2.17,151.9,2.21,2.01,2.14,
12/31/2008,1628.1,,-960.9,,667.2,,-485.7,473.4,,,12.3,181.5,-550.9,57.9,57.9,0.0,493.0,-369.4,89.8,-279.6,0.0,,,-279.6,-1.7,-281.3,0.0,0.0,-281.3,-281.3,326.235,149.63,-1.88,-1.88,0.3,149.63,-1.88,-1.88,0.3,
03/31/2009,1337.8,1337.8,-786.9,786.9,550.9,0.0,-490.4,445.6,,,44.8,60.5,-57.0,,52.5,,4.5,3.5,5.4,8.9,0.0,0.0,0.0,8.9,-1.5,7.4,0.0,0.0,7.4,45.1,37.7,150.1,0.05,0.05,0.300466,151.4,0.05,0.05,0.299009,
06/30/2009,1617.2,1617.2,-914.8,914.8,702.4,0.0,-509.5,491.9,,,17.6,192.9,-63.0,,53.4,,9.6,129.9,-29.3,100.6,0.0,0.0,0.0,100.6,-0.8,99.8,,0.0,99.8,106.5,6.7,150.2,0.66,0.66,0.709055,151.6,0.66,0.66,0.704195,
09/30/2009,1592.6,1592.6,-893.4,893.4,699.2,0.0,-494.7,484.7,,,10.0,204.5,-48.2,,55.1,,-6.9,156.3,-31.1,125.2,0.0,0.0,0.0,125.2,-1.1,124.1,,0.0,124.1,117.0,-7.1,150.3,0.82,0.82,0.778443,152.0,0.82,0.82,0.773289,
12/31/2009,1657.8,1657.8,-955.4,955.4,702.4,0.0,-655.1,519.4,,,135.7,47.3,-53.6,,54.8,,-1.2,-6.3,18.7,12.4,0.0,0.0,0.0,12.4,-0.9,11.5,,0.0,11.5,100.2,88.7,150.4,0.08,0.08,0.666223,152.1,0.08,0.08,0.663169,
03/31/2010,1498.7,1498.7,-839.9,839.9,658.8,0.0,-502.4,492.9,,,9.5,156.4,-53.2,,55.2,,-2.0,103.2,-28.8,74.4,0.0,0.0,0.0,74.4,-2.2,72.2,0.0,0.0,72.2,75.2,3.0,151.6,0.48,0.48,0.496042,153.2,0.47,0.47,0.489582,
06/30/2010,1381.6,1381.6,-781.9,781.9,599.7,0.0,-391.5,383.9,,,7.6,208.2,-31.1,,49.9,,-18.8,177.1,3.6,180.7,-48.7,-48.7,0.0,229.4,-2.0,227.4,0.0,0.0,227.4,111.9,-66.8,152.5,1.49,1.18,0.73377,154.1,1.48,1.17,0.73377,
