Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1999,6638.0,,,,,,,,,,,,,,,,,,,,,,,,,,361.0,,,361.0,361.0,,,,,,,,,,
06/30/1999,6830.0,,,,,,,,,,,,,,,,,,,,,,,,,,526.0,,,526.0,526.0,,,,,,,,,,
09/30/1999,6326.0,,,,,,,,,,,,,,,,,,,,,,,,,,422.0,,,422.0,422.0,,,,,,,,,,
12/31/1999,7003.0,,,,,,,,,,,,,,,,,,,,,,,,,,444.0,,,444.0,444.0,,,,,,,,,,
03/31/2000,6460.0,,-3381.0,,3079.0,,-2150.0,,,,929.0,-127.0,,,0.0,0.0,127.0,802.0,-332.0,,470.0,0.0,,,470.0,0.0,470.0,0.0,0.0,470.0,470.0,,1455.0,0.32,0.32,0.32,1455.0,0.32,0.32,0.32,
06/30/2000,6974.0,,-3557.0,,3417.0,,-2316.0,,,,1101.0,-132.0,,,0.0,0.0,132.0,969.0,-401.0,,568.0,0.0,,,568.0,0.0,568.0,0.0,0.0,568.0,568.0,,1455.0,0.39,0.39,0.39,1455.0,0.39,0.39,0.39,
09/30/2000,6215.0,,-3257.0,,2958.0,,-2040.0,,,,918.0,17.0,,,0.0,0.0,-17.0,935.0,-387.0,,548.0,0.0,,,548.0,0.0,548.0,0.0,0.0,548.0,548.0,,1455.0,0.38,0.38,0.38,1455.0,0.38,0.38,0.38,
12/31/2000,6883.0,,-3722.0,,3161.0,,-2097.0,,,,1064.0,-355.0,,,0.0,0.0,355.0,709.0,-294.0,,415.0,0.0,,,415.0,0.0,415.0,0.0,0.0,415.0,415.0,,1455.0,0.29,0.29,0.29,1455.0,0.29,0.29,0.29,
03/31/2001,7197.0,,-4275.0,,2922.0,,-1830.0,,,,1092.0,-482.0,,482.0,0.0,0.0,0.0,610.0,-284.0,,326.0,0.0,,,326.0,0.0,326.0,0.0,0.0,326.0,326.0,,1455.0,0.22,0.22,0.25,1455.0,0.22,0.22,0.25,
06/30/2001,7473.0,,-4402.0,,3071.0,,-1706.0,,,,1365.0,-451.0,451.0,451.0,,0.0,0.0,914.0,-409.0,,505.0,0.0,,,505.0,0.0,505.0,0.0,0.0,505.0,505.0,,1510.0,0.33,0.33,0.33,1510.0,0.33,0.33,0.33,
09/30/2001,7018.0,,-4233.0,,2785.0,,-1609.0,,,,1176.0,-256.0,256.0,256.0,0.0,0.0,0.0,920.0,-417.0,,503.0,0.0,,,503.0,0.0,503.0,0.0,0.0,503.0,503.0,24.1,1735.0,0.29,0.29,0.3,1735.0,0.29,0.29,0.3,
12/31/2001,7546.0,,-4656.0,,2890.0,,-1623.0,,,,1267.0,-264.0,,248.0,0.0,0.0,16.0,1003.0,-455.0,,548.0,0.0,,,548.0,0.0,548.0,0.0,0.0,548.0,548.0,,1735.0,0.32,0.32,0.32,1736.0,0.32,0.32,0.32,
03/31/2002,7147.0,,-4283.0,,2864.0,,-1560.0,,,,1304.0,-230.0,230.0,230.0,,0.0,0.0,1074.0,-381.0,,693.0,0.0,,,693.0,0.0,693.0,0.0,0.0,693.0,693.0,109.0,1735.0,0.4,0.4,0.46,1737.0,0.4,0.4,0.46,
06/30/2002,7513.0,,-4386.0,,3127.0,,-1508.0,,,,1619.0,-221.0,,221.0,,0.0,0.0,1398.0,-496.0,,902.0,0.0,,,902.0,-1.0,901.0,0.0,0.0,901.0,901.0,,1735.0,0.52,0.52,0.55,1738.0,0.52,0.52,0.55,
09/30/2002,7216.0,,-4245.0,,2971.0,,-1411.0,,,,1560.0,-210.0,210.0,210.0,,0.0,0.0,1350.0,-480.0,,870.0,0.0,,,870.0,-1.0,869.0,0.0,0.0,869.0,869.0,,1734.0,0.5,0.5,0.5,1737.0,0.5,0.5,0.5,
12/31/2002,7847.0,,-4806.0,,3041.0,,-1495.0,,,,1546.0,-101.0,,186.0,,0.0,-85.0,1445.0,-512.0,,933.0,0.0,,,933.0,-2.0,931.0,0.0,0.0,931.0,931.0,,1731.0,0.54,0.54,0.51,1734.0,0.54,0.54,0.51,
03/31/2003,7359.0,,-4349.0,,3010.0,0.0,-1522.0,1520.0,,2.0,1488.0,-179.0,,179.0,,0.0,0.0,1309.0,-460.0,,849.0,0.0,,,849.0,-1.0,848.0,0.0,0.0,848.0,848.0,,1729.0,0.49,0.49,0.49,1730.0,0.49,0.49,0.49,
06/30/2003,7841.0,,-4695.0,,3146.0,0.0,-1518.0,,,,1628.0,-164.0,-20.0,164.0,-184.0,0.0,184.0,1464.0,-514.0,,950.0,0.0,,,950.0,-1.0,949.0,0.0,0.0,949.0,949.0,,1728.0,0.55,0.55,0.55,1728.0,0.55,0.55,0.55,
