Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Compensation,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,10298.799805,477.000008,108.900002,368.100006,907.400024,,,74.599998,,,,,173.5,,,,,1632.5,7945.600098,,,287.799988,,432.899994,,,,,,432.899994,8666.300079,,805.400024,805.400024,,,,97.400002,,,,,,372.500023,,,372.500023,1275.300049,705.900024,,,,,3120.199951,,,,,3120.199951,3826.099976,5101.400024,0.0,614.700012,,,-20.6,,4534.399805,5128.499817,68.900002,5197.399818,10298.799843,
06/30/1990,10525.700195,744.799988,342.299988,402.5,905.900024,,,77.0,,,,,168.199997,,,,,1895.900024,7926.700195,,,289.799988,,413.299988,,,,,,413.299988,8629.800171,,843.599976,843.599976,,,,381.0,,,,,,296.5,,,296.5,1521.099976,743.0,,,,,3128.199951,,,,,3128.199951,3871.199951,5392.299927,0.0,605.200012,,,-20.6,,4479.999903,5064.599915,68.800003,5133.399918,10525.699844,
09/30/1990,10488.099609,664.299988,341.0,323.299988,920.200012,,,84.099998,,,,,157.100006,,,,,1825.699951,7966.200195,,,279.299988,,416.899994,,,,,,416.899994,8662.400177,,837.200012,837.200012,,,,260.200012,,,,,,309.5,,,309.5,1406.900024,882.200012,,,,,3146.600098,,,,,3146.600098,4028.80011,5435.700134,0.0,572.0,,,-20.6,,4432.6,4984.0,68.400002,5052.400002,10488.100136,
12/31/1990,10523.0,624.800018,389.700012,235.100006,852.700012,,,80.800003,,,,,188.5,,,,,1746.800049,8128.0,12001.099609,-3873.100098,379.799988,,268.399994,,,,,,268.399994,8776.199982,,791.599976,791.599976,,,,266.700012,,,,,,313.500061,,,313.500061,1371.800049,1030.400024,,,,,3141.199951,,,,,3141.199951,4171.599975,5543.400024,0.0,581.299988,,,-20.6,,4351.200098,4911.900086,67.699997,4979.600083,10523.000107,
03/31/1991,10514.0,670.199982,361.799988,308.399994,737.900024,,,84.400002,,,,,190.0,,,,,1682.5,8160.600098,,,400.5,,270.399994,,,,,,270.399994,8831.500092,,686.299988,686.299988,,,,163.800003,,,,,,314.800034,,,314.800034,1164.900024,1307.0,,,,,3176.600098,,,,,3176.600098,4483.600098,5648.500122,0.0,572.5,,,-20.6,,4244.999903,4796.899902,68.599998,4865.499901,10514.000023,
06/30/1991,10369.900391,494.900009,210.699997,284.200012,755.5,,,77.0,,,,,172.800003,,,,,1500.199951,8208.099609,,,399.600006,,262.0,,,,,,262.0,8869.699615,,707.200012,707.200012,,,,160.300003,,,,,,286.999985,,,286.999985,1154.5,1281.900024,,,,,3192.800049,,,,,3192.800049,4474.700073,5629.200073,0.0,559.5,,,-20.6,,4133.499903,4672.399902,68.300003,4740.699905,10369.899979,
09/30/1991,10378.700195,401.100014,114.400002,286.700012,772.599976,,,70.699997,,,,,171.300003,,,,,1415.699951,8329.400391,,,335.200012,,298.399994,,,,,,298.399994,8963.000397,,677.099976,677.099976,,,,213.5,,,,,,291.800049,,,291.800049,1182.400024,1315.699951,,,,,3220.800049,,,,,3220.800049,4536.5,5718.900024,0.0,548.799988,,,-20.6,,4063.400049,4591.600037,68.199997,4659.800034,10378.700058,
12/31/1991,10148.099609,464.699997,158.199997,306.5,724.900024,,,70.300003,,,,,209.399994,,,,,1469.300049,8372.200195,12334.599609,-3962.399902,217.800003,,88.800003,,,,,,88.800003,8678.800201,,698.200012,698.200012,,,,408.700012,,,,,,233.900025,,,233.900025,1340.800049,1300.099976,,,,,3357.300049,,,,,3357.300049,4657.400025,5998.200074,0.0,551.0,,,-20.6,,3562.999902,4093.399902,56.5,4149.899902,10148.099976,
03/31/1992,10294.400391,552.800003,222.199997,330.600006,714.400024,,,75.900002,,,,,204.600006,,,,,1547.699951,8397.599609,,,268.399994,,80.699997,,,,,,80.699997,8746.6996,,701.400024,701.400024,,,,258.5,,,,,,291.799927,,,291.799927,1251.699951,1518.099976,,,,,3341.0,,,,,3341.0,4859.099976,6110.799927,0.0,555.400024,,,-20.6,,3593.299952,4128.099976,55.5,4183.599976,10294.399902,
06/30/1992,10295.200195,455.600006,164.399994,291.200012,729.099976,,,83.5,,,,,206.600006,,,,,1474.800049,8457.099609,,,276.700012,,86.599998,,,,,,86.599998,8820.39962,,745.099976,745.099976,,,,204.699997,,,,,,266.600052,,,266.600052,1216.400024,1545.300049,,,,,3323.5,,,,,3323.5,4868.800049,6085.200073,0.0,557.200012,,,-20.6,,3618.400049,4155.000061,55.0,4210.000061,10295.200134,
09/30/1992,10381.799805,367.999985,87.699997,280.299988,793.0,,,77.5,,,,,183.800003,,,,,1422.300049,8579.400391,,,282.100006,,98.0,,,,,,98.0,8959.500397,,712.299988,712.299988,,,,146.300003,,,,,,378.200058,,,378.200058,1236.800049,1577.0,,,,,3312.800049,,,,,3312.800049,4889.800049,6126.600098,0.0,554.900024,,,-20.6,,3666.200098,4200.500122,54.700001,4255.200123,10381.80022,
12/31/1992,10400.5,378.099991,111.800003,266.299988,748.599976,,,80.800003,,,,,189.699997,,,,,1397.199951,8648.0,12669.200195,-4021.199951,282.899994,,72.400002,,,,,,72.400002,9003.299996,,655.099976,655.099976,,,,231.199997,,,,,,296.200027,,,296.200027,1182.5,1565.900024,,,,,3365.100098,,,,,3365.100098,4931.000122,6113.500122,0.0,555.400024,,,-20.6,,3697.799951,4232.599975,54.400002,4286.999977,10400.500099,
