Date,P/E,Average,High,Low,P/Book,P/Sales,P/Free Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
09/30/1980,,,,,,,,,,,19.375,,
12/31/1980,,,,,,,,,,,18.125,,
03/31/1981,,,,,,,,,,,19.0,,
06/30/1981,,,,,,,,,,,19.625,,
09/30/1981,,,,,,,,,,,19.25,,
12/31/1981,,,,,,,,,,,19.875,,
03/31/1982,,,,,,,,,,,20.875,,
06/30/1982,,,,,,,,,,,21.375,,
09/30/1982,,,,,,,,,,,23.375,,
12/31/1982,,,,,,,,,,,25.25,,
03/31/1983,,,,,,,,,,,26.875,,
06/30/1983,,,,,,,,,,,25.25,,
09/30/1983,,,,,,,,,,,27.0,,
12/31/1983,,,,,,,,,,,26.0,,
03/31/1984,,,,,,,,,,,22.25,,
06/30/1984,,,,,,,,,,,22.75,,
09/30/1984,,,,,,,,,,,26.5,,
12/31/1984,,,,,,,,,,,27.875,,
03/31/1985,,,,,,,,,,,29.375,,
06/30/1985,,,,,,,,,,,30.875,,
09/30/1985,,,,,,,,,,,28.5,,
12/31/1985,,,,,,,,,,,29.375,,
03/31/1986,,,,,,,,,,,35.375,,
06/30/1986,,,,,,,,,,,32.125,,
09/30/1986,,,,,,,,,,,31.5,,
12/31/1986,,,,,,,,,,,33.875,,
03/31/1987,,,,,,,,,,,36.0,,
06/30/1987,,,,,,,,,,,34.625,,
09/30/1987,,,,,,,,,,,31.25,,
12/31/1987,,,,,,,,,,,27.5,,
03/31/1988,,,,,,,,,,,26.875,,
06/30/1988,,,,,,,,,,,27.875,,
09/30/1988,,,,,,,,,,,30.75,,
12/31/1988,,,,,,,,,,,33.0,,
03/31/1989,,,,,,,,,,,32.625,,
06/30/1989,,,,,,,,,,,37.75,,
09/30/1989,,,,,,,,,,,37.375,,
12/31/1989,,,,,,,,,,,37.625,,
03/31/1990,,15779.700768,15779.700768,15779.700768,1.077732,,,,,,34.75,15781.29945,
06/30/1990,,15416.936658,15832.660767,15039.698444,1.105979,,,,,,32.75,15207.920082,
09/30/1990,,14682.029324,15255.160233,14121.107433,0.951877,,,,,,28.875,14260.940977,
12/31/1990,157.954527,15128.289251,15666.030632,14339.655357,1.162599,1.400293,4.234418,2.957587,7.467048,13.666754,34.75,15562.783978,
03/31/1991,,16088.714682,16932.537785,15423.417368,1.354522,1.605918,5.237628,3.255464,8.600321,16.417481,39.375,16933.8764,
06/30/1991,15.242616,16623.556282,17065.215912,16270.379524,1.24693,1.304699,4.801681,2.776041,6.433549,10.143601,36.125,16313.781616,
09/30/1991,16.15,16786.685544,17243.333466,16441.062462,1.35332,1.404535,4.816694,2.755741,6.637873,10.369315,40.375,16823.197298,
12/31/1991,498.436908,16823.221982,17195.084555,16265.366413,1.477877,1.349972,4.404009,2.68487,6.379159,9.535199,39.875,16848.993263,
03/31/1992,89.144713,16112.847471,16868.777962,15626.100502,1.279963,1.128581,3.58515,2.493941,5.856779,8.560671,33.875,15910.718368,
06/30/1992,190.178409,15485.772369,15937.309617,14371.803331,1.018891,0.90012,2.878513,2.285673,5.459128,8.072063,26.625,14377.208284,
09/30/1992,,14032.792773,14536.908033,13658.559414,0.854952,0.805006,2.909877,2.29459,5.734435,8.826825,22.875,13874.850725,
12/31/1992,11.231884,14031.80236,14513.835711,13660.499557,0.868866,0.82151,3.172752,2.333852,5.921383,9.36496,23.25,14064.540043,
03/31/1993,13.52657,14677.436079,15369.49687,14004.083844,1.050948,0.980148,3.489207,2.525157,6.505104,10.367009,28.0,15371.008894,
06/30/1993,14.507772,15299.771737,15769.443731,14997.630655,1.056367,0.980997,3.794521,2.480001,6.523752,10.598286,28.0,15093.156837,
09/30/1993,13.933486,15474.254981,15840.48732,14955.215425,1.108407,1.037161,3.358429,2.404979,6.1751,9.810392,30.375,15029.952026,
12/31/1993,165.441162,14737.242107,15063.264211,14369.329688,1.108791,1.141366,2.690318,2.733968,10.19845,28.81758,28.125,14381.873841,
03/31/1994,228.409065,14152.980921,14422.655936,13756.077834,0.999626,1.012264,2.670591,2.631163,10.113867,30.341471,25.125,13949.915186,
06/30/1994,,13756.784329,14110.261435,13308.530191,0.932722,0.916826,3.026212,2.607952,10.639201,36.752332,22.75,13831.07756,
09/30/1994,,13938.698929,14259.217575,13563.490051,0.874129,0.90046,4.770279,2.62058,10.793972,38.974697,22.25,13853.047573,
12/31/1994,14.457831,13958.107771,14361.739334,13531.768566,0.944212,0.818294,7.342363,2.278313,6.189954,10.355037,24.0,14302.15984,
03/31/1995,12.5,14533.371902,14726.836057,14131.411833,0.933976,0.80354,7.341788,2.233395,5.884555,9.634774,23.75,14139.415354,
06/30/1995,10.565476,14686.645102,14997.507334,14184.958334,1.04272,0.883776,5.739523,2.262885,5.669853,8.938529,26.625,14614.307081,
09/30/1995,9.482759,14915.111531,15392.80122,14581.261223,1.119612,0.955397,4.604231,2.191555,5.290978,7.969675,30.25,14889.177075,
12/31/1995,10.667753,15334.340115,15586.169407,15049.276898,1.220102,1.017602,6.566055,2.255449,5.594395,8.486592,32.75,15585.251808,
03/31/1996,8.181818,15550.078828,16090.168549,14390.260849,0.999245,0.827029,6.328653,2.052381,5.030589,7.537448,27.0,14399.170898,
06/30/1996,8.550614,14482.807668,14722.087898,14264.622149,1.029203,0.855916,8.051003,2.089197,5.17375,7.799801,27.875,14633.222412,
