Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2005,173.313,,-55.425,,117.888,,-108.84,,,,,9.048,-1.427,,0.127,-0.013,0.0,1.313,7.621,-3.359,4.262,0.0,,,4.262,0.0,4.262,0.0,0.0,4.262,4.262,,26.281,0.16,0.16,0.1929,26.367,0.16,0.16,0.1928,
03/31/2006,187.015,,-73.104,,113.911,,-100.555,,,,,13.356,0.283,-0.906,0.064,-0.97,0.0,0.623,13.639,-5.651,7.988,0.0,,,7.988,0.0,7.988,0.0,0.0,7.988,7.988,0.403,30.683,0.26,0.26,0.27,31.078,0.26,0.26,0.27,
06/30/2006,204.936,,-63.341,,141.595,,-124.609,,,,,16.986,0.441,-1.557,0.065,-1.622,0.0,1.116,17.427,-6.635,10.792,0.0,,,10.792,0.0,10.792,0.0,0.0,10.792,10.792,1.434134,32.462,0.33,0.33,0.36236,32.903,0.33,0.33,0.361924,
09/30/2006,211.26,,-65.436,,145.824,,-126.865,,,,,18.959,0.841,-1.947,0.068,-2.015,0.0,1.106,19.8,-7.998,11.802,0.0,,,11.802,0.0,11.802,0.0,0.0,11.802,11.802,0.7189,32.499,0.36,0.36,0.38,32.885,0.36,0.36,0.38,
12/31/2006,219.719,,-69.989,,149.73,,-133.097,,,,,16.633,0.756,-1.893,0.074,-1.967,,1.137,17.389,-6.548,10.841,,,,10.841,,10.841,,,10.841,10.841,,32.534,0.33,0.33,0.3527,32.97,0.33,0.33,0.3524,
03/31/2007,236.095,,-74.671,,161.424,,-141.483,,,,,19.941,0.123,-1.415,0.075,-1.49,0.0,1.292,20.064,-7.624,12.44,0.0,,,12.44,0.0,12.44,0.0,0.0,12.44,12.44,0.8398,32.558,0.38,0.38,0.41,32.953,0.38,0.38,0.41,
06/30/2007,274.346,,-87.463,,186.883,0.0,-154.358,,,,,32.525,-0.387,-1.456,0.074,-1.53,0.0,1.843,32.138,-12.157,19.981,0.0,,,19.981,0.0,19.981,0.0,0.0,19.981,19.981,,32.642,0.61,0.61,0.645,33.065,0.6,0.6,0.635,
09/30/2007,286.431,,-92.075,,194.356,,-161.176,,,,,33.18,-0.261,-1.523,0.074,-1.597,0.0,1.784,32.919,-12.315,20.604,0.0,,,20.604,0.0,20.604,0.0,0.0,20.604,20.604,1.1596,32.706,0.63,0.63,0.67,33.171,0.62,0.62,0.65,
12/31/2007,288.91,,-92.184,,196.726,,-168.021,,,,,28.705,0.176,-1.425,0.073,-1.498,0.0,1.249,28.881,-11.343,17.538,0.0,,,17.538,0.0,17.538,0.0,0.0,17.538,17.538,1.14331,32.778,0.54,0.54,0.57,33.333,0.53,0.53,0.56,
03/31/2008,305.327,,-98.894,,206.433,,-178.177,,,,,28.256,-0.194,-1.269,0.074,-1.343,0.0,1.463,28.062,-10.778,17.284,0.0,,,17.284,0.0,17.284,0.0,0.0,17.284,17.284,0.95,32.808,0.53,0.53,0.56,33.33,0.52,0.52,0.55,
