Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/29/1989,611.653992,19.993,8.452,11.541,3.646,,,125.196999,,,,,5.808,,,,,,154.643997,438.821991,515.810974,-76.988998,14.446,,3.742,,,,,3.742,457.009991,,57.355,57.355,,,,43.778999,,,,,23.181004,,,,23.181004,124.315002,186.820007,,,,17.882999,,,,,17.882999,204.703007,329.018009,0.0,82.438004,,,0.0,,200.197998,282.636002,0.0,282.636002,611.654011,
07/29/1989,627.062988,20.431,11.373,9.058,4.428,,,128.369003,,,,,6.209,,,,,,159.436996,449.050995,526.633972,-77.583,14.318,,4.257,,,,,4.257,467.625995,,46.597,46.597,,,,13.157,,,,,23.047003,,,,23.047003,82.801003,232.248001,,,,17.882999,,,,,17.882999,250.131001,332.932003,0.0,85.419998,,,0.0,,208.710999,294.130997,0.0,294.130997,627.063,
10/28/1989,662.169006,21.885,13.597,8.288,3.207,,,151.546005,,,,,6.179,,,,,,182.817001,463.108002,543.791992,-80.683998,12.008,,4.236,,,,,4.236,479.352002,,69.103996,69.103996,,,,14.596,,,,,24.325006,,,,24.325006,108.025002,233.341003,,,,17.882999,,,,,17.882999,251.224003,359.249004,0.0,86.771004,,,0.0,,216.149002,302.920006,0.0,302.920006,662.16901,
02/03/1990,676.030029,14.338,10.953,3.385,1.747,,,163.848999,,,,,6.979,,,,,,186.912994,480.596985,566.382996,-85.786003,5.538,,2.982,,,,,2.982,489.116985,,58.998001,58.998001,,,,33.695,,,,,24.059998,,,,24.059998,116.752998,227.647995,,,,19.875,,,,,19.875,247.522995,364.275993,0.0,89.398003,,,-0.724,,223.080003,311.754005,0.0,311.754005,676.029999,
05/05/1990,675.690979,14.079,11.764,2.315,1.643,,,155.427002,,,,,4.989,,,,,,176.138,491.295013,583.172974,-91.877998,5.008,,3.25,,,,,3.25,499.553013,,58.994999,58.994999,,,,21.086,,,,,31.410997,,,,31.410997,111.491997,223.492004,,,,19.875,,,,,19.875,243.367004,354.859001,0.0,89.848999,,,0.0,,230.983002,320.832001,0.0,320.832001,675.691002,
08/04/1990,724.252991,12.8,10.547,2.253,2.883,,,189.389008,,,,,4.062,,,,,,209.134003,507.184998,605.271973,-98.086998,4.652,,3.282,,,,,3.282,515.118998,,83.927002,83.927002,,,,23.084999,,,,,29.749001,,,,29.749001,136.761002,235.065994,,,,19.875,,,,,19.875,254.940994,391.701996,0.0,90.106003,,,0.0,,242.445007,332.55101,0.0,332.55101,724.253006,
11/03/1990,755.40802,11.985,9.701,2.284,2.127,,,189.884995,,,,,8.238,,,,,,212.235001,535.916992,637.546997,-101.629997,4.004,,3.252,,,,,3.252,543.172992,,58.372002,58.372002,,,,40.196999,,,,,32.822006,,,,32.822006,131.391006,264.885986,,,,19.875,,,,,19.875,284.760986,416.151993,0.0,90.202003,,,0.0,,249.054001,339.256004,0.0,339.256004,755.407997,
02/02/1991,819.421021,15.123,9.396,5.727,2.527,,,234.688004,,,,,7.526,,,,,,259.864014,556.98999,665.830994,-108.841003,0.0,,2.567,,,,,2.567,559.55699,,66.030998,66.030998,,,,71.991997,,,,,30.040009,,,,30.040009,168.063004,285.868011,,,,20.886999,,,,,20.886999,306.75501,474.818014,0.0,90.523003,,,0.0,,254.080002,344.603005,0.0,344.603005,819.421019,
05/04/1991,815.656982,17.148,11.873,5.275,1.802,,,222.580994,,,,,7.606,,,,,,249.136993,562.596008,679.159973,-116.564003,0.0,,3.924,,,,,3.924,566.520008,,71.985001,71.985001,,,,33.02,,,,,40.265003,,,,40.265003,145.270004,299.209015,,,,20.886999,,,,,20.886999,320.096014,465.366018,0.0,90.650002,,,0.0,,259.640991,350.290993,0.0,350.290993,815.657011,
08/03/1991,820.90802,16.196,11.45,4.746,2.71,,,225.391998,,,,,4.868,,,,,,249.166,567.361023,692.062988,-124.702003,0.0,,4.381,,,,,4.381,571.742023,,84.809998,84.809998,,,,28.778999,,,,,37.487999,,,,37.487999,151.076996,289.071991,,,,20.886999,,,,,20.886999,309.95899,461.035986,0.0,90.727997,,,0.0,,269.144012,359.872009,0.0,359.872009,820.907995,
