Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,412.464996,5.54,5.54,0.0,103.499001,,,68.742996,,,,,10.359,,,,,,188.141006,208.248993,390.153015,-181.904007,,,16.075001,,,,,16.075001,224.323994,,10.127,10.127,,,,6.346,,,,,,51.507003,,,51.507003,67.980003,43.282001,,,,,9.562,,,,9.562,52.844002,120.824005,0.0,181.682999,,,,,109.958,291.640999,0.0,291.640999,412.465004,
06/30/1990,407.877991,7.325,7.325,0.0,101.210999,,,65.463997,,,,,10.876,,,,,,184.876007,207.440994,397.360992,-189.919998,,,15.561,,,,,15.561,223.001994,,9.775,9.775,,,,6.519,,,,,,52.096,,,52.096,68.389999,48.731998,,,,,6.187,,,,6.187,54.918998,123.308998,0.0,181.537003,,,,,103.031998,284.569,0.0,284.569,407.877998,
09/29/1990,391.867004,1.858,1.858,0.0,98.679001,,,61.57,,,,,7.956,,,,,,170.063004,206.541,403.921997,-197.380997,,,15.263,,,,,15.263,221.804,,9.966,9.966,,,,7.034,,,,,,56.205002,,,56.205002,73.205002,37.356998,,,,,4.658,,,,4.658,42.014998,115.22,0.0,181.537003,,,,,95.110001,276.647003,0.0,276.647003,391.867003,
12/31/1990,388.931,7.419,7.419,0.0,93.598999,,,64.440002,,,,,7.813,,,,,,173.270996,200.311996,400.100006,-199.787994,,,15.348,,,,,15.348,215.659996,,11.537,11.537,,,,7.073,,,,,,66.246003,,,66.246003,84.856003,25.045,,,,,4.213,,,,4.213,29.258,114.114003,0.0,181.539993,,,,,93.277,274.816993,0.0,274.816993,388.930996,
03/30/1991,389.39801,4.5,4.5,0.0,97.273003,,,66.050003,,,,,9.183,,,,,,177.005997,196.835999,396.752991,-199.917007,,,15.556,,,,,15.556,212.391998,,12.106,12.106,,,,6.894,,,,,,57.114998,,,57.114998,76.114998,31.771999,,,,,4.082,,,,4.082,35.853999,111.968997,0.0,184.628998,,,,,92.800003,277.429001,0.0,277.429001,389.397998,
06/29/1991,394.80899,3.535,3.535,0.0,110.777,,,64.335999,,,,,7.478,,,,,,186.126007,193.186005,399.028015,-205.841995,,,15.497,,,,,15.497,208.683004,,11.419,11.419,,,,7.01,,,,,,60.238,,,60.238,78.667,29.701,,,,,3.951,,,,3.951,33.652,112.319,0.0,185.408005,,,,,97.082001,282.490005,0.0,282.490005,394.809005,
09/28/1991,403.580994,22.344999,22.344999,0.0,107.228996,,,62.247002,,,,,8.149,,,,,,199.970001,189.688995,402.015015,-212.326004,,,13.922,,,,,13.922,203.610995,,12.62,12.62,,,,7.224,,,,,,60.560999,,,60.560999,80.404999,24.523001,,,,,3.82,,,,3.82,28.343001,108.747999,0.0,190.705994,,,,,104.126999,294.832993,0.0,294.832993,403.580992,
12/31/1991,420.53299,35.411999,35.411999,0.0,111.918999,,,61.823002,,,,,8.894,,,,,,218.048004,188.132996,404.328003,-216.195007,,,14.352,,,,,14.352,202.484996,,10.411,10.411,,,,7.602,,,,,,68.842003,,,68.842003,86.855003,24.344,,,,,2.886,,,,2.886,27.23,114.085003,0.0,194.917999,,,,,111.529999,306.447998,0.0,306.447998,420.533001,
03/29/1992,432.160004,35.962002,35.962002,0.0,121.205002,,,62.999001,,,,,9.046,,,,,,229.212006,189.005997,409.46701,-220.460999,,,13.942,,,,,13.942,202.947997,,14.658,14.658,,,,7.232,,,,,,61.762001,,,61.762001,83.652,24.169001,,,,,2.755,,,,2.755,26.924001,110.576001,0.0,202.949997,,,,,118.634003,321.584,0.0,321.584,432.160001,
06/28/1992,445.028015,52.073002,52.073002,0.0,118.643997,,,63.792,,,,,7.846,,,,,,242.354996,188.904007,410.832001,-221.927994,,,13.769,,,,,13.769,202.673007,,12.099,12.099,,,,7.588,,,,,,68.822003,,,68.822003,88.509003,27.173,,,,,2.625,,,,2.625,29.798,118.307003,0.0,203.529999,,,,,123.191002,326.721001,0.0,326.721001,445.028004,
09/27/1992,450.076996,63.137001,63.137001,0.0,116.536003,,,62.839001,,,,,7.601,,,,,,250.113007,187.487,403.158997,-215.671997,,,12.477,,,,,12.477,199.964,,11.476,11.476,,,,7.845,,,,,,67.537002,,,67.537002,86.858002,27.127001,,,,,2.494,,,,2.494,29.621001,116.479002,0.0,204.671997,,,,,128.925995,333.597992,0.0,333.597992,450.076994,
12/31/1992,461.054993,67.383003,67.383003,0.0,120.155998,,,65.596001,,,,,7.816,,,,,,260.950989,185.054001,363.003998,-177.949997,,,15.05,,,,,15.05,200.104001,,7.011,7.011,,,,10.811,,,,,,74.570998,,,74.570998,92.392998,23.646999,,,,,0.367,,,,0.367,24.013999,116.406997,0.0,210.570007,,,,,134.078003,344.64801,0.0,344.64801,461.055007,
04/04/1993,491.950012,94.856003,94.856003,0.0,110.311996,,,67.617996,,,,,16.919001,,,,,,289.704987,187.442001,366.35199,-178.910004,,,14.803,,,,,14.803,202.245002,,13.079,13.079,,,,11.409,,,,,,70.621,,,70.621,95.109001,23.784,,,,,5.622,,,,5.622,29.406001,124.515002,0.0,227.970993,,,,,139.464005,367.434998,0.0,367.434998,491.949999,
07/04/1993,509.450989,115.999001,115.999001,0.0,103.890999,,,67.203003,,,,,17.534,,,,,,304.627014,189.354004,372.716003,-183.362,,,15.47,,,,,15.47,204.824004,,13.14,13.14,,,,11.76,,,,,,76.053002,,,76.053002,100.953003,23.812,,,,,5.622,,,,5.622,29.434,130.387003,0.0,231.942993,,,,,147.121002,379.063995,0.0,379.063995,509.450999,
